adt_clean	adt_raw	has_curated_partner	curated_in_top100	feature_source	n_features	feature_genes
GPR56	Hu.GPR56	TRUE	TRUE	curated_in_top100	1	ADGRG1
Galectin.9	Hu.Galectin.9	TRUE	FALSE	curated+fallback	3	LGALS9,CD52,FAM30A
HLA.ABC	Hu.HLA.ABC	TRUE	TRUE	curated_in_top100	1	HLA-B
HLA.DR.DP.DQ	Hu.HLA.DR.DP.DQ	TRUE	TRUE	curated_in_top100	5	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,HLA-DQB1
KLRG1	Hu.KLRG1	TRUE	FALSE	curated+fallback	3	KLRG1,SRGN,CST7
TIM.4	Hu.TIM.4	TRUE	FALSE	curated+fallback	3	TIMD4,CDK6,IGLL1
TSPAN33	Hu.TSPAN33	TRUE	FALSE	curated+fallback	3	TSPAN33,AZU1,CFD
CD44	HuMs.CD44	FALSE	FALSE	fallback_only	3	SRGN,TNFSF13B,LGALS1
CD49f	HuMs.CD49f	FALSE	FALSE	fallback_only	3	SRGN,MPO,SERPINB1
integrin.b7	HuMs.integrin.b7	FALSE	FALSE	fallback_only	3	TMSB10,CORO1A,GAS7
