UID	HSC-1	HSC-2	MPP-1	MPP-2	MPP-MEP	LMPP-1	LMPP-1-cycling	Multilin-1	Multilin-2	MEP-1	MEP-2	MEP-Eryth-1	MEP-Eryth-2	ERP-1	ERP-2	ERP-3	ERP-4	ERP-5	ERP-6	ERP-7	ERP-8	Erythroblast-1	Erythroblast-2	Erythroblast-3	MKP-early	MKP-late	MK-Platelet	BMCP-1	BMCP-2	LMPP-2	CLP	Pro-B-Early	Pro-B-1	Pro-B-cycling-2	Pro-B-Early-cycling	Pro-B-cycling-1	Transitional-B-1	Transitional-B-2	Pro-B-2	Pro-B-3	pre-B	B Memory-1	B Memory-2	Plasma Cell	CD4 TCM	T CD4 Activated	T CD4 Naive-1	T CD4 Naive-2	T CD8 Naive	CD8 TEM	MAIT	NK-Mature	MultiLin-GMP-1	MultiLin-GMP-2	MultiLin-GMP-3	preNeu	immNeu-1	immNeu-2	cMOP	Mono-1	Mono-2	Intermediate Mono-1	Intermediate Mono-2	Intermediate Mono-3	Classical-Mono	Non-Classical Mono-1	Non-Classical Mono-2	Myeloid intermediate 1	Myeloid intermediate 2	Myeloid intermediate 3	MDP-1	MDP-2	MDP-3	MDP-4	MDP-5	MDP-6	pre-DC-1	pre-DC-2	pre-DC-3	cDC1	cDC2-1	cDC2-2	pDC	ASDC	Mac	MSC Fibroblast-1	MSC Fibroblast-2	Osteoblast	Stromal Vascular
PHF20	0.770582838	0.781628667	0.586150914	0.494325321	0.520995383	0.388947034	0.499330351	0.410655345	0.333183988	0.533920582	0.579619482	0.461426271	0.515901751	0.447115988	0.407850338	0.376145062	0.390293229	0.343575682	0.34489601	0.321414834	0.319740332	0.197828241	0.082268233	0.097097841	0.305369752	0.256633062	0	0.504949343	0.41849957	0.438532106	0.361448053	0.272162096	0.205244443	0.24243325	0.301672962	0.207099483	0.204318249	0.304775784	0.160229482	0.153913107	0.209088572	0.727716743	0.414647754	0.18966295	0.727090458	0.880717149	0.68734778	0.550454321	0.606038903	0.726500915	0.687592925	0.761963211	0.516084853	0.340188917	0.368532447	0.300518954	0.168691374	0.080682896	0.212443488	0.29685831	0.253339179	0.427077794	0.372996578	0.514374093	0.254996635	0.078424229	0.569062194	0.257388511	0.30478322	0.256473264	0.266196839	0.304815449	0.320484008	0.292290277	0.278490462	0.31718511	0.392696714	0.326267427	0.475296381	0.405995156	0.475504264	0.396714892	0.290009691	0.434320593	0.1546443	0.252753197	0.11538285	0.317951141	0.191664814
MPDZ	0.099532414	0.082386803	0.068393451	0.061522774	0.048500057	0.03296219	0.058247617	0.025772766	0.013066643	0.02907248	0.044293872	0.01516965	0.025454803	0.009625997	0.01183953	0.016477015	0.00854765	0.019298942	0.003654736	0.002918482	0.003904963	0	0	0	0.033324436	0.002193145	0	0.006509789	0	0.008598423	0.001586257	0.000527652	0	0	0.001001889	0	0	0	0.000150845	0	0	0	0	0	0	0	0	0	0	0	0	0.000752929	0.062179383	0.02549914	0.030408404	0.018989324	0.004072304	0	0.002452076	0	0	0	0	0	0	0	0	0.002067971	0.003389695	0.000451112	0.006912608	0.010474912	0.00304278	0	0	0.000917837	0	0.00225148	0	0	0	0	0	0	0.015337226	0.194184941	0.10175433	0.124178941	0.119012346
CD109	0.564961267	0.395892191	0.376047309	0.346569682	0.234071044	0.285787151	0.374850004	0.326000944	0.259778747	0.176407255	0.149571723	0.114309732	0.125711433	0.077321792	0.067813324	0.06980608	0.044181596	0.03900458	0.026359675	0.011209661	0.002972783	0	0	0	0.105468695	0.118945982	0	0.115070371	0.072769257	0.276049855	0.202666316	0.197801214	0.263817374	0.264448468	0.245138213	0.262653595	0.051568611	0.256121463	0.211358527	0.29907835	0.038527532	0.003408019	0.033813615	0	0.010193979	0.018441829	0.002608862	0.004180095	0	0.003581475	0.002441942	0.00334662	0.24037756	0.215524081	0.229234347	0.157743732	0.078642728	0.010501144	0.156885931	0.142212035	0.191678502	0.032640053	0.031465335	0.037569875	0.050032232	0	0	0.099029139	0.156903426	0.108340155	0.048717752	0.155524168	0.119347091	0.190823645	0.169444002	0.161115432	0.137951184	0.123499799	0.15900755	0.106855902	0.184074728	0.186837315	0.094987979	0.087673615	0	0.03526926	0.029190891	0.014140557	0.002930429
BST2	2.720790417	2.52780021	2.158139703	2.111491137	1.535450893	1.858100481	2.093925984	1.736449623	1.764272778	1.16611446	0.970515227	0.75042545	1.251905765	1.138137932	1.40027082	1.505731075	1.111321134	1.098740342	1.266875378	0.902250132	0.850626391	0.191717438	0.119141675	0.032050118	0.158440796	0.006649388	0	1.355312322	0.855216357	1.258831703	0.86669821	0.818678291	0.629967686	0.722690453	0.860200375	0.477657321	0.30691433	0.597423896	0.580612536	0.674776252	0.203213886	0.218405795	0.341242993	1.913591114	0.227127349	0.238207701	0.158914634	0.128468933	0.276783071	0.297277681	0.287490267	0.720474898	1.749858471	2.05858588	1.982933576	1.838464427	1.539843606	0.7644487	1.884468987	1.72525343	1.359627876	1.001078452	1.049691149	0.749726215	0.938017815	0.140687278	0.821052514	1.867807524	1.981430293	1.844615116	1.093133574	1.753569154	1.343712603	1.099366476	1.096002519	0.970300701	1.369517282	1.687199619	1.044319866	1.448219249	1.267227894	0.885978364	0.922952897	0.899908864	2.298459663	1.570070994	1.404349969	1.96544139	1.275600264
PCLO	0.133806696	0.065254528	0.074732076	0.044908541	0.038636393	0.03420644	0.056583181	0.040461577	0.019819305	0.025114075	0.010517016	0.007654107	0.00615132	0.004167593	0.003374424	0.002340996	0.002071796	0	0.000232745	0.000253148	0	0	0	0	0.005456749	0	0	0.00704704	0	0.009316284	0.008188613	0.005419515	0.001832321	0.008306192	0.008803981	0.002979694	0.002747377	0	0.013770298	0.038241777	0.002644803	0	0	0	0	0	0	0	0	0	0	0	0.016083091	0.014571012	0.028985576	0.004086623	0.003566001	0	0.003409911	0	0.001109458	0	0	0	0	0	0	0.001314222	0.004647967	0.002121295	0.006298974	0.008169512	0.00455072	0	0.004495262	0.001425335	0.000281269	0.0024787	0	0.003444239	0	0.00148226	0.002412653	0	0	0.070956386	0.070863396	0.129494667	0.082703786
IFIT3	1.161999073	0.24332185	0.161369456	0.245763022	0.173180936	0.171383035	0.25911106	0.125306909	0.137633811	0.214500584	0.15435401	0.283267453	0.260682523	0.294363563	0.45449097	0.401337663	0.422551502	0.392985709	0.585927548	0.502849953	0.598386066	0.338148708	0.354471211	0.076330413	0.111853696	0.112789187	0	0.054059254	0.023474584	0.131177864	0.086919521	0.057653188	0.095735971	0.132155285	0.093690943	0.049324405	0.037508068	0.085971387	0.160746258	0.183680461	0.023267855	0.02680241	0.090303387	0	0.434802283	0.086773514	0.091189067	0.032629367	0.019666742	0.601498054	0.210283937	0.473270311	0.402925653	0.217097953	0.129834302	0.061857156	0.04978644	0.028327873	0.002224278	0.004947466	0.002718604	0.141953507	0.119373266	0.08011264	0.036829488	0.008204676	0.341913362	0.02169095	0.007473401	0.002067191	0.097334261	0.025416085	0.002693446	0	0.001432884	0.001676502	0.002450956	0	0	0.001518104	0.00910819	0.003179867	0	0	0.233770221	0.198883036	0.498767672	0.63548154	0.799017302
HIST2H2AA3	0.419849126	0.673507223	0.376576068	0.347970719	0.32548424	0.139920639	0.204654971	0.092690727	0.098533948	0.081489624	0.2248874	0.078401845	0.123434354	0.120169704	0.091563029	0.066272035	0.064523096	0.049354717	0.057732342	0.030463345	0.020321087	0.03169032	0.028226534	0.028671828	0.051052316	0.023722339	0	0.18627949	0.18954825	0.216297376	0.112332084	0.087928338	0.146407951	0.487468473	0.196523473	0.796879983	0.220441107	0.960216734	0.342052619	0.498005315	0.586942048	0.230167723	0.02273525	0.281617836	0.142086747	0.13096504	0.04042693	0.083879989	0.061022193	0.484257827	0.436490535	0.26435877	0.27704729	0.115416515	0.080570644	0.084431887	0.115759704	0.040966791	0.0832133	0.084390227	0.10851931	0.228116604	0.165366712	0.119978183	0.129526205	0.04570836	0.271444497	0.092480314	0.031905915	0.067608999	0.181080046	0.041555636	0.024210519	0.033630986	0.079154745	0.089548711	0.037955793	0.031949824	0.035823723	0.018126585	0.058548914	0.111800622	0.106045459	0.049962523	0.0163122	0.155324376	0.329977706	0.826311261	0.560586791
EMCN	0.191885827	0.168710778	0.077133728	0.053762079	0.003816207	0.011736189	0.028446069	0.016245307	0.010672087	0.002719301	0	0.002831582	0.003030146	0	0	0.003201732	0	0	0	0	0	0	0	0.004527006	0.000763526	0	0	0	0	0.047908299	0.012228735	0.004041764	0.006871593	0.000472604	0.011640282	0.005503348	0	0.005350444	0.004503714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003030501	0.014333746	0	0	0	0	0	0	0.000543395	0.002773465	0	0	0	0	0.000302592	0.001096001	0	0	0.003108958	0.000713105	0	0	0.001743158	0	0	0	0.002437456	0	0	0	0	0	0.242436635	0.106772182	0.08541707	0.187198463
IFIT2	3.262479036	0.149355591	0.184702805	0.059110024	0.052237974	0.028859199	0.223778032	0.037941273	0.044024807	0.037968848	0.058863811	0.085399881	0.106077899	0.078649061	0.081363603	0.057720931	0.071103647	0.051543953	0.068737415	0.075071455	0.044443811	0.056032967	0.051333795	0.00709003	0.099758018	0.066110236	0	0.029289361	0.045406013	0.345820048	0.154583455	0.14767397	0.138426302	0.179577552	0.104723358	0.124043555	0.041947333	0.329568332	0.273261775	0.456448275	0.07145379	0.074597641	0.182871228	0.017657987	1.039039052	0.351828172	0.117730771	0.068915988	0.037121348	1.320838881	0.638396578	1.366173395	0.244997733	0.040602152	0.026229105	0.008111794	0.012498627	0.016270803	0.013109272	0.010970544	0.006580515	0.137138551	0.111591538	0.162500025	0.025357782	0.018254438	0.487452638	0.010003316	0.002357091	0.004354615	0.177404639	0.041255404	0.04361722	0.053731335	0.074872775	0.138793171	0.00131483	0.001128614	0.006397473	0.009137941	0.016977597	0.058572643	0.292694146	0.015217371	0.220367346	0.032869826	0.125084156	0.317959074	0.280285998
PCBD1	0.888987926	0.781197831	0.664478483	0.605071154	0.453095033	0.615241806	0.683652213	0.489243239	0.32959374	0.505806809	0.444927824	0.33663184	0.504407514	0.452442205	0.551292113	0.596656208	0.5645442	0.548086878	0.613986345	0.562213821	0.468959683	0.124061703	0.097713283	0	0.499641724	0.37737234	0	0.189422996	0.06229305	0.135027077	0.051555264	0.026494632	0.00715625	0.002276954	0.040484	0.006154332	0.099420691	0.024248391	0.00230762	0	0.01202266	0.007091819	0.021714	0.555338813	0.027266567	0.032676607	0.029553579	0.021025282	0.034957839	0.031645709	0.026571405	0.035602327	0.44299439	0.664432509	0.64614734	0.553672246	0.348683724	0.07242815	0.44940908	0.461366546	0.344116947	0.141510431	0.211797547	0.140533308	0.185577376	0	0.146736213	0.496280008	0.588336974	0.511939261	0.026047075	0.375605118	0.219766009	0.184626883	0.163783655	0.089368867	0.511854643	0.464530242	0.496450445	0.515965186	0.483292258	0.289650492	0.116638708	0.373330971	0.700787255	0.053063228	0.14132413	0.121956329	0.140323603
ZFAND1	0.70669565	0.801034693	0.702251465	0.704462845	0.765659525	0.590070458	0.587402874	0.448879506	0.547366746	0.599306674	0.734751911	0.568492924	0.582372389	0.71358906	0.688261784	0.548034356	0.581867067	0.438188931	0.519195362	0.476890733	0.462828331	0.236934366	0.231386962	0.152664589	0.683127992	0.68773493	0.77478088	0.304471141	0.253576925	0.474063857	0.414983718	0.353756836	0.308791943	0.347559679	0.392863788	0.277371317	0.275236987	0.291946921	0.33822237	0.254248315	0.207513952	0.143889359	0.069476628	0.300083281	0.317045691	0.263460889	0.401871626	0.411502768	0.363257932	0.157192275	0.203901787	0.139658893	0.441331224	0.552381681	0.472175143	0.389449435	0.279896152	0.23945538	0.22128146	0.22224884	0.168339741	0.196883961	0.238718875	0.201547653	0.217501506	0.106049584	0.137497788	0.304925781	0.33308903	0.285517988	0.483285451	0.455042187	0.368448588	0.267995356	0.298413268	0.319040311	0.271310447	0.349486406	0.276736582	0.347723218	0.25053785	0.261688912	0.233447869	0.291934109	0.021670755	0.090021923	0.182561452	0.286584927	0.224611682
PCDH17	0.077808574	0.032282484	0.005909472	0.00414462	0.002614563	0	0.009589404	0.000650134	0	0.001980906	0.000358413	0	0.001604516	0	0	0	0	0	0	0	0	0	0	0	0.001311863	0	0	0	0	0.001353631	0	0.001056562	0	0.00073389	0.000636109	0	0	0	0.00120926	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050123749	0.000499553	0	0	0	0	0	0	0	0.001175229	0	0	0	0	0	0.000193546	0.000442576	0	0	0	0	0.005420313	0	0	0	0	0	0	0	0	0	0	0	0.014488494	0.013087407	0	0.023599851
CTSF	0.435270231	0.53083532	0.454460981	0.387015072	0.378947284	0.269637908	0.321086498	0.149130456	0.158640244	0.138071466	0.29307623	0.080421798	0.189869968	0.243115749	0.190211496	0.150114518	0.158708161	0.145053722	0.120171379	0.110892871	0.064558112	0.043692099	0.013892008	0.005153929	0.073741606	0.002995274	0	0.102331348	0.056980479	0.297144284	0.135963082	0.048757292	0.027575938	0.012308639	0.021825075	0.00944517	0.003841756	0.017566006	0.048685517	0.01491452	0.020346756	0.047899951	0.046111972	0.205158469	0.07576216	0.054613078	0.092707129	0.095664176	0.087509334	0.053488444	0.080747931	0.118635666	0.182174556	0.130724735	0.148650506	0.069994023	0.025749936	0	0.003666379	0.002995886	0.000852101	0.001905422	0.002531405	0.004235652	0	0	0.010139271	0.017612928	0.011488525	0.007905711	0.196826487	0.020890883	0.030584964	0.027923863	0.010681507	0.00232404	0.005922067	0.006085729	0	0.009566751	0.000411396	0.005591382	0.026573961	0.013234877	0.25549368	0.587974212	0.43663211	0.919078607	0.404019498
FHL3	0.219838725	0.302580944	0.281583567	0.255375931	0.24362947	0.198974597	0.232407264	0.149327236	0.174153745	0.189555218	0.247696591	0.197515015	0.169766124	0.211586295	0.235845779	0.209463181	0.201396281	0.151591811	0.18661756	0.144498398	0.08950233	0.027048648	0.028758474	0	0.18850892	0.265687649	0.54443921	0.101726503	0.100503648	0.195118146	0.048311525	0.02722219	0.013432569	0.01936031	0.035189844	0.023352778	0.017331145	0.050745508	0.008315022	0.005356688	0	0	0	0.040123976	0.01414771	0	0.013679009	0.017328861	0.014337301	0.029321296	0.063503805	0.13600456	0.206773941	0.17479669	0.187859295	0.097520365	0.069758551	0.055581997	0.076082914	0.073748826	0.069628823	0.169245258	0.182680753	0.087426844	0.101285927	0.177535611	0.113098056	0.078500997	0.121212973	0.089912438	0.070129554	0.120615133	0.032539206	0.03079831	0.029129971	0.031064515	0.071192776	0.070631836	0.068519304	0.103424719	0.083531044	0.09267744	0.004233747	0.028456127	0.060853809	0.062214783	0.032727041	0.082212846	0.07673162
C3orf14	0.233706671	0.192742066	0.146503212	0.165878047	0.112468796	0.104388028	0.201386745	0.144175335	0.079637727	0.204863302	0.118543561	0.069395604	0.0921709	0.056551355	0.077783904	0.084346679	0.070880255	0.064316445	0.051012855	0.046873769	0.025838399	0.005866394	0.007476213	0	0.200729626	0.252909119	0	0.026584108	0.032904232	0.024657672	0.021227543	0.033394308	0.019939325	0.00291489	0.02784827	0.015884393	0.016924102	0.012727825	0.001070056	0	0	0.016108436	0.02531022	0.022029227	0.064774348	0.050237156	0.018139087	0.028470669	0.010527416	0.013449159	0.007582156	0.013844061	0.03521718	0.074034404	0.127370459	0.041430022	0.020512018	0	0.131132678	0.122281446	0.099199193	0.038688984	0.05419077	0.050540711	0.057449363	0	0.207861169	0.074050732	0.120392547	0.091995111	0.03938045	0.097575587	0.146056818	0.240126252	0.175033748	0.12070275	0.175032777	0.158891173	0.082806337	0.123810539	0.108086392	0.053580851	0.081208863	0.104620757	0.239287609	0.081846551	0.065486492	0.033784313	0.048081782
SYPL1	1.292294079	1.541307274	1.332824267	1.274376264	1.254340441	1.047765089	1.175234835	1.12298535	1.029211535	1.311061477	1.167642141	1.014369845	0.81313864	0.831932031	0.764179794	0.677553615	0.649164941	0.631863828	0.55505593	0.578409837	0.544448813	0.205748338	0.414594127	0.220312196	1.030197224	0.762084956	0.276029587	0.454906939	0.450075823	0.982299976	0.66529187	0.609787805	0.704986093	1.08471739	0.868627738	0.988003014	0.63219708	0.803353212	0.674011796	0.729559312	0.590102449	0.551909363	1.077560467	0.478231903	0.378005319	0.4077305	0.314729308	0.326504884	0.271041344	0.270470491	0.25283418	0.141645199	0.931149798	0.944397728	0.985861276	0.730337868	0.518796272	0.359179931	0.427624698	0.381645122	0.398631807	0.39483074	0.451640302	0.373641192	0.330800347	0.249898613	0.294364864	0.508358137	0.579463938	0.481585129	0.567428494	0.700395673	0.542537012	0.574803025	0.588186627	0.630499993	0.43493747	0.507429517	0.346955348	0.441184966	0.363488279	0.246943973	0.404961592	0.32344336	0.135584012	0.837421451	0.628349563	0.876147221	0.605560447
C17orf67	0.158216133	0.100779143	0.12164366	0.073045676	0.070421326	0.065706633	0.10367723	0.046757838	0.043601948	0.053711803	0.066352417	0.031202867	0.024290142	0.019880472	0.01083627	0.008178736	0.012064897	0.009481998	0.008589176	0.00583726	0.004904612	0.007043879	0	0	0.074874029	0.047417429	0.037640933	0.025503876	0.016697631	0.048798782	0.035766602	0.024240847	0.017373092	0.034989328	0.046982676	0.015503944	0.020509819	0.008255955	0.039979177	0.058514688	0.010915749	0.022748319	0	0.048044129	0.062614011	0.030468867	0.044705173	0.047927986	0.042379518	0.036619701	0.028529989	0.028527199	0.090489385	0.033924768	0.038530923	0.026486876	0.009890289	0	0.012281023	0.014081273	0.006063028	0.01322536	0.011755354	0.013435318	0.006545327	0	0.046390466	0.018750454	0.019400436	0.019397456	0.046774167	0.015875809	0.01385891	0.004058282	0.011612732	0.02275087	0.01757074	0.021636216	0.012205262	0.018800558	0.01154749	0.017290541	0.014590659	0.013371138	0	0.032078599	0.017797965	0.129723712	0.052327735
IDS	2.050004479	2.037376348	1.588070179	1.215671852	0.952981819	0.838665686	1.336057803	1.05032693	0.842436918	0.747730484	0.558096846	0.207183531	0.299559007	0.174620041	0.075926311	0.082350619	0.035852412	0.012112501	0.024603152	0	0.004885542	0	0.011514911	0	0.163701842	0.093206691	0.664472559	0.68559494	0.463553448	1.055547081	0.534311494	0.244340452	0.099381154	0.101419555	0.23603151	0.106546441	0.142259423	0.364140101	0.142367103	0.081579615	0.269834701	0.665553676	0.683755926	0.781704652	0.977347771	0.718393919	0.495954272	0.378701561	0.486467578	1.375338361	1.334186163	1.389086311	1.964932121	0.71338204	0.843953305	0.500206457	0.259534012	0.088408064	0.679797234	0.726724796	0.604297392	0.997641398	0.777101814	0.708408451	0.698702395	0.274060762	1.01616846	0.589726601	0.88222389	0.730353509	0.534728548	0.986576096	0.918602858	0.790892788	0.997098887	1.100840202	0.737140126	1.003692658	0.677491453	0.769819778	0.604272206	0.736173384	1.24801652	1.020932487	0.284651045	0.529182238	0.452433495	0.385998484	0.35198497
IDNK	0.233894371	0.211786989	0.217049786	0.18646628	0.167514113	0.157919638	0.143157392	0.121206813	0.109910902	0.139904476	0.183384823	0.145998261	0.155151725	0.16056985	0.145033909	0.106405837	0.13699695	0.068329135	0.098432085	0.063283014	0.041119314	0.021575821	0.042472543	0	0.168691552	0.139048548	0	0.067858706	0.038172575	0.137958133	0.083721793	0.053810092	0.04933383	0.013782466	0.048711399	0.034591053	0.045476603	0.015290358	0.050265514	0.075557318	0.041040583	0.032113145	0.104350081	0.125088005	0.07578352	0.059828493	0.070399637	0.091874589	0.094227081	0.058789018	0.061603189	0.121122757	0.092332821	0.120396843	0.099818445	0.069154081	0.036147894	0.016458066	0.043897138	0.046858088	0.034544095	0.023871299	0.024642228	0.033145443	0.021419725	0.030250253	0.09452715	0.054981539	0.084203726	0.050189835	0.106677698	0.09685607	0.089350097	0.093149682	0.054051398	0.067934763	0.060386806	0.088162792	0.042621457	0.090530711	0.043357523	0.029861571	0.061667509	0.071342798	0.106554869	0.052903852	0.017642173	0.052636511	0.097241304
RBM11	0.164951288	0.107534981	0.105586829	0.073859455	0.055689785	0.063077801	0.068738896	0.043069095	0.039491146	0.045472826	0.048625672	0.021869536	0.015287128	0.021281051	0.013852559	0.004565916	0.006589805	0.003482288	0	0.000438544	0	0	0	0	0.048774696	0.052749619	0	0.013333093	0.009888506	0.029384891	0.00630965	0.003008832	0.001190126	0	0.001748223	0.002568679	0.003461025	0	0.0011195	0	0.011305419	0.013900283	0	0	0.025282826	0.081316658	0.064732176	0.082749191	0.082339625	0.015341755	0.013859764	0.002108262	0.014261995	0.03570362	0.044158455	0.023128178	0.008715122	0	0.013478364	0.01437847	0.00616601	0.003662288	0.006048055	0.0083246	0.003472246	0	0	0.026208556	0.017017616	0.024071951	0.022320143	0.010033471	0.003709734	0.004931208	0.002355975	0.001031685	0.006658686	0.003478735	0.010077662	0.016778724	0.00696476	0	0.000522237	0.001837824	0	0.032989037	0.053476556	0	0.019686146
PREX2	0.306905918	0.232240131	0.141628622	0.095530165	0.025039402	0.04453142	0.106684933	0.036873263	0.025011985	0.026781521	0.001087701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000322756	0	0.007628765	0.001405039	0.000763747	0	0	0.004823601	0.000631777	0.000115634	0.002544424	0.00091263	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056157567	0.036401337	0.050396349	0.015128116	0.003370166	0	0	0.0006052	0	0.001531377	0	0	0	0.007156083	0	0.005404084	0.001240091	0.000503494	0	0.002897626	0	0.003167099	0.000344918	0	0.000530829	0	0	0.001876352	0	0	0	0	0	0.294745516	0.109119799	0.239153393	0.201474094
LDOC1	0.161932335	0.1636828	0.123359541	0.110447804	0.076335077	0.077051686	0.113404229	0.052139085	0.054371975	0.052126383	0.065013029	0.022066299	0.041462225	0.023759276	0.020493506	0.013683627	0.003154804	0.001437558	0.002620839	0.001910089	0	0	0	0	0.08952011	0.032157731	0.037640933	0.013268755	0.01647265	0.047877484	0.030204425	0.025899736	0.026961568	0.022032607	0.024590031	0.018607311	0.027015312	0.031854592	0.017595373	0.031256296	0.048502668	0.018114427	0.02531022	0.004565417	0.028295404	0.023966853	0.020487652	0.020490472	0.030438319	0.005135133	0.012321209	0.005716604	0.036005929	0.042377797	0.046932193	0.012617724	0.003592021	0	0.001298941	0.001126545	0.00223564	0	0	0	0	0	0	0.003998864	0.011773536	0.002339891	0.009878942	0.022507326	0.004989023	0.011519921	0.001491996	0.004328936	0.002972067	0.006644276	0.002244668	0.008474552	0.000682846	0	0.008419654	0.001961604	0	0.089195235	0.036773702	0.103520749	0.144068579
PHLDB2	0.123261258	0.114289034	0.075417939	0.031591895	0.05345346	0.0041654	0.027753246	0.014086609	0.006751694	0.015359423	0.023730324	0.00477666	0.001934365	0.000454895	0	0.000286216	0	0	0.002477557	0	0	0	0	0	0.005310364	0	0	0	0	0.008626272	0.01413873	0.025207356	0.068111139	0.055450464	0.039263024	0.047334671	0.033294798	0.009154047	0.046903086	0.031193685	0.022629299	0.025554721	0	0.010278744	0.029530839	0.005520788	0.004379488	0.001644206	0.001579817	0.052961762	0.023306711	0.074388428	0.004896273	0.004628318	0.005298385	0.001580184	0.000775272	0	0.001273764	0.001227519	0.002454959	0.000574687	0	0.020145843	0	0.008520119	0.005306938	0.000771836	0.004929667	0.000513136	0	0.010922586	0.019441403	0.020998949	0.023584268	0.024825149	0.008678045	0.016712906	0.004010336	0.005691411	0.00840087	0.011479638	0.0101997	0.011399193	0	0.004684147	0	0.063457476	0
OXT	0.192033122	0.158825405	0.127011616	0.091990368	0.061571048	0.044429586	0.064855783	0.036372597	0.012370848	0.025788586	0.006081091	0	0.000532156	0	0	0	0	0	0	0	0	0	0	0.007976001	0.001599739	0	0	0.002006987	0	0.019543973	0.009435885	0.008946252	0.007138574	0.004782845	0.001098901	0.002500663	0.004014337	0.010024784	0.000995776	0.003247813	0.030294545	0	0.086642179	0.027925242	0.022160603	0.061696068	0.023847511	0.040893894	0.047151901	0.002942618	0.005472968	0.007117646	0.032557703	0.025012348	0.043638018	0.008156373	0.001976004	0.006358562	0.003447939	0.002412144	0.004595323	0	0.005006586	0.014442963	0.001220775	0	0	0.00198921	0.005698013	0.002231892	0.011208869	0.004829044	0.002639497	0	0.003199037	0	0.015751011	0	0.030246033	0.008261469	0.010048743	0.037076043	0.003958084	0.074455978	0	0.080940322	0.140437257	0.042447671	0.046190503
DLK1	0.251473436	0.089041477	0.061501778	0.03972065	0.023027259	0.00975404	0.033947477	0.018661651	0.000693411	0.014727869	0.00881817	0.001429094	0.004037073	0.000460751	0	0.001135249	0	0.002013734	0	0	0	0	0	0	0.015519577	0	0.624079343	0	0	0.00139638	0.001234906	0.000423815	0.000186739	0	0.001860705	0	0	0	0.000391652	0	0	0	0	0	0	0	0	0	0	0.001298037	0	0	0	0.008034551	0.014287845	0.005470563	0.002236672	0	0	0	0	0	0	0.003446659	0	0	0.004275041	0.00084058	0.001409105	0.001134816	0.025149614	0.005334839	0	0	0	0.001183363	0	0	0	0.000702363	0	0	0	0	0	0	0	0	0
TCEAL2	0.474459001	0.304609961	0.108805852	0.066471143	0.019511453	0.011142858	0.075076829	0.046548348	0	0.051363525	0.003259657	0	0.001112151	0	0	0.000408531	0	0	0.000417064	0	0	0	0	0	0.009732522	0.00961566	0	0	0	0.006442144	0.002437925	0.005748476	0.000375711	0.000472604	0.005887128	0.001757866	0.000424436	0.014431909	0.000972145	0	0	0	0	0.030805981	0.024633882	0.053613351	0.016998869	0.014186253	0.02631577	0	0	0	0.011545426	0.006645507	0.02391478	0.000513397	0.000452779	0	0	0	0	0	0	0	0	0	0	0	0.000308824	0	0.005772698	0	0	0	0.001865826	0	0	0.00257344	0	0	0	0	0.000544327	0	0	0.011275519	0	0.039406239	0
SLC1A6	0.340034063	0.278430912	0.239381391	0.103821205	0.18792485	0.037211665	0.092178779	0.029657506	0.009340851	0.042398482	0.089430484	0.014265372	0.019940712	0.001437155	0	0.001516923	0	0	0	0.00017565	0	0	0	0	0.046819431	0.008853936	0	0.002002407	0	0.003934817	0.003338527	0.00467225	0.001494082	0	0.007678955	0.002013403	0.000799756	0.004342536	0.001909046	0.006073759	0	0	0	0	0	0	0	0	0.002891036	0	0	0	0.007630908	0.014505834	0.028245714	0.003621017	0.000658022	0	0	0	0	0.001395194	0	0	0	0	0	0.000490763	0.003797158	0	0.005226353	0.001345834	0	0	0.000495967	0	0	0.001726553	0	0.000702363	0	0	0.000600228	0	0	0	0.009868747	0	0
PARP11	0.167712499	0.16431211	0.184075331	0.159059191	0.1466832	0.115781182	0.164527185	0.119273244	0.096663066	0.119904065	0.135071953	0.129789681	0.110401523	0.118819198	0.116533748	0.094560432	0.092763152	0.080858773	0.105709392	0.09265192	0.081974761	0.013522809	0.049806771	0.026206956	0.11278921	0.11273141	0	0.053110283	0.015922676	0.123778236	0.085334637	0.076958811	0.063328582	0.043930574	0.051501562	0.041989193	0.052641589	0.038589004	0.068911397	0.069339317	0.0627361	0.105595829	0.028476265	0.008655942	0.096890636	0.047445826	0.128662078	0.091161277	0.099886437	0.076203314	0.05582881	0.062963129	0.14794461	0.108795887	0.105789955	0.067959727	0.056768714	0.057177646	0.059481982	0.042861197	0.039770411	0.040686401	0.027535367	0.07034113	0.035763889	0	0.015727307	0.058017731	0.069865153	0.059516671	0.104750573	0.08385283	0.062659788	0.04335644	0.044137288	0.055308818	0.043841429	0.050846444	0.026891443	0.05072707	0.042253767	0.006632142	0.036081942	0.03123509	0.061549548	0.090441362	0.026113116	0.093652237	0.072697677
