UID	HSC-1	HSC-2	MPP-1	MPP-2	MPP-MEP	LMPP-1	LMPP-1-cycling	Multilin-1	Multilin-2	MEP-1	MEP-2	MEP-Eryth-1	MEP-Eryth-2	ERP-1	ERP-2	ERP-3	ERP-4	ERP-5	ERP-6	ERP-7	ERP-8	Erythroblast-1	Erythroblast-2	Erythroblast-3	MKP-early	MKP-late	MK-Platelet	BMCP-1	BMCP-2	LMPP-2	CLP	Pro-B-Early	Pro-B-1	Pro-B-cycling-2	Pro-B-Early-cycling	Pro-B-cycling-1	Transitional-B-1	Transitional-B-2	Pro-B-2	Pro-B-3	pre-B	B Memory-1	B Memory-2	Plasma Cell	CD4 TCM	T CD4 Activated	T CD4 Naive-1	T CD4 Naive-2	T CD8 Naive	CD8 TEM	MAIT	NK-Mature	MultiLin-GMP-1	MultiLin-GMP-2	MultiLin-GMP-3	preNeu	immNeu-1	immNeu-2	cMOP	Mono-1	Mono-2	Intermediate Mono-1	Intermediate Mono-2	Intermediate Mono-3	Classical-Mono	Non-Classical Mono-1	Non-Classical Mono-2	Myeloid intermediate 1	Myeloid intermediate 2	Myeloid intermediate 3	MDP-1	MDP-2	MDP-3	MDP-4	MDP-5	MDP-6	pre-DC-1	pre-DC-2	pre-DC-3	cDC1	cDC2-1	cDC2-2	pDC	ASDC	Mac	MSC Fibroblast-1	MSC Fibroblast-2	Osteoblast	Stromal Vascular
CCDC173	0.052845775	0.05884139	0.048534073	0.024929092	0.019037434	0.018114894	0.023056774	0.032929764	0.01802528	0.032199997	0.029093409	0.017775813	0.012445256	0.005696186	0.007423029	0.006256481	0.008744302	0.015606942	0.008793583	0.009280651	0.00659342	0	0	0.016569478	0.018774521	0.01957239	0	0.020850471	0.005815275	0.010575601	0.00890363	0.010274691	0.002409022	0.002265929	0.012071421	0.004065759	0.002324679	0.007919852	0.001813049	0.005789736	0	0.017833598	0	0.015341761	0.002812737	0.017586249	0.003552033	0.005641556	0.00832848	0.011161064	0.003107839	0.002420528	0.074031232	0.0140559	0.031738974	0.011642307	0.006893437	0.020567202	0.017809487	0.017330515	0.009454386	0.00084763	0.00817802	0.008054665	0.003966983	0	0	0.01067234	0.019063101	0.008405669	0.019845677	0.053482647	0.026712705	0.013849006	0.023830667	0.024972286	0.024681976	0.026348087	0.015169824	0.015913445	0.012416902	0.007071896	0.00719359	0.015144965	0	0.194499031	0.266172198	0.107153444	0.254145631
COL7A1	0	0	0	0	0.00056109	0.00090363	0.001249343	0.000757694	0	0	0.000874992	0	0.001141915	0	0	0.001060934	0	0.001020768	0.000519733	0	0	0	0	0.007976001	0.001107559	0	0	0.001557546	0.016748179	0.005974529	0.001522385	0	0.001178779	0.002917692	0.001472804	0.002212124	0.002100426	0.002202833	0.002001976	0	0.004054869	0	0	0	0	0	0	0	0	0	0	0.002430929	0	0.000491163	0.000638181	0.001077177	0	0	0.006135262	0.004031589	0.003433065	0.002837167	0.002349311	0.02031208	0.004440739	0	0	0.002177608	0.002029725	0.001094446	0	0	0.001298609	0	0.001254866	0.00387921	0.000195577	0.002635421	0	0.000999386	0.003347703	0	0.000522187	0	0	0.12534939	0.162746663	0.111817287	0.1047978
SPATA2	0.04573594	0.048443755	0.044860128	0.056765807	0.077460846	0.07559502	0.078093135	0.100461831	0.06252836	0.110197163	0.061198785	0.099338691	0.07591277	0.068672957	0.074785702	0.077288528	0.076486994	0.063322566	0.091313607	0.082435482	0.098258132	0.043767185	0.144916795	0.024530854	0.062654814	0.055689935	0	0.117742588	0.10896604	0.063520864	0.064143307	0.062666516	0.067204428	0.106996436	0.102874152	0.097757321	0.115563994	0.107238619	0.054829029	0.07623692	0.081273082	0.086561672	0.085925201	0.025124807	0.052685475	0.034051314	0.034122532	0.035229321	0.030772385	0.0887249	0.101711225	0.085156215	0.189536124	0.084567514	0.089387405	0.113642694	0.083725115	0.07574264	0.093750977	0.119238454	0.145192303	0.086101116	0.092438603	0.131767788	0.103700352	0.062629774	0.06703238	0.098164773	0.103005422	0.118124574	0.100121004	0.079281195	0.060111704	0.047285519	0.070510962	0.067623405	0.088971179	0.098015875	0.102981705	0.09635792	0.101109111	0.09204609	0.062363423	0.073271442	0.038985497	0.125026163	0.235924524	0.268863105	0.563985216
FNDC4	0.002399233	0.002452609	0.001169658	0	0.001301065	0.000276351	0	0	0	0.002719301	0.000598368	0	0	0	0	0.001364215	0.000521113	0	0	0.000476571	0	0	0	0	0	0	0	0.000969019	0	0	0.000392416	0	0	0	0.002722238	0	0	0	0.000403254	0	0	0	0	0	0.001026936	0	0	0	0	0	0	0	0	0.000170989	0.000455846	0	0	0	0	0	0	0.000529108	0	0	0	0	0	0	0.001193643	0	0	0	0	0	0	0	0.000525846	0	0.001388392	0	0	0	0.000364495	0	0.056770365	0.542115632	0.673512734	0.410261495	0.602355779
SAV1	0.256964875	0.226197787	0.286065329	0.214495761	0.220216596	0.202696937	0.234411307	0.23696456	0.151455376	0.263247346	0.250319462	0.307156456	0.24066528	0.217802914	0.226029098	0.192188742	0.26397414	0.239406185	0.246376077	0.279541049	0.361886547	0.327972481	0.245443987	0.183406423	0.292614635	0.225960341	1.108494045	0.144734327	0.078751007	0.134367349	0.121134157	0.116052289	0.155428473	0.14073518	0.112862487	0.117358609	0.116264931	0.161868746	0.128797728	0.144329926	0.19678807	0.344251574	0.168094956	0.111057827	0.11496479	0.213463612	0.141971987	0.141108172	0.061072884	0.150540021	0.096109105	0.06425614	0.23000391	0.18796604	0.219167502	0.175981476	0.121932932	0.084962152	0.100014859	0.092697617	0.079992663	0.082690793	0.088390214	0.125327208	0.059485753	0.010940193	0.141510222	0.114763546	0.125893919	0.116066541	0.06369544	0.132815176	0.076867829	0.047478926	0.047125411	0.056750079	0.070469216	0.097561858	0.072377203	0.104226222	0.074992258	0.057815234	0.078608818	0.069368219	0.088901548	0.808293022	0.617401402	0.882355694	1.615187367
GLIS2	0	0	0.000608764	0	0.001036709	0.000255693	0.001615763	0.0017765	0	0	0	0	0	0	0	0	0	0	0	0.000339752	0	0	0	0	0.001850706	0	0	0	0	0	0	0	0.000643964	0	0	0.000664129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000193642	0	0.000474605	0	0	0	0	0	0.001281077	0	0	0.000998947	0	0	0	0	0	0	0.001580214	0	0	0	0	0	0	0	0.001191675	0	0	0	0	0	0.25883687	0.274957511	0.170467289	0.371369792
KCNE4	0	0.000484359	0.001167408	0	0.0004659	0.000381203	0.001793681	0	0	0	0.000646309	0	0	0	0.000838171	0.000420296	0.000661237	0	0.000374955	0.00017565	0	0	0	0	0	0	0	0.002488694	0	0	0	0	0	0	0	0	0.000926404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000851812	0.000260376	0	0	0	0	0	0	0	0.012895563	0	0	0	0.000996802	0	0	0	0	0.001415479	0	0.002361428	0	0	0	0	0	0	0	0	0	0.006054088	0.34585246	0.638829783	0.905886404	0.910927909
ETV7	0.013565549	0.005820144	0.001349622	0.004627837	0	0.004227762	0.003809374	0.004945865	0.004909017	0.001554493	0	0	0.000966616	0	0.00224731	0	0	0	0	0	0	0	0	0	0.002529824	0.004034168	0	0.002233614	0	0.00217714	0.001712546	0.004697567	0.018584453	0.026416472	0.001183309	0.02347111	0.007899554	0.015641072	0.006722128	0	0	0.008204988	0	0.026796092	0.016560613	0	0	0.001426896	0	0.01047625	0.004824878	0.011809716	0	0.005077016	0.00380403	0.000699887	0.000330598	0	0.001870978	0.000668356	0.004810786	0.020115404	0.023751975	0.01348396	0.003246038	0	0.006473163	0.000941076	0.000714921	0.00168531	0	0	0	0.005715181	0	0	0.001390278	0.002138597	0	0	0.001989202	0	0	0	0	0.014728945	0.078932166	0.135381928	0.176825026
NCALD	0	0.003864768	0.003428251	0.005990448	0	0.010691043	0.002999011	0.015712452	0.01473636	0	0	0	0	0	0	0	0	0	0.000689807	0	0	0	0	0	0	0	0	0.000813425	0	0.021869988	0.006814989	0.0027336	0.006018985	0.006337617	0.002597691	0.00335049	0.000319932	0	0.002558474	0	0	0	0	0	0.032818497	0.013724968	0.002050727	0.00314487	0.01411231	0.066950626	0.127838003	0.313328461	0	0.011783241	0.017635891	0.00724006	0.005232122	0	0	0.005862961	0	0.001118082	0.002335074	0	0	0	0	0.008278219	0.015710247	0.007443132	0.03411726	0.004218697	0.001980972	0.007149949	0.000745669	0.004873555	0.027407532	0.023067051	0.024484376	0.011749786	0.004417487	0.001701196	0	0.005180227	0	0.221250084	0.247767039	0.287716317	0.457329977
DLX5	0	0.000602254	0	0	0	0	0	0	0	0	0	0	0	0	0.000635921	0	0	0	0.000394359	0	0	0	0	0	0	0	0	0	0	0	0	0.000642257	0.001224644	0	0	0	0.00055738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000198583	0	0.004601029	0	0	0	0	0	0	0	0	0	0.000343559	0.0004461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016683779	0.155957343	0.23688213	0.804414315	0.69022857
