UID	Chondrocyte	MEC	AF2	AF1	SCMF	Pericyte	ASMC	VSMC	Mesothelial	Neutrophil	maDC	IM	AM	iMON	pMON	cDC1	cDC2	pDC	PNEC	Megakaryocyte/Platelet	Plasma	CD8 T	NK	ILC	CD4 T	Treg	B	Mast/Basophil	CAP1	CAP2	AEC	SVEC	VEC	LEC	Ionocyte	Tuft	Basal	Suprabasal	Ciliated	AT1	RAS	AT2	Deuterosomal	Goblet	Secretory	SMG Basal/Duct	Mucous	Serous
NDE1	0	0.346031872	0.166687388	0.110475331	0.101303374	0.228001276	0.16682269	0.160285464	0.393385943	0.402832874	1.643428392	0.249210802	0.172312137	0.259684606	0.389877773	0.281057535	0.352983436	0.278873712	0.184131652	0.125308158	0.159396072	0.307811732	0.377480052	0.128376454	0.375739739	0.441301711	0.482427363	0.142229939	0.230177418	0.268327571	0.179445455	0.109247568	0.238175328	0.161578165	0.04803865	0.198793871	0.432615382	0.306335564	0.367906128	0.064873539	0.110734717	0.072926008	0.281289879	0.16547334	0.167938775	0.106211127	0.122521639	0.045211532
MAP3K14	0	0.177231675	0.162099015	0.20194043	0.025599405	0.083925714	0.045956853	0.026342197	0.178004981	0.01398387	1.449566432	0.185494971	0.070883196	0.093106766	0.152028459	0.684330627	0.285353118	0.181757694	0.131222283	0	0.096965297	0.14609256	0.201518215	0.127661398	0.121123081	0.420948692	0.283449846	0.128763065	0.22046078	0.118576758	0.266070538	0.158541159	0.233905177	0.08906225	0.082114431	0.028505648	0.162623385	0.092597699	0.126421976	0.23280484	0.15620736	0.282878936	0.107717331	0.110221957	0.162784254	0.119826421	0.018146717	0.076874955
ARHGAP22	0	0.188982255	0.024204133	0.007537954	0.039332172	0.00912407	0.039134771	0.034907917	0.139967882	0	1.015839675	0.434960708	0.149077017	0.143854821	0.06418617	0.17601089	0.315361431	0.014321862	0.025587411	0.335738665	0.014536738	0.010724302	0.003264808	0	0.008178119	0.006978052	0.023943929	0.021664415	0.024615339	0.003570101	0.02428285	0.036343492	0.041372085	0.007773531	0.007476563	0.005240899	0.24906588	0.021869129	0.016248148	0.006513438	0.04989282	0.038808501	0	0.017701483	0.040103218	0.015198307	0.002871429	0.006989859
SLC41A2	0	0.023270863	0.322973585	0.040994008	0.075079704	0.00610703	0.095332146	0.044401238	0.828931223	0	1.577628138	0.238009057	0.257285206	0.087243147	0.011887431	1.139842525	0.386381055	0.499309396	0.122569669	0	0.399349405	0.02119985	0.018648215	0	0.033481543	0.191949786	0.060621008	0.019648998	0.016749148	0.012849798	0.098191712	0.050758051	0.067804776	0.015897837	0.032618676	0.039812552	0.152240016	0.048656053	0.10866081	0.348482861	0.470229507	0.410212504	0.054046909	0.274213151	0.225894848	0.175284719	0.291609538	0.234713457
NFKBID	0	0.02364882	0.034463311	0.047061275	0.027202212	0.023995104	0.00406887	0.01422552	0.108166117	0.112536739	1.808861027	0.494873705	0.43466403	0.563338147	0.494127154	1.272881264	0.907971236	0.576834435	0.057265052	0.454762961	0.232613114	0.24357071	0.416554713	0	0.260277928	0.247893084	0.793731785	0.345023764	0.048992564	0.036974974	0.102821814	0.110661833	0.101575602	0.114771666	0.022497073	0.053416637	0.154920873	0.082747903	0.020824937	0.084081739	0.083424429	0.058566792	0.028600294	0.072078335	0.141856531	0.091755879	0.01907016	0.017982653
ENOX1	0	0	0.152532652	0.059457905	0.045962224	0.396315389	0.113939281	0.18186002	0.429723857	0	1.13888428	0.018897095	0.032906515	0.021856584	0.039103115	0.535808581	0.034589962	0.0084222	0.026614837	0	0.040641717	0.03162405	0.025926473	0	0.052291247	0.064347989	0.034485733	0.001479141	0.015559594	0.01536975	0.031147873	0.030915119	0.018246163	0.031768391	0	0	0.051649953	0	0.304471245	0.020233635	0.04194107	0.037191281	0.002744748	0.005193388	0.071927192	0.001108811	0	0
GCSAM	0	0	0.000648538	0	0	0	0	0.004716817	0.015797466	0	0.605103774	0.002168359	0.003168849	0	0.000846655	0.36028784	0.003825932	0.053575351	0	0	0.036550993	0.071741179	0.013348566	0.080495493	0.047944938	0	0.117314062	0.002514726	0.000908889	0	0	0.001562708	0	0.004531972	0	0	0.010180199	0.04267821	0.016810078	0.068669621	0.013925541	0.018763385	0.041419565	0.001100921	0.005015388	0.00656698	0	0
RELB	0	0.223435317	0.31836004	0.262115225	0.264523458	0.101006076	0.025503327	0.150111127	0.913409201	0.499375566	2.172489338	0.360110696	0.36794122	0.486542312	0.563890142	0.872541183	0.620859595	0.67436702	0.139383146	0.019757956	0.772018903	0.321890683	0.401289509	0.466727	0.341480628	0.945362615	0.600008449	0.393830098	0.305286948	0.320164499	0.380038089	0.506607319	0.373452487	0.307724817	0.312618879	0.263949534	0.529221864	0.390053375	0.130991334	0.207717384	0.448229222	0.372704198	0.068509827	0.186421487	0.335587354	0.250528512	0.057680534	0.049054121
LY75	0	0.230584174	0.00743715	0.075143968	0.031993	0.005808397	0.012642634	0.005915849	0.183282706	0.065833946	1.189017611	0.167731941	0.209280224	0.089379612	0.073633434	0.479115912	0.152656323	0.112404461	0.047137694	0.110259748	0.123610132	0.114704081	0.129067459	0	0.14892799	0.090184497	0.134465184	0.065313191	0.012062407	0.033803064	0.069105355	0.038535504	0.016005484	0.011496009	0.038351103	0.004627891	0.106412811	0.12582835	0.431333111	0.05867611	0.145002726	0.015169584	0.13569904	0.159467073	0.130115013	0.272940083	0.079133068	0.066443406
HMSD	0	0	0.004075053	0.009310581	0	0.038743588	0	0.021408225	0.072046844	0	0.577085795	0.006052744	0.005950235	0.010497245	0.005899357	0.067550186	0.019104828	0.019202993	0	0	0.004925008	0.009070076	0.001076379	0	0.008317571	0.025204857	0.007092821	0	0.039923213	0	0.002109686	0.002069945	0.032580743	0.005720035	0	0	0.029672639	0.114700347	0.01413816	0.158248672	0.021064475	0.016794477	0.019476516	0.041612149	0.014367304	0.003893214	0.002803292	0
TRABD2A	0	0	0.027649664	0.010706996	0.012388406	0.00213452	0.011557443	0.022304924	0.041968957	0	0.901402838	0.034505183	0.031766613	0.026417166	0.031275372	0.238345847	0.141973488	0.051053064	0	0	0.065134712	0.077410844	0.043366579	0	0.407433924	0.223288161	0.056080517	0.003627533	0.063037845	0.043217573	0.396004829	0.092659634	0.103337387	0.034396009	0	0	0.011952582	0.019445352	0.216527103	0.012963077	0.042584695	0.121782186	0.01283581	0.009541283	0.019823498	0.021549663	0	0
