UID	Chondrocyte	MEC	AF2	AF1	SCMF	Pericyte	ASMC	VSMC	Mesothelial	Neutrophil	maDC	IM	AM	iMON	pMON	cDC1	cDC2	pDC	PNEC	Megakaryocyte/Platelet	Plasma	CD8 T	NK	ILC	CD4 T	Treg	B	Mast/Basophil	CAP1	CAP2	AEC	SVEC	VEC	LEC	Ionocyte	Tuft	Basal	Suprabasal	Ciliated	AT1	RAS	AT2	Deuterosomal	Goblet	Secretory	SMG Basal/Duct	Mucous	Serous
DKK2	0	0	0.072719649	0.010596264	0.001927856	0.002716906	0.022904122	0.02958247	0.011156064	0	0.01951776	0.03182147	0.016673064	0.056776081	0.012125277	0.013131644	0.020114772	0	0.008449957	0	0.007021362	0.045639684	0.023221262	0	0.018049704	0.01958873	0.024868383	0.05732118	0.035426977	0.003025818	2.118306775	0.008276316	0.040037537	0.01201927	0	0	0.003023922	0	0.024149558	0.015907356	0.016355005	0.021079578	0	0	0.01093577	0	0	0
GJA5	0	0.045008795	0.015321262	0.149863665	0.029986399	0.030113541	0.009702026	0.133341165	0	0	0	0.009354198	0.003925196	0.005340202	0.003473941	0	0.001787708	0.0140372	0	0	0	0	0.001279949	0	0	0	0	0.002717916	0.452577059	0.058034438	1.921124939	0.052026184	0.397249202	0	0	0	0.001022659	0	0.007655139	0.011514838	0.008951734	0.002823186	0	0.001139384	0.004673295	0	0	0.002716365
BMX	0	0	0.015502018	0.023135727	0.007605822	0	0.001747848	0.00142784	0.082612523	0.106363932	0.021541173	0.01540951	0.030938981	0.025843873	0.020333526	0.010418281	0.026057557	0	0.053979195	0	0.021036879	0.010848964	0.013611542	0	0.008869949	0.03524142	0.014182704	0.001131376	0.0614283	0.003542126	1.368933871	0.208406662	0.076821357	0.44509998	0	0.282877168	0.003960076	0	0.023766691	0.014751707	0.013764057	0.015485988	0.01334076	0.002702865	0.014756591	0	0.006194219	0.004010086
LINC00551	0	0	0.002937406	0.001575752	0	0.002014076	0	0.001615806	0	0	0	0.000880721	0.002823373	0.001099829	0	0	0.003262561	0.009771504	0.005582555	0	0	0.001420524	0	0	0	0	0.002412233	0.00155443	0.068436804	0.03437296	0.624919119	0.001844082	0.000976955	0.002394738	0	0	0	0.002602693	0.001425381	0.000985812	0	0.003778948	0	0.005613754	0	0	0.005712272	0
HEY1	0	0.079726841	0.011552988	0.021001127	0.00710441	0.071159076	0.013202012	0.053392271	0	0	0.011380502	0.021238123	0.036560035	0.030196176	0.024208748	0.01950399	0.004489826	0	0.258811195	0	0.020597668	0.008543956	0.00335104	0	0.001034654	0	0	0.18977982	0.854863756	0.123839215	1.785693169	0.105742473	0.337063437	0.026820196	0.1713328	0.256366721	0.189138937	0.773189057	0.074127912	0.011288533	0.017895715	0.008432958	0.121451768	0.706822004	0.30172107	0.281221934	0.409340684	0.66162844
IGFBP3	0	0.410398723	0.474888424	0.157297419	0.206873055	0.104550595	0.36452719	0.121686795	0.265487865	0	0	0.003508293	0.013094272	0.003539831	0.005410918	0.024864129	0.002797993	0.048084873	0.058374056	0	0.012215182	0.053184829	0.024447252	0	0.033317448	0.003289344	0.011147394	0.001046639	0.071726268	0.108687161	2.353574195	0.198940952	0.055051627	0.003068557	0.197050899	0.212304341	0.53254271	1.552893437	0.083714078	0.006640419	0.082248797	0.006170388	0.300563514	0.975040794	0.660370046	0.813161671	0.005385758	0.050688399
CXCL12	0.400482097	0	0.79340578	0.635053097	0.303998488	0.006059369	0.05738119	0.485836014	0.072277702	0	0.005194326	0.220179317	0.003491914	0.002980268	0.00700511	0	0.006312764	0	0.009394864	0	0.003416389	0	0.001643184	0	0.001863747	0	0	0.003207038	0.209792605	0.010597297	1.77361537	0.409712272	0.098155951	0.007069243	0.128439038	0	0.001446922	0.001523269	0.004782232	0	0.009849719	0.000670239	0	0.015190592	0.002694663	0.002549073	0.003708021	0.001175387
SSTR1	0	0	0.020027521	0.018119375	0.037579528	0.001887092	0.002503928	0.001567388	0.340544325	0	0	0.000895205	0.000543885	0.001610186	0	0.001256457	0	0	0.063960208	0	0.00083257	0	0	0	0	0	0	0.001377147	0.232913881	0.027517046	0.671112027	0.018848641	0.099817861	0	0	0	0	0	0.000690085	0.002473982	0	0.000872422	0	0.000850643	0.006206489	0	0	0
ENPP2	0.523564511	0.003679566	0.048003147	0.484966856	0.451312501	0.039466257	0.071214155	0.120436342	0.27277348	0	0.190249231	0.388015595	0.02756373	0.019666895	0.038151599	0.303851272	0.168819187	0.492995321	0.103475913	0	0.011324226	0.014170956	0.010374318	0	0.034008465	0.015809188	0.005898238	0.058082252	0.22358544	0.013530957	1.697787719	0.753166934	0.041354337	0.058966588	0.074347031	0	0.007512581	0.003127169	0.085879225	0.265309749	0.019892851	0.013968489	0.005343539	0.001243129	0.011221247	0	0	0
EFNB2	0	0.160183242	0.046053478	0.021291746	0.052928251	0.014599549	0.048220448	0.046980633	0.572555328	0.073647047	0.144130717	0.01338475	0.01362399	0.011518187	0.006623821	0.010832717	0.006960138	0	0.033642917	0.21927133	0.023939409	0.016843605	0.022958432	0	0.030673932	0.002350946	0.020875963	0.055450356	1.085074974	0.361966566	1.956242422	0.554527476	0.354981244	0.571659577	0.538814568	0.442082518	0.283416182	0.397975313	0.040414289	0.213475188	0.293846323	0.36955406	0.099319397	0.373693775	0.306124549	0.701659272	0.229310979	0.045443842
THSD7A	0	0.022015224	0.045729184	0.046885212	0.014067172	0.002199894	0.023762028	0.00283954	0.098588667	0	0.001782113	0.026359651	0.023233706	0.025198426	0.027578499	0.042615755	0.026438904	0.062691893	0.095502931	0	0.015951228	0.015571866	0.02909769	0	0.032616664	0.031339182	0.026114333	0.072023484	0.241291694	0.030855265	1.499046921	0.60390031	0.146305894	0.650025754	0.094519338	0	0.141269206	0.13750126	0.059150478	0.421091504	0.228937547	0.203088486	0.018788292	0.089737483	0.139422739	0.020338969	0.007305539	0.017292037
SERPINE2	1.490912291	0.857553927	0.935368431	0.073622129	0.367958113	0.019188416	0.166333187	0.014890483	0.214187787	0	0.011828364	0.005720768	0.016214683	0.008339162	0	0.045599517	0.007089284	0.009778496	0.013173158	0.828530234	0.085778526	0.033985452	0.07377729	0	0.008365086	0.098075801	0.046457091	0.011092638	0.014041155	0	1.433755827	0.053380643	0.123082622	0.004808533	0.015773095	0.058185374	0.309059998	0.045457209	0.008775169	0.003316697	0	0.004328327	0.022770506	0.01988841	0.001697709	0.016284115	0.021457872	0.058519622
NPR3	0	0.00651043	0.039770465	0.007435446	0.087275775	0.022103852	0.119580792	0.171993113	0.009692141	0.066759497	0.035372738	0.011037987	0.010577886	0.009378451	0.00785728	0.00275317	0.010375377	0.048855549	0	0.329163684	0	0.008683405	0.005821492	0	0.007501994	0	0.001198694	0.002167744	0.714012391	0.097834247	1.138403102	0.141342069	0.684659055	0.00845475	0.014591904	0.003022688	0.011642148	0.023962771	0.103835012	0.079558391	0.018004442	0.000741437	0.00769196	0.004326504	0.021893454	0.000729995	0.00598021	0
AIF1L	0.963716023	0.125623434	0.243235018	0.009663045	0.002233168	0.017503508	0.007258498	0.249027215	0.010347093	0	0	0.00287469	0.005487909	0.003070201	0.002416043	0	0.008215942	0.002340041	0.008549164	0	0.0146367	0.01081083	0	0	0.004669405	0	0.00733719	0	0.192608408	0.047535871	0.86289535	0.323147191	0.158846489	0.009972873	0.009822423	0.210057272	0.018418294	0.043389635	0.009319376	0.030911871	0.039513618	0.01385678	0.095841199	0.026647906	0.040536625	0.152255941	0.110322122	0.524798967
F8	0	0.045014435	0.057563859	0.069013611	0.046897974	0.061784892	0.041597386	0.016837149	0.09935764	0.047474963	0.02297478	0.040253849	0.155807409	0.021359966	0.02632858	0.075467726	0.052149689	0.020115623	0.19988851	0.014019542	0.042947101	0.048901506	0.040963911	0	0.054311046	0.046413958	0.019539788	0.044702401	0.723773818	0.106238617	1.425523189	0.765113599	0.47250847	0.992813205	0.049090581	0.0144421	0.05224837	0.049703613	0.111232649	0.074257108	0.084657396	0.070729213	0.013933492	0.040013283	0.030148983	0.008788974	0.025420016	0.046125506
GIMAP8	0	0	0.001980241	0.009044714	0.001947012	0.009538946	0.014360742	0.004304595	0.096706858	0.016200966	0.014582572	0.169609548	0.051594919	0.182787506	0.325572893	0.007195712	0.10919804	0.012908088	0	0	0.002808356	0.066352882	0.072322798	0	0.096339488	0	0.006878061	0.017622364	1.01515358	0.727199244	1.339514549	0.64754447	0.688557695	0.675068693	0	0	0.002677665	0.001335894	0.004721096	0.006972743	0.014988696	0.008595796	0	0.005595631	0.010074512	0.002026385	0.002097845	0
SHE	0	0	0.070725734	0.030274946	0.013724252	0.007377068	0	0.003458035	0.085765806	0.014056692	0.029134882	0.067380434	0.008652416	0.038796349	0.016216753	0.215409285	0.009944133	0.011454886	0.053444337	0.128959561	0.004525759	0.0068779	0.011794915	0	0.006043888	0.018216136	0.027365083	0.058583183	0.810849546	0.213251436	1.151745155	0.551590984	0.818859908	0.569545999	0.002637241	0.004168893	0.038811337	0.002047078	0.013815069	0.099754775	0.041769736	0.201257511	0.029108993	0.054921614	0.051227492	0.003397813	0.004943938	0.045457013
DIPK1B	0	0.061444503	0.02109868	0.002210471	0.058520808	0	0.043734882	0.00487393	0.006197729	0	0.007400337	0.008309325	0.00542301	0.005653632	0.004786044	0.012404089	0.009684961	0.082674699	0.052027984	0.407122882	0.007808946	0.001375548	0.004636677	0	0	0	0.008413797	0.011593794	0.253269725	0.124032739	0.567281065	0.2320921	0.159957098	0.002363687	0.017211562	0.012660055	0.018389215	0	0.005615461	0.005840066	0.010575915	0.051531908	0.000916592	0.021646371	0.006968146	0.022395193	0.005059836	0.034520752
TSPAN2	0	0.33952069	0.018469544	0.015127742	0.112826922	0.044471351	0.603919729	0.323034383	0.226546987	0.020888648	0.11070626	0.005557173	0.004734165	0.055611539	0.003499383	0.185514804	0.042715625	0.081832521	0.00701717	0.242001206	0.059824017	0.113643163	0.171156298	0.163898751	0.061465967	0.008738354	0.007055146	0.005096932	0.109490293	0.022927843	0.902091193	0.082085572	0.152153799	0.058972022	0.051572572	0.002033118	0.048779036	0.023640987	0.09407223	0.001111355	0.001091874	0.002783249	0.611879018	0.024115874	0.029073118	0.140486768	0	0.10096596
CYP26B1	0	0	0.01441578	0.005967262	0.092153913	0.002014202	0.024527905	0.027927744	0.065404806	0	0	0.001026398	0	0.001214415	0	0	0	0	0	0	0	0	0.001014586	0	0	0	0	0	0.034683234	0	0.351631659	0.00462429	0.015761979	0	0	0.216109968	0.014417171	0.00353525	0.000696206	0.002540777	0	0.000385088	0	0.001364034	0.00155755	0	0	0
ARC	0	0.161789357	0.137779555	0.011184019	0.010908288	0.005662203	0.007640478	0.012413785	0.260454369	0.031982112	0	0.006032655	0.008393455	0.002991187	0.003342822	0.003776095	0.010336851	0	0.134543847	0	0.004266675	0.006015606	0.00565214	0	0.002972705	0.008109308	0.000856046	0.004026485	0.18805264	0.308349383	0.640716758	0.074622941	0.178505597	0	0.062188759	0.047924993	0.014830611	0.01967108	0.00253786	0.00992108	0.06746514	0.069778996	0.010215497	0.009781278	0.012995349	0.015325376	0	0
DLL4	0	0	0.001170096	0.004466888	0.002473462	0.013125469	0	0.001658192	0.189062033	0	0.032253361	0.002162237	0.001371435	0.000966526	0	0.020760768	0.00303181	0.005357437	0.245494114	0	0.018302898	0.0010617	0.00456744	0	0.003815889	0	0	0.001379259	0.401950643	0.470752076	0.832598038	0.204973005	0.077896088	0.421359731	0.055162101	0.015634041	0.001825829	0.001077631	0.000541049	0.035616274	0.046793703	0.102004337	0.011598308	0	0.00293758	0	0	0.040753809
PIK3C2B	0	0.059930212	0.045243903	0.022896576	0.005365261	0.015017093	0.018072727	0.022459376	0.112267688	0	0.03183008	0.025976464	0.042490156	0.016914375	0.010034727	0	0.05148471	0.015127689	0.161534263	0	0.214689251	0.12278733	0.04146231	0	0.079710069	0.13526619	0.20214746	0.298307678	0.380327747	0.383818358	1.156635613	0.306048649	0.571604642	0.264932922	0.004453592	0.471084015	0.094282954	0.098585425	0.087260088	0.0304001	0.07418912	0.093143476	0.078825891	0.192662585	0.062616357	0.177545475	0.08016686	0.16100123
PKN3	0	0	0.012118506	0.014199453	0.007605822	0.007386626	0.002810232	0.016955087	0.024937773	0	0.007357611	0.012770048	0.01763868	0.007632977	0.003645362	0.077906105	0.015021342	0.057380632	0.006211167	0.060419347	0.008900582	0.013595508	0.019325987	0	0.007920944	0.061091851	0.008289006	0.013416291	0.202372806	0.365964859	0.650692098	0.32254068	0.278226366	0.25533606	0.018741929	0.0026118	0.044256622	0.039910815	0.032474488	0.02552825	0.028770852	0.065460723	0.206086713	0.045771523	0.04782088	0.110639052	0.052663539	0.068258402
KCNMB4	0	0.073751283	0.063863558	0.14865151	0.091504651	0.058556153	0.010773767	0.063680634	0.071372599	0	0.017065846	0.094011503	0.014532254	0.026496084	0.006373536	0.030793657	0.042683421	0	0.016437255	0.052087748	0.005707965	0.024180303	0.033745073	0	0.035231824	0.015767398	0.020152646	0.024208992	0.533624366	0.2714089	0.763844242	0.125554479	0.437070827	0.030878106	0.06243706	0.025573407	0.05216705	0.005732062	0.008190401	0.024994099	0.015759222	0.01039328	0	0.009067596	0.012939534	0.021535897	0.00433187	0.012470143
GFOD1	0	0.160391984	0.035276905	0.34107586	0.106245175	0.153440726	0.099580199	0.266068322	0.252540551	0.053136877	0.077162151	0.281747784	0.249114922	0.292374667	0.503515291	0.388944709	0.185565667	0.085331202	0.042866038	0.35433567	0.101902658	0.283466812	1.017915263	0	0.074170934	0.067509132	0.27787069	0.062216148	0.757314065	0.925460651	1.568543175	0.704618192	1.105751809	0.268069266	0.104545271	0.253141349	0.086490626	0.13800985	0.073762791	0.052630019	0.034294238	0.020793923	0.043492826	0.174858477	0.181165653	0.31563398	0.025155277	0.137152083
PLPP1	0.338795554	1.138142986	1.261978047	1.243178162	0.751840019	0.407033106	1.122521595	0.63635102	1.032826075	0.016487982	0.350347723	0.096368586	0.197052246	0.038976105	0.076170522	0.876320816	0.15149585	0.211485365	0.315648965	0	0.147002777	0.11685171	0.08504245	0	0.240141231	0.342846563	0.173143789	0.432354122	0.673224253	0.941816313	2.279151253	0.955124188	1.100375623	1.775211025	0.531643586	0.078651638	0.387364097	0.236009424	0.197766245	0.389346326	0.416800956	0.375544927	0.070786076	0.313955677	0.375611419	0.225842833	0.088437889	0.032958642
NOS1	0	0	0.020935326	0.007504276	0	0	0	0.022884314	0.024157463	0	0.304210917	0.026359493	0.02712068	0.025107217	0.030517575	0.045746149	0.038014634	0.002141316	0.322644764	0	0.017107814	0.02997596	0.012370099	0	0.016757173	0.002512375	0.052192035	0.003766848	0.048814405	0.048868851	0.686199449	0.031336447	0.623003135	0.013744778	0	0.001904588	0.057067993	0.012525112	0.051641198	0.015569327	0.01365689	0.020742921	0	0.009173696	0.031377211	0.004626357	0.00152734	0
CPAMD8	0	0.224096468	0.02436946	0.014086963	0.015633867	0.018010609	0.016602267	0.041202509	0.11312658	0	0.052944648	0.031129668	0.029539935	0.043023238	0.035154295	0.01384655	0.026224424	0	0.011036023	0.019757956	0.049907837	0.045882118	0.029737627	0	0.005050484	0.013595896	0.037239839	0.096472867	0.348534928	0.421718968	0.942523567	0.103452927	0.114535052	0.225117111	0.034643976	0.037952989	0.127284312	0.202755349	0.079104184	0.135824763	0.469073502	0.28335132	0.031238495	0.162143078	0.306136658	0.119264603	0.044651105	0.02409688
JCAD	0	0.034558606	0.13019235	0.079981396	0.218267205	0.049526007	0.279977404	0.039420841	0.019543669	0.016487982	0.007248953	0.01298202	0.014418214	0.01373795	0.022531066	0.038824026	0.015737987	0	0.066381306	0	0.007189721	0.011992961	0.012100996	0	0.022497645	0.059313971	0.018864169	0.013197808	0.787071839	0.720085247	0.955619617	0.510950495	0.626501508	0.435790264	0.002209901	0	0.039389885	0.016113973	0.056056714	0.020667116	0.008434007	0.024494615	0.020364011	0.016645808	0.020546071	0.002673207	0.026701186	0.052263593
FGFR4	0	0.052319372	0.044581248	1.307646584	0.004229107	0.319872833	0.018835048	0.038897981	0	0	0	0.00519138	0.004404896	0	0	0	0.005569345	0	0.011264391	0	0.001819801	0.006924787	0.002707426	0	0.003393897	0	0.001740055	0.001612442	0.008494098	0.012349927	0.004816186	0.001492584	0.000786114	0.005553256	0	0.002231472	0.011987706	0.002952045	0.011227915	0.006617665	0.001219995	0.006998114	0.00991989	0.002385998	0.002492193	0.002946326	0.001875773	0.000943858
SCN7A	0	0.005019066	0.923068195	2.826392703	0.929590915	0.940202483	0.261363338	0.377207864	0	0.053273715	0.03712887	0.005127629	0.004369351	0.003745595	0	0.063284116	0.010123472	0	0.455410445	0	0.001427278	0.001424647	0.002127794	0	0.005676124	0	0.001490513	0.067486805	0.036884837	0.015261572	0.015119853	0.003179654	0.003691642	0.007697145	0.045748643	0	0	0	0.006569447	0.006433701	0.003879535	0.003186242	0	0.001376381	0.003056097	0.018331385	0	0.012696935
GPC3	0	0.390074217	0.791335036	2.688851971	0.202846738	0.071084952	0.142247624	0.203844218	0.636540285	0	0.030288297	0.019214502	0.030700435	0.018878965	0.026304269	0.130560897	0.026967716	0.005027815	0.011938575	0	0.019108201	0.029045012	0.029668291	0	0.02185689	0.032510509	0.014903681	0.052396992	0.031057432	0.033821686	0.02127798	0.050339003	0.004772299	0.025973085	0.001457661	0.104485739	0.825995232	0.036515227	0.538396293	0.025324986	0.175027674	0.05376267	0.003623464	0.005619757	0.044291524	0.008868298	0.016863495	0.028554774
VEGFD	0	0	0.192147444	1.147956717	0.008535202	0.009755709	0	0.037945405	0.011184373	0.016117187	0.010335287	0.02403381	0.016754219	0.015264885	0.001660929	0.006880169	0.012590813	0	0.016893051	0	0	0.010898206	0.002490774	0	0.00510765	0.011506445	0.007548443	0.003575973	0.052067385	0.013899216	0.054620592	0.011695039	0.051396435	0.024120148	0	0.054950457	0.019435739	0.023773984	0.018039928	0.004149231	0.009774861	0.037102764	0.006599723	0.006400098	0.007733125	0	0	0
NKD2	0	0.154807891	0.279490888	1.202866141	0.287596429	0.021870131	0.010492644	0.001696825	0.096706858	0	0	0.004818546	0.002113965	0.001754482	0	0	0.000620248	0.048821002	0	0	0.001259314	0.001424647	0	0	0	0	0	0.001545763	0.005191752	0.002768134	0.00541492	0.036001957	0.007636063	0.010906766	0.002301454	0	0.021031057	0.000288893	0.022849207	0.002075848	0.000731106	0.007030558	0.047115554	0.020934176	0.001554772	0.004243069	0	0
SVEP1	0	0.148673513	1.151935838	1.845754915	0.299096445	0.056879834	0.050977677	0.042556573	0.651646604	0	0.019095604	0.009171147	0.006615636	0.010664974	0.006764151	0.020926875	0.008650014	0	0.081678563	0	0.027073773	0.00470101	0.014151188	0	0.010060278	0.015106275	0.017284391	0.008337521	0.028746132	0.016410551	0.017081556	0.019877508	0.0205012	0.017904866	0.00199277	0	0.004317754	0.000658715	0.043457618	0.011183482	0.014240039	0.008040636	0.020888645	0.00105903	0.022282467	0.005900601	0	0.025717871
GRIA1	0	0	0.018343011	0.673646768	0	0.004021175	0.017931704	0.03616125	0.147574279	0.017366275	0.025283016	0.007689403	0.021249777	0.010558893	0.004675882	0.004453254	0.008400791	0	0	0	0.009186772	0.001208288	0.016796119	0	0.012011321	0.01082785	0.01044801	0.001717381	0.021885285	0.007989246	0.017860372	0.017652313	0.008055947	0.087504156	0	0	0.007095618	0	0.011658424	0.008889916	0.018810613	0.014478941	0	0	0.006250155	0	0	0
INMT	0	0.225428081	0.559997826	2.256565176	0.702595638	1.112062896	0.248948327	0.939181887	1.096587929	0.048651717	0.00373396	0.035046705	0.010598841	0.010122391	0.007550083	0	0.029552183	0.010775717	0	0	0.025504134	0.003604639	0.002338176	0	0.002107226	0	0.005315767	0.016606517	0.156003845	0.484166485	0.101054633	0.152304278	0.530943053	0.010165203	0	0	0.0037942	0	0.012424729	0.010237445	0.007057243	0.015934276	0.004726357	0.006988684	0.01412312	0	0	0
WNT2	0	0	0.155348963	0.624019976	0.018146415	0.009746907	0	0	0.147444089	0	0	0.003514426	0.001482388	0.002534291	0	0.032844122	0.001915749	0	0	0	0.012779619	0.004557453	0	0	0.004444489	0	0.014731387	0	0.004947479	0.016415312	0	0.0004903	0.01693741	0.032146231	0	0	0.002706412	0.00339866	0.001640894	0.001819542	0	0.00087657	0.004812091	0	0.003325067	0	0	0
TCF21	0.822744636	0	0.640308004	1.956517732	0.220374484	1.291395235	0.207402103	0.794048382	0.038727029	0	0	0.005318405	0.004858066	0	0.001845935	0	0.001899379	0	0	0	0.017601153	0.012974643	0.003360603	0	0.009914927	0	0	0.002514388	0.012049828	0.012097108	0.003299462	0.002434168	0.00529666	0.003617035	0	0	0	0.006954837	0.003897493	0.014130647	0.003300742	0.012214714	0.009712776	0	0.000420165	0	0	0
SPON1	0.400482097	0.040917828	0.85145954	1.636410655	0.731320349	0.263315985	0.446411439	0.186924314	0.317826777	0	0.008772701	0.013180799	0.017643951	0.012962531	0.034263151	0.007390696	0.03868653	0.001911966	0.032157729	0	0.025033086	0.086978462	0.035480967	0.479393831	0.052022157	0.079180636	0.086239837	0.019429628	0.022471382	0.019162316	0.044239538	0.02897319	0.014334082	0.035091468	0.027049399	0.056554589	0.093734953	0.029687801	0.031784354	0.085545609	0.04853251	0.046070617	0.010250334	0.022523049	0.055019154	0.018842709	0.033420666	0.004922506
GDF10	0.924046608	0	0.329291011	0.986932481	0.344047222	0	0.029120586	0.00679412	0	0	0	0.002101127	0.001830323	0.001172602	0	0	0.002812927	0	0.008813155	0	0	0	0.002354625	0	0.003690851	0	0.005259349	0	0.001118018	0	0	0.001334486	0.001118149	0.005498109	0	0	0	0.00094457	0.000644831	0.000880599	0	0	0	0	0	0	0	0.01062216
CDH11	0	0.665665147	0.643119552	1.826988522	0.79620161	0.154872719	0.248721209	0.151182896	0.78678654	0.017366275	0.002445713	0.008947681	0.004425482	0.004406349	0.006014472	0.004544785	0.011675582	0	0.003154401	0	0.001191872	0.00382222	0.010814075	0	0.005010907	0	0.006947362	0.001612442	0.04694078	0.016439349	0.213549321	0.284781063	0.587551272	0.110261519	0.01991621	0.002231472	0.247911177	0.116828262	0.009629552	0.004978965	0.048187996	0.041117395	0.003701383	0.010249285	0.187951211	0.214581313	0.005725604	0.021603408
ANGPT1	0	0	0.144584392	1.56558415	0.895074555	0.568455414	0.574023096	0.801708106	0.022287384	0.017228751	0.010292669	0.01919024	0.018265357	0.023709317	0.011005704	0.014713404	0.032551839	0	0.002538362	0.348153632	0.022490218	0.014617616	0.021020889	0	0.012921423	0.008802123	0.018625154	0.01383927	0.045232317	0.037390019	0.020424292	0.00430015	0.023068748	0.013871354	0.106395559	0.035598389	0.08566507	0.050885238	0.063399694	0.020607565	0.011229244	0.019786175	0.001878949	0.029869543	0.040013475	0.229293165	0.01792088	0.042662359
ITGA8	0.338795554	0	0.067603077	1.575210913	0.25251697	0.252426669	0.694777503	0.859431761	0	0	0.039619321	0.01426934	0.020629844	0.014297022	0.030827633	0.00912505	0.016240129	0	0	0	0.485084452	0.00503676	0.010347067	0	0.018406342	0.008802123	0.025990058	0.001545763	0.041370499	0.011908183	0.012738653	0.042436663	0.040869041	0.0593383	0	0.053419311	0.006365016	0.005153682	0.017810039	0.015609028	0.002878479	0.019041036	0.010155629	0.005533061	0.006813375	0.008612877	0.065785441	0.00899652
PTGDS	0.855521355	0.011514462	1.301490524	2.828027978	0.583205412	0.037166592	0.200517864	0.064964125	0.912156735	0.12704577	0.048198669	0.035399986	0.026596441	0.012804099	0.00599484	0.057841635	0.021824948	1.422171627	0.012916759	0	0.035881782	0.066946681	0.610072648	0	0.023706693	0.049628221	0.007166042	0.020306905	0.285151531	0.259443726	0.661937381	0.779480559	1.839448936	0.033613696	0.016256609	0.010629677	0.005804424	0.003354397	0.01163755	0.021981129	0.02618062	0.029187193	0.01012666	0.013670998	0.031327659	0.009525541	0.020608776	0.015074237
PLEKHH2	0.439583858	0.358805933	0.668881683	2.091229109	1.243802989	0.840637027	0.832747343	0.58026429	0.555971051	0	0.047903008	0.024620662	0.022761126	0.008197783	0.004495829	0.011229299	0.018083433	0	0.1628229	0	0.031241095	0.019958133	0.009155957	0	0.051643322	0.008727854	0.027568723	0.041981298	0.044852255	0.040021674	0.023257315	0.030744451	0.01009667	0.060892532	0.079308405	0.16753364	0.232913828	0.22334861	0.146743003	0.534341043	0.230768838	0.104843772	0.072695866	0.202521629	0.200540102	0.294417889	0.282449183	0.087478588
FBLN5	0	0.809308807	1.818413025	2.315219398	0.898029166	0.063996578	0.710374689	0.289803046	0.187791001	0.017692633	0.002651164	0.058055679	0.01243758	0.016811935	0.024516472	0.031135715	0.007104382	0	0.010264399	0	0.006963351	0.08229593	0.036185436	0	0.162303125	0.042971466	0.006641956	0.016264286	0.01503255	0.006796353	1.051330873	0.010154909	0.014016056	0.161010787	0.121297186	0.010629677	0.138965853	0.041757376	0.221468591	0.602026951	0.195158093	0.245642153	0.283318425	0.133327485	0.163268043	0.117462782	0.178725186	0.226948509
COL13A1	0	0	0.053703023	0.61326082	0.117978549	0.040235052	0.07057038	0.028351058	0.009438004	0	0.043896517	0.00637566	0.0036831	0.003253392	0.005997325	0.002110239	0.009077916	0	0	0	0.001091455	0.001316756	0.036512829	0	0	0	0.003746341	0.115231653	0.011245789	0.000952199	0.003129881	0.028127206	0.017690166	0	0	0	0.007093375	0	0.013482046	0.002782006	0.004837338	0.000695461	0	0.000634739	0.005733038	0	0	0.011624018
SLIT2	0	0.570759188	1.609770549	2.134051089	0.760424704	0.238386071	0.292585075	0.309782727	0.853496304	0.017366275	0.020152152	0.026970785	0.026809505	0.022843608	0.025216319	0.050070226	0.025680168	0.052550862	0.091939263	0	0.006601596	0.024377486	0.020893355	0	0.011876742	0.003299853	0.002501226	0.014309103	0.060796714	0.050559452	0.028050016	0.018539979	0.02065435	0.044326289	0.04558162	0.122522545	0.160018953	0.115544767	0.348350365	0.008275586	0.033457111	0.117549564	0.033840413	0.079397718	0.059115867	0.08312602	0.00754651	0.081601496
MFAP4	1.781146684	0.095618339	2.320232895	2.957935047	1.76095382	0.224757451	1.904259204	1.921827668	0.11360182	0	0	0.011803783	0.016651394	0.006011083	0.012974114	0	0.03813042	0	0	0	0.018403798	0.002878576	0.002230315	0	0.009292886	0.029197455	0.071084303	0.018815975	0.019582272	0.010020696	0.007653695	0.011092584	0.005575383	0.38388272	0.011166958	0	0.037901644	0.004458401	0.011622564	0.014976341	0.007673981	0.008941794	0.037287502	0.006051029	0.015913853	0	0.080487591	0.039453305
ADRA1A	0	0.04241693	0.011301488	0.34754167	0	0.009364904	0.011888842	0.003074958	0.021026976	0.017366275	0.004833616	0.001762387	0.00319396	0.00105757	0.001418035	0.005808383	0.001400206	0	0	0	0	0	0.002971392	0	0.004967976	0	0.005214572	0	0.009652378	0	0	0.004908611	0.002720195	0.003352321	0	0	0.007801704	0	0.004879336	0	0.004426642	0.002740324	0	0	0	0.004382592	0	0
MYH10	1.263124027	0.313158188	0.422255001	2.058983348	0.97659629	0.24074073	1.364624301	1.207495232	0.801510796	0.03296919	0.072275756	0.058752758	0.053338124	0.055447203	0.032438774	0.13377834	0.060709248	0.199720867	0.202165723	0.16442608	0.075210128	0.058726438	0.028959329	0	0.020309362	0.050810522	0.046496008	0.114897861	0.103785203	0.103159116	0.151089846	0.202750577	0.090580519	0.635860612	0.258544068	0.057229238	0.227873628	0.151204698	0.391580672	0.1932092	0.247579943	0.155092583	0.615305656	0.084385617	0.140967521	0.112592401	0.154786765	0.049182751
