UID	Lymphatic EC proliferating	EC aerocyte capillary	EC general capillary	EC arterial	EC venous pulmonary	EC venous systemic	Lymphatic EC differentiating	Lymphatic EC mature	Peribronchial fibroblasts	Pericytes	Subpleural fibroblasts	Adventitial fibroblasts	Alveolar fibroblasts	Smooth muscle FAM83D+	SM activated stress response	Smooth muscle	Myofibroblasts	Mesothelium	Neuroendocrine	AT0	AT1	AT2 proliferating	AT2	Multiciliated (nasal)	Multiciliated (non-nasal)	Deuterosomal	Hillock-like	Club (nasal)	Basal resting	Suprabasal	Ionocyte	Tuft	pre-TB secretory	Goblet (nasal)	Goblet (subsegmental)	Club (non-nasal)	Goblet (bronchial)	SMG duct	SMG mucous	SMG serous (bronchial)	SMG serous (nasal)	Hematopoietic stem cells	NK cells	T cells proliferating	CD4 T cells	CD8 T cells	Plasmacytoid DCs	DC1	Migratory DCs	Mast cells	B cells	Plasma cells	Alveolar Mph proliferating	Monocyte-derived Mph	Alveolar macrophages	Alveolar Mph CCL3+	Alveolar Mph MT-positive	Interstitial Mph perivascular	Classical monocytes	Non-classical monocytes	DC2
SRPX2	0	0.040518595	0.017786706	0.099954221	0.072012932	0.043134029	0.00145662	0.027008681	0.135433614	0.111537839	0.167715883	0.602338625	0.504847609	0.006190826	0.000247394	0.013607284	0.145001901	0	0.062696721	0.002339238	0.079039684	0.003921983	0.020435912	0.247366676	0.091415483	0.094798774	0.145740091	0.085548565	0.090780104	0.155702605	0.013812138	0.116512518	0.02605566	0.144611056	0.008301399	0.055781418	0.156441317	0.017585938	0	0.010259578	0	0	0.005180161	0.00467862	0.006032867	0.020051012	0	0	0	0.005639509	0.003078958	0.00588442	0.020675503	0.009912346	0.022290515	0.002362738	0	0.006796241	0.001988996	0.002670275	0.002370308
C1R	0.13594694	0.196525724	0.143350382	0.40910316	0.735318378	0.401328405	0.089241873	0.391671738	3.150578041	1.851175975	2.993256067	2.683993684	2.499260733	1.270021689	0.908550013	1.032543547	1.753562093	2.181414558	0.052076421	0.50156204	0.150940637	0.296754576	0.41013546	0.233375224	0.107435846	0.122368206	0.267110939	0.08600603	0.409455569	0.265269821	0.031190989	0.060888898	0.252845164	0.088537395	0.039022067	0.044997063	0.184176478	0.120158879	0.019491279	0.053959147	0.007695825	0.00323204	0.053983932	0.02956127	0.025581664	0.056737034	0.052314115	0.052586813	0.114127875	0.050290651	0.025027436	0.034190071	0.015913757	0.031014613	0.03217495	0.027511371	0.013655153	0.041011197	0.027846908	0.016574864	0.023883073
PAMR1	0	0	0.003182325	0.000335279	0	0.001288112	0	0.002364804	0.316232686	0.01026195	0.46459767	0.439766813	0.09593588	0.009115049	0	0.023125721	0.240336683	0.192157152	0	0.001196968	0.018257752	0	0.001396634	0.016583528	0.113815048	0	0.000970554	0.000581793	0.007757591	0.002020468	0.009303506	0	0.003096035	0.000511635	0.00253182	0.00095421	0.002750563	0	0	0	0	0	0.003093847	0	0.006000194	0.001674481	0	0	0	0.000245899	0.007172112	0.000386	0.001162286	0.002954125	0.001855665	0.00059791	0	0.001549495	0.002474723	0.001488316	0.006591508
CLMP	0	0.022453666	0.02191601	0.0121859	0.025692416	0.004455285	0.04525716	0.026700458	0.419417398	0.024412917	0.476595073	0.634245734	0.527059737	0.008296622	0.001168201	0.078602433	0.154208035	0.17510399	0.008591364	0	0.009670527	0.074900246	0.105687416	0.011294617	0.045209227	0	0.001767682	0.00279973	0.004651228	0.007166715	0.005407025	0	0.006435403	0.002620617	0	0.000513067	0.000711105	0.001433524	0	0	0.00073305	0	0.070954551	0	0.028559437	0.034671618	0.016741088	0	0.009971134	0.009268839	0.032831335	0.003800367	0.006232284	0.024905004	0.02388766	0.000552595	0.0064359	0	0.019317719	0.015572031	0.018524335
MYOC	0	0.001051213	0.022976915	5.87E-05	0.003130124	0.00027739	0.0314763	0.00208726	0.490181627	0.020495899	0.102799846	0.529619675	0.121386828	0.359184068	0.001168201	0.002593181	0.01738559	0	0	0	0.001474984	0.000828679	0.002666789	0	0.000926343	0	0	0	0.000190255	0.000761444	0	0	0.003277849	2.49E-05	0	0.040633876	0	0	0	0	0	0	0.001331437	0	0.004887603	0.001389758	0	0	0	8.55E-06	0.002219813	0.002149861	0	0.002957714	0.00270321	6.85E-06	0	0	0.005190882	0.000256532	0.00491294
DNM1	0	0.01806542	0.000514691	0.012720861	0.009060837	0.003625035	0	0.011640374	0.149645262	0.004704336	0.089120761	0.344086809	0.073110693	0.002910927	0	0.023589263	0.063204447	0.012039881	0.006083339	0.001132438	0.015914142	0	0.040599469	0.036308167	0.01334049	0	0.003453386	0.010500463	0.004532167	0.005080316	0.045280461	0.066617013	0.00681896	0.00656484	0	0.00314929	0.000812663	0.003536709	0	0.002041944	0.008710527	0	0.0104394	0	0.010286856	0.014501384	0.016741088	0.008837335	0.107725889	0.004341522	0.005164045	0.001870838	0.010347104	0.049474675	0.025069378	0.001623697	0.0064359	0.065375461	0.016424599	0.018680584	0.033484692
XPNPEP2	0	0.001131763	0.005912198	0.004728441	0.005267654	0	0.01983899	0.000315376	0.020666134	0.007331018	0.130511195	0.159184823	0.050976987	0	0	0.000129915	0	0	0	0	0.001308559	0.000828679	0.000794694	0	0.001120733	0	0	0	0.005251506	0.001775621	0	0	0	5.65E-05	0	0	0	0	0	0	0	0	0.014216622	0.014094328	0.002800782	0.005548554	0	0	0	7.46E-05	0.001865908	0	0.000673171	0.001309678	0.001440183	0.002841436	0	0.001554159	0.003037527	0.009169238	0.002958997
COL5A1	0	0.000826197	0.012496065	0.003319211	0.017832393	0.013436198	0.068109515	0.016016974	0.661756843	0.134181537	0.588860293	0.731946486	0.645056294	0.156573013	0.074154541	0.111451515	0.323861445	0.169385278	0.039826856	0.002192508	0.02967947	0.003490047	0.01283157	2.38E-05	0.01036377	0	0.00507655	0.000219046	0.017270258	0.011042038	0.001579244	0	0.02153372	0.000740381	0	0.000803412	0	0.003179886	0.004025073	0	0.000203418	0.029450925	0.017123773	0	0.020775442	0.010213951	0	0.008837335	0.019559779	0.009156437	0.006263455	0.001985701	0.001383473	0.007256777	0.007309666	0.011376739	0.004904245	0.003906562	0.007017373	0.00447752	0.010670657
PRRX2	0	0.008558914	0.00142838	0.017520125	0.003342513	0.006559677	0	0.004297879	0.281376582	0.014545598	0.241115343	0.396061189	0.06117095	0.065146079	0.037602957	0.08549374	0.059568152	0.010624443	0.06712024	0.019960915	0.004361403	0.001128993	0.004669155	0.054853131	0.05016449	0.039614966	0.063930598	0.051111072	0.007213018	0.039416041	0.002823017	0	0.027381686	0.098671854	0.015685939	0.091264167	0.282371657	0.064815841	0.004616451	0.01162734	0	0	0.018670876	0.01406099	0.005926703	0.003356693	0	0	0	0.007540282	0.007697788	0.003484792	0.000837998	0.011218775	0.004622814	4.09E-05	0	0.000895521	0.005805273	0.00997489	0.008825495
UAP1	0.410753483	0.132702869	0.278960906	0.325684184	0.445851759	0.268867082	0.080388956	0.215825355	0.416690123	0.228519516	1.060799553	1.820144612	0.86725152	0.474888544	0.334995074	0.272794501	0.346648568	0.983085807	0.457260397	0.438495043	0.229230022	0.426415226	0.446281819	0.589994541	0.444617876	0.401720898	0.273420867	0.558882134	0.326486705	0.458721729	0.428060387	0.456076083	0.407809385	0.734299057	0.165833123	0.662305296	0.447213117	0.40292788	0.64881253	0.34680246	0.409999533	0.134772383	0.480902571	0.17624912	0.284671614	0.385902209	0.331162528	0.131833458	0.29732761	0.132248108	0.285031203	0.490534297	0.218803149	0.24395159	0.277332751	0.36702457	0.15037206	0.104449263	0.193987108	0.145872539	0.220845576
VIT	0	0	0.000833538	0.012672031	0.004910566	0.003866438	0	0.00213372	0.29073127	0.005450263	0.036408866	0.309931042	0.021099383	0	0	0.000589424	0.001667023	0.044066744	0	0	0.006300627	0	0.008389344	0.0015379	0.018371971	0.00125547	0.000991941	0.0015235	0.017818502	0.010264187	0.003626427	0.092852958	0.002725099	0.00332132	0.002382247	0.003561419	0.000711105	0.000193213	0.001461336	0.004188152	0.001560654	0	0.014338952	0.009550039	0.002655434	0.012784847	0	0	0.019559779	0.017640479	0.012545691	0.000581989	0.001693208	0.005664285	0.005853849	0	0	0	0.005440204	0.012679228	0.005551579
STEAP2	0	0.002444263	3.91E-05	0.00730308	0.021912736	0.01677404	0	0.018100016	0.348972415	0.0534993	0.850277817	0.826468582	0.63719264	0.049903342	0.024525106	0.040885741	0.136597323	0.455656371	0.126181903	0.030395054	0.00252218	0.008129359	0.024697028	0.18853642	0.1119294	0.166892826	0.094264608	0.237230683	0.217229642	0.146743628	0.194214992	0.083886311	0.098993592	0.28138147	0.160892636	0.251726063	0.13183351	0.144839285	0.112492019	0.125524582	0.042328785	0	0.000447761	0.003541334	0.013405057	0.005509096	0	0.008837335	0.009971134	0.005783291	0.015884451	0.037424161	0.000356519	0.003560016	0.001760818	0.001730779	0.001992494	0.008621566	0.006081319	0.000638374	0.004412163
SERPINA3	0	0.000273423	0.000517381	0.000899673	0.000980068	0.009461247	0	0.006916248	0.014157941	0.0145638	0.060369841	0.938403472	0.351818914	0	0.002010443	0.038644883	0.013100575	0.001094964	0.006926634	0	0.002145777	0.015763138	0.046572875	0.001432037	0.008948206	0.006883087	0.012964155	0.018451248	0.041890895	0.006859954	0.001243774	0	0.138745041	0.038319507	0	0.003944988	0.111988228	0.45449025	0.020436459	0.087671771	0.002638055	0	0.002558447	0	0.000652523	0.001334748	0	0	0.009971134	0.000866893	0.002306728	0	0	0.00590483	0.003366148	0.000224129	0	0	0.003878343	0.00236196	0.001020455
ABCA9	0	0.008680082	2.70E-05	0.002524465	0.00022685	0.000409394	0.001626877	0.000690656	0.530291176	0.075846162	0.168615657	0.46760846	0.283306824	0.008714167	0.003172739	0.002518251	0.015372696	0.063794287	0.018102826	0.018173015	0.003979319	0	0.00286171	0.011102176	0.023307994	0	0	0.003324415	0.015191691	0.001616107	0.001605711	0	0.000352367	0.003085814	0.001691215	0.003073706	0.00811736	0	0.017942305	0	0	0	0.006322768	0	0.00156964	0.001157247	0.00939759	0	0	0.001824249	0.005288733	0	0	0.003104846	0.00157678	0.000158749	0	0.001919351	0.001613392	0	0.004127985
CFD	0	0.155144432	0.129404872	0.116307453	0.152678897	0.07514127	0.034235982	0.095013685	2.686299841	1.210519191	1.565253717	3.90768658	3.125774295	0.189498611	0.132334802	0.246515675	0.234397348	0.392869698	0.145761888	0.205933139	0.259252175	0.117760956	0.195867839	0.324475732	0.362531507	0.286042211	0.178049824	0.494680813	0.317128404	0.385569091	0.069008372	0.095177751	0.281496944	0.661594851	1.12190426	0.737797276	0.359907757	0.340499011	0.032561441	0.039349665	0.019104676	0.054851878	0.158326545	0.055736504	0.132071958	0.170444816	0.153796899	0.187667122	0.223218455	0.21914357	0.119630402	0.160504302	1.449148942	1.047152809	1.55385592	1.704262901	0.5929616	1.69767187	1.400749051	1.662297935	0.400710666
PRRX1	0	0.00641413	0.027284195	0.001589066	0.005500179	0.006670419	0	0.000861852	1.210728127	0.190482431	0.85815716	1.146727553	0.796776238	0.085423109	0.481969838	0.425075204	0.176751501	0.259761549	0	0.0402849	0.002828079	0.001051873	0.004655026	0.001516938	0.010919444	0.10389592	0.019150499	0.026515994	0.018401141	0.00928387	0.008017898	0	0.000547792	0.008065249	0	0.007314513	0.015574445	0.004718215	0	0.002037539	0	0	0.002022415	0.008219954	0.005288288	0.002002821	0.035159789	0	0	0.002072405	0.00201127	0.011030638	0	0.004248103	0.011376168	0.000716633	0.002137893	0.003049558	0.003439387	0.002901379	0.004440618
CCDC80	0.50329205	0.026042624	0.107300599	0.06597019	0.096923312	0.117197498	0.571064306	0.865764579	2.547589565	0.24402484	2.741149267	2.899098929	1.219340721	0.273823237	0.255552961	0.439777958	0.253229624	2.332330213	0.292851305	0.150684966	0.036443752	0.074441154	0.212725331	2.18096893	0.822912538	0.468840002	0.177431254	0.504995983	0.18687015	0.153120965	0.103237476	0.091927439	0.119685297	0.904235132	0.27635919	0.382343729	0.434937983	0.262377733	0.067226198	0.070795964	0.001618023	0.027861675	0.0308977	0.008052284	0.03443742	0.04262187	0.044557379	0	0.062657425	0.023527988	0.058927491	0.009161857	0.01400549	0.05357131	0.047410045	0.01941494	0.008171253	0.04001663	0.0304231	0.01671463	0.031252069
FSTL1	0.619094667	0.182504093	0.178068848	0.43396215	0.48558807	0.32911234	0.06124659	0.190650466	1.355194826	0.831713986	1.39143961	2.072419838	1.554815669	0.964860459	0.299834735	0.579184432	0.936035883	0.591335053	0.023889856	0.123745255	0.405621528	0.144548759	0.038222711	0.291830223	0.356396125	0.092474734	0.088768115	0.05495394	0.149188025	0.122980374	0.006006848	0.029835808	0.129985341	0.137702711	0.035713993	0.063762218	0.08108878	0.134344131	0.022337168	0.021140109	0.002794243	0.036873552	0.01968173	0.016044847	0.030046156	0.016756128	0	0.008837335	0.06984002	0.023748045	0.011740238	0.008838114	0.015778608	0.01300757	0.012612226	0.004959465	0.005328646	0.019536468	0.012709733	0.008906064	0.009794402
THBS2	0	0.001284911	0.02399807	0.00730178	0.005146423	0.000763454	0.001626877	0.004238133	0.701977028	0.017192617	0.95030627	0.952532668	0.471369683	0.258766794	0.046070487	0.139356587	0.496713099	0.25722962	0	0.00100222	0.002786724	0.000828679	0.003454986	3.99E-05	0.005004244	0	0.012221678	0.000111833	0.003700364	0.004990008	0	0.004416749	0.000294588	0.000401051	0	0.000595056	0.000812663	0.000193213	0	0	0	0	0.008232753	0.011533897	0.001908149	0.004532899	0.016741088	0	0	0.005626528	0.002048261	0.006017563	0.002847682	0.004754856	0.00363596	0.001739581	0.00091736	0.023578212	0.002924801	0.003579794	0.003490548
DCLK1	0	0.125284603	0.011156416	0.027420478	0.032942121	0.002334675	0.00145662	0.057919027	0.165149184	0.009337811	0.41222047	1.017334172	0.22807937	0.065991435	0.00895527	0.10609071	0.014420831	0.135062837	0.264167962	0.010245341	0.23858335	0.039510342	0.088084039	0.041363582	0.047540697	0	0.002965158	0.011903693	0.011507317	0.011236768	0.032063406	0	0.087741502	0.006791812	0.002031815	0.017967507	0.078022717	0.045652664	0.013040452	0.004201576	0.001721226	0	0.016840741	0	0.018944821	0.02039895	0	0	0	0.001206055	0.033288591	0.002075615	0.005608047	0.025454024	0.021237084	0.001458761	0	0.001712461	0.022110416	0.016192224	0.019054654
LAMA2	0	0.268846793	0.192260727	0.030385756	0.065420101	0.041586443	0.031788976	0.032900774	0.824287976	0.649020569	0.161778768	1.751837697	1.07456172	0.00438058	0.048150931	0.009763793	0.64846907	0.001094964	0.017414635	0.040433053	0.042210045	0.035683925	0.03112987	0.058468402	0.232882802	0.003080256	0.007917031	0.00230539	0.039057088	0.007204617	0.008732857	0	0.028173329	0.002315927	0	0.001166608	0.000731986	0.000447476	0	0.000210965	0	0	0.039925488	0.007227136	0.042174223	0.037482435	0	0	0.03276159	0.024194331	0.034844202	0.01671735	0.037623295	0.063877238	0.097542742	0.042116014	0.010726715	0.001727041	0.032231336	0.015336037	0.049342369
IGFBP6	0.06258885	0.090765274	0.092668529	0.149749681	0.174557838	0.154702527	0.01982971	0.122151878	2.879028441	0.824201199	1.930828867	3.081410961	1.419138302	1.015626099	0.661679267	1.107756607	1.138264077	1.226984717	0.085461688	0.059475098	0.079203531	0.080940721	0.115016957	0.011890532	0.07484793	0.017419718	1.618156477	0.094355603	0.643755092	0.414291859	0.02464776	0.075863321	0.076754171	0.136616882	0	0.040263636	0.210975143	0.104704889	0.0240637	0.03175134	0.015470067	0.007265461	0.047338482	0.039215927	0.067655823	0.107820681	0.018418701	0.054675472	0.119114285	0.051535226	0.071632234	0.038087791	0.013303076	0.068716329	0.037192779	0.014123729	0.014592266	0.129975126	0.054777232	0.081231009	0.041494559
GASK1A	0	0.008895113	0.000343466	0.001175925	0.003115604	0.007945426	0	0.006075483	0.155102082	0.01914106	0.061262958	0.263170961	0.102557476	0.025914035	0.013691283	0.007427497	0.066120332	0.011403809	0.001439505	0.000191762	0.001843051	0.00321214	0.000769973	0.000272358	0.001023778	0.017978508	0.001786221	9.90E-05	0.003042127	0.000936051	0	0	0.001218496	0.000828681	0	0.002321618	0	0.001409348	0.005277007	0.002339951	0.000871694	0	0.000484025	0	0.000773819	9.52E-05	0	0.008837335	0.009971134	0.000392003	0.000187079	0	0.005185623	0.00322087	0.001130834	0.000303378	0	0.039077876	0.003104488	0.000925203	0.009148647
SPOCK1	0	0.021177876	0.010356284	0.034686813	0.034692237	0.013089803	0.027752084	0.049828948	0.299929557	0.016469198	0.073359531	0.949768832	0.170832563	0.07125041	0.000381383	0.014524086	0.025516746	0.077895317	0.277638675	0	0.02400664	0.01773951	0.026945303	0.011747844	0.106665924	0.003080256	0.012155769	0.005004625	0.024162392	0.013699087	0.272594447	0.182170869	0.009818244	0.006488862	0	0.000807166	0.000916613	0.017110048	0.005052302	0.01442383	0.002602678	0	0.014275325	0	0.028248302	0.024411034	0.016741088	0	0.033512424	0.006981149	0.026451465	0.006042252	0.018688598	0.034205461	0.027336822	0.020536455	0	0.0022699	0.078068031	0.050125313	0.036062117
GFPT2	0	0.006376566	0.035688907	0.00676634	0.049008397	0.008438931	0	0.01634632	0.089295794	0.084852348	0.920993953	1.242370985	0.521537239	0.027931025	0.080100943	0.136252226	0.181782882	0.909586621	0	0.021318465	0.076299615	0.01355193	0.070986624	0.002995398	0.035494138	0.004895746	0.011116082	7.99E-05	0.01531789	0.004835443	0	0	0.029538909	0.001287572	0	0.002909464	0	0.00332143	0.004616451	0	0.002060782	0	0.045835148	0	0.071678309	0.132630233	0.018418701	0	0	0.001334358	0.018171301	0.005022727	0.003111677	0.019220593	0.013872088	0.00300639	0.006984794	0.005471021	0.013696621	0.009586437	0.014287986
FBN1	0.60419439	0.031255825	0.069351939	0.29229061	0.284703016	0.150683449	0.410926709	0.431354662	1.210460226	0.31191348	0.72473673	1.748185034	0.897578123	0.143902259	0.066777624	0.170828752	0.288450763	0.119886424	0	0.047003618	0.011933471	0.005802534	0.009992281	0.003344157	0.0241558	0	0.016934008	0.014262814	0.05328799	0.047696513	0.015421782	0.004416749	0.088505442	0.003626632	0.003672365	0.01190775	0.007483304	0.011388071	0	0.003205438	0	0	0.013477205	0	0.012332535	0.009598495	0.044970618	0.010138966	0	0.023194098	0.015456576	0.002159019	0.034099428	0.01347027	0.057279412	0.018462265	0.001220533	0.011696594	0.008081482	0.006927654	0.014471547
AOX1	0	0.00061301	0.003950846	0.000677752	0.009925785	0.001242202	0	0.002635342	0.292924636	0.017187307	0.377867317	0.863088767	0.499968461	0.01219356	0.002213274	0.042413609	0.093815141	0.567647199	0.008591364	0.018917379	0.000189252	0	0.006826975	0.009266947	0.004468592	0	0.003845344	0.002241539	0.009348083	0.005705821	0.000508149	0	0.002094275	0.010091286	0	0.000981675	0.000812663	0.04255914	0.002911179	0.00136136	0.005885605	0	0.00095049	0	0.014091795	0.00260726	0.016741088	0	0	0.000398644	0.000414369	0.002875165	0.009259129	0.003261332	0.004157692	0.000684134	0.002172382	0.007503874	0.003309004	0.009275086	0.008304919
CILP	0	2.72E-05	4.71E-05	0.002378621	0.007385795	0.010265002	0	0	0.011535557	0.008419583	0.128143767	0.459477169	0.073034868	0.003421049	0	0.000507825	0.002705595	0	0	0.00100222	5.82E-05	0.040353381	0.000816013	0.002015282	0.001703013	0.114400676	0.001792574	0.002375895	0.002992424	0.000814346	0.001579244	0	0.005554536	0.001460107	0.007100837	0.006101632	0	0.001453796	0	0.000580359	0.001056918	0	0.001937029	0	0.00415749	0.000336484	0	0	0	0.000861332	0.000775847	4.67E-05	0	0.000818908	0.001170726	0.001450458	0	0.001038951	0.001518199	0.000977436	0.0005251
MFAP5	0	0.009878289	0.004738933	0.017442252	0.00888307	0.027259846	0.002793915	0.005352808	0.751224073	0.03736461	0.354947567	1.79271719	0.395686682	0.097994514	0	0.008367281	0.007642404	0.016083085	0.008591364	0.00100222	0.021295113	0.008588357	0.015471103	0.00127076	0.014949888	0	0.002955397	0.001183242	0.002567262	0.00295403	0.004323618	0	0.008612067	0.008798836	0.000837515	0.002562325	0	0	0.041667871	0	0	0	0.018988286	0	0.007997686	0.014261975	0	0	0	0.00688428	0.009788051	0.00394808	0.032463176	0.043731966	0.039351528	0.060592713	0.015299329	0.017753859	0.012672168	0.054427329	0.014468171
COL6A6	0	3.92E-05	0.001234901	0.011164043	0.002553938	0.002214336	0.025281362	0.006694414	0.060948077	0.181268148	0.235660477	0.158712272	0.275080771	0.049434917	0.003172739	0.032687161	0.007162419	0.016405531	0.028283705	0	0.007679689	0.01681501	0.019662934	0.002792002	0.018016995	0.005911625	0.001792574	0.010917499	0.002488741	0.003857306	0.016709268	0.007532967	0	0.019812458	0	0.000477101	0.002172102	0.006744157	0	0	0	0	0.006242852	0	0.00505687	0.009219379	0	0	0	0.002286751	0.016153527	0.002971518	0.002082607	0.011736879	0.009637592	0.010973658	0	0	0.004639235	0.004410761	0.005062775
GPM6B	0.06258885	0.058873616	0.058709452	0.130113216	0.045552448	0.090606369	0.089465545	0.065851912	0.34110174	0.833925405	0.09642653	0.247460389	1.203228071	0.235900013	0.525214628	0.568632402	0.542675335	0.066721191	0.119989738	0.375148512	0.154302623	0.103748255	0.156320489	0.19723058	0.351366175	0.30762602	0.125511774	0.163424093	0.164170754	0.131090571	0.471282239	0.345098131	0.191994061	0.14921157	0.167066408	0.129065497	0.072995088	0.101837757	0.030680106	0.065828811	0.046910967	0.029423933	0.184465674	0.073632706	0.227956043	0.242718863	0.9452901	0.16099757	0.068814311	0.082216683	0.191557194	0.085772117	0.024698616	0.033487056	0.046852443	0.005978269	0.009734966	0.015314794	0.028115181	0.028729864	0.119030841
SLIT2	0	0.002685171	0.019803265	0.01853095	0.040941914	0.005805902	0.01983899	0.039794593	0.814540865	0.285297794	0.4851187	1.53558907	1.395018016	0.147527056	0.076657113	0.315056665	0.327453103	0.326202695	0.064769641	0.098397967	0.020390995	0.037455424	0.10111908	0.078976031	0.279429891	0.126076142	0.027629606	0.041738389	0.147950205	0.104370219	0.097620354	0.076345075	0.052871054	0.03984492	0.016341023	0.072989969	0.00617604	0.041966695	0.008952567	0.009949166	0	0	0.023298122	0	0.014192717	0.014952527	0.00939759	0	0	0.013575834	0.012221921	0.008431598	0.005785003	0.020185598	0.01681403	0.012054424	0.008524594	0.004512179	0.016294577	0.019787295	0.024780988
NBL1	0.774735913	0.056870042	0.098578493	0.154439434	0.218355668	0.322207232	0.257343745	0.476832585	2.297155265	1.394466875	1.928458333	1.466729818	1.932069043	0.610407529	0.622203799	0.586307266	0.98643372	0.48806316	0.136512279	0.057503627	0.112536373	0.033800257	0.055475984	0.424289454	0.332152575	0.428021554	0.836486741	0.43604655	0.569484096	0.524326068	0.261677198	0.08536833	0.039723884	0.354340071	0.045365387	0.12081732	0.256009667	0.153464136	0.016839728	0.053259338	0.010501271	0.093677845	0.052105984	0.148405366	0.143352409	0.203253845	0.052466055	0.014076863	0.113837575	0.035150849	0.035591854	0.039594985	0.013960851	0.035183258	0.017629088	0.021911637	0.018867215	0.07738437	0.021097765	0.016237733	0.023376428
CHRDL1	0.394857133	0.001814244	0.023623607	0.002646239	0.000520369	0.002367453	0.356355108	0.476057591	0.645222042	0.059175455	0.655657477	0.771225268	0.846273712	0.088030055	0.00505514	0.027996676	0.196628807	0.19666497	0	0	0.0024051	0.007121736	0.00489347	0	0.006303735	0	0	0.000177767	0.000135741	0.002122399	0.023008658	0.053523418	0.003814678	0.000595943	0	0.00162772	0.000648334	0	0	0	0	0	0.000807282	0	0.002419642	0.003361588	0.012628565	0	0	0.002206299	0.006332358	0.002199587	0.001360049	0.007667914	0.004436148	0.0152853	0.001041216	0.001549495	0.006325492	0.00446099	0.006269756
MRC2	0	0.030035231	0.005194593	0.15837799	0.027427856	0.009866947	0.075296706	0.025921277	0.689100672	0.37907476	0.392198513	0.741431931	0.798204541	0.044609261	0.007594441	0.037091536	0.104777997	0.144539526	0	0.077580187	0.12301661	0.187513226	0.260641365	0.010116639	0.036360972	0.012612895	0.068539816	0.02471116	0.044267158	0.032677913	0.01119546	0	0.019961493	0.021754936	0	0.004911769	0.004240798	0.003877269	0	0.002555154	0	0.022402403	0.011600337	0	0.016503628	0.018776091	0	0.040471073	0.16309136	0.002083786	0.024044471	0.002627211	0.007789847	0.036464139	0.021818024	0.002354583	0.005015674	0.016313219	0.013752304	0.019305767	0.081744636
MAMDC2	0	0.198036156	0.055497419	0.041694654	0.142171693	0.015862629	0.093173662	0.209930869	0.841379262	0.180007879	0.140498707	0.638742227	1.22286183	0.114459476	0.084220386	0.150616154	0.423747256	0.077192335	0.165125181	0.092877688	0.19028777	0.107520996	0.228561122	0.021137894	0.1051554	0.005390252	0.000165482	0.002664947	0.055250905	0.053769975	0.183011248	0.090879975	0.09148668	0.000894301	0	0.002090202	0	0.001624952	0	0.001345524	0.002318479	0.004033421	0.111177572	0	0.103677592	0.109493583	0.0868785	0	0.10797601	0.104964728	0.139714286	0.024636458	0.046335482	0.13570239	0.105295071	0.08865418	0.012364971	0.121127702	0.07520281	0.094857191	0.147098593
S1PR2	0	0.005837402	0.017279512	0.025005284	0.005915773	0.011411398	0	0.000738243	0.416770377	0.440738966	0.33219569	0.214859077	0.570129221	0.023610673	0.121342833	0.053809112	0.23819173	0.07434487	0.055204501	0.043121547	0.03948745	0.035822889	0.017311629	0.037171867	0.024314254	0.007496502	0.018494882	0.028093573	0.020792113	0.016001823	0.030619008	0.024893024	0.032615705	0.061132659	0.090691972	0.042293888	0.053123903	0.026198975	0.019537457	0.052471988	0.048779462	0.00656127	0.034259523	0.025980085	0.050540539	0.049507002	0	0.024086245	0	0.036628888	0.022052079	0.014788443	0.016396962	0.037073886	0.01435326	0.019792376	0.044005208	0.158567187	0.007272644	0.011346962	0.067187088
MOXD1	0	0.020076756	0.010645068	0.001587302	0.003597544	0	0	0.001104652	0.748483482	0.044030178	0.110091713	0.403405669	0.582395472	0.493088311	0.000807329	0.008102177	0.017599489	0.037878925	0.007152119	0.000148153	0.024750895	0.01681501	0.003293912	0	0.011872725	0	0.041583279	0.001429454	0.003685578	0.006763594	0.082807059	0	0.009149571	0.000291172	0	0.000531369	0.000648334	0.00134526	0	0.00689872	0.004121446	0	0.003551403	0	0.004348074	0.007517484	0.024649764	0.006844212	0	0.005782304	0.059705809	0.072274217	0.002782476	0.005880658	0.006988522	0.000185343	0	0.002091773	0.006495402	0.004772628	0.011871692
IGSF10	0	0.002752975	0.010671486	0.004731805	0.003205368	0.002862203	0	0.000458174	0.225271142	0.027600313	0.048784116	0.156563417	0.455981782	0.031831879	0.000425946	0.003576334	0.004003941	0.002661559	0.008910945	0.057509052	0.00158285	0.006460774	0.004443213	0.315075006	0.210894986	0.049294069	0.014868798	0.01863027	0.054081226	0.030265213	0.070528777	0.069177208	0.030332405	0.020239535	0.01837216	0.027679444	0.017103013	0.015992154	0	0.015142924	0.002193979	0.203630188	0.006090278	0	0.01778312	0.00526803	0.103470327	0	0	0.001486493	0.008071278	0.00447835	0.008197479	0.001935038	0.004310191	0.003137568	0.001958576	0.012542276	0.008843814	0.002196868	0.024832131
