UID	Lymphatic EC proliferating	EC aerocyte capillary	EC general capillary	EC arterial	EC venous pulmonary	EC venous systemic	Lymphatic EC differentiating	Lymphatic EC mature	Peribronchial fibroblasts	Pericytes	Subpleural fibroblasts	Adventitial fibroblasts	Alveolar fibroblasts	Smooth muscle FAM83D+	SM activated stress response	Smooth muscle	Myofibroblasts	Mesothelium	Neuroendocrine	AT0	AT1	AT2 proliferating	AT2	Multiciliated (nasal)	Multiciliated (non-nasal)	Deuterosomal	Hillock-like	Club (nasal)	Basal resting	Suprabasal	Ionocyte	Tuft	pre-TB secretory	Goblet (nasal)	Goblet (subsegmental)	Club (non-nasal)	Goblet (bronchial)	SMG duct	SMG mucous	SMG serous (bronchial)	SMG serous (nasal)	Hematopoietic stem cells	NK cells	T cells proliferating	CD4 T cells	CD8 T cells	Plasmacytoid DCs	DC1	Migratory DCs	Mast cells	B cells	Plasma cells	Alveolar Mph proliferating	Monocyte-derived Mph	Alveolar macrophages	Alveolar Mph CCL3+	Alveolar Mph MT-positive	Interstitial Mph perivascular	Classical monocytes	Non-classical monocytes	DC2
NMB	0.055282657	0.06860541	0.07588686	0.131531156	0.098825807	0.097482426	0.065496754	0.07807679	0.148270453	0.086236095	0.133779047	0.094423191	0.088371411	0.124307213	0.131247872	0.09662555	0.144122614	0.106778011	0.062526032	0.108927986	0.072909063	0.035811305	0.098843954	0.31009615	0.180588872	0.14819129	0.257504617	0.257992031	0.11784047	0.114768027	0.210348657	0.089898473	0.123848346	0.325086262	0.056671537	0.102801523	0.185409407	0.098979498	0.071893321	0.09963397	0.107694588	0.001393271	0.084948083	0.030322801	0.111881483	0.103744411	0.066656273	0.075699208	0.208777575	0.063227607	0.03391505	0.035589003	0.724495498	0.220540955	0.503830187	0.610140624	0.88349414	0.208350083	0.049301911	0.043468118	0.152120383
BHLHE41	0.06258885	0.002832145	0.010745335	0.00912731	0.014419259	0.03672521	0.024333138	0.025913718	0.497062122	0.015126615	0.063560703	0.110202302	0.118689729	0.017944042	0.083961562	0.047049466	0.044135344	0.048288405	0.183015636	0.045434032	0.044067712	0.000924596	0.019649237	0.334009858	0.283261031	0.09542339	0.142003441	0.102473844	0.228432676	0.115518441	0.006158165	0.007532967	0.028920279	0.153642804	0	0.03883513	0.025227264	0.251107848	0.095975058	0.170382391	0.134695705	0	0.033367514	0	0.009706341	0.029260989	0	0.008837335	0.109889078	0.016177121	0.170831739	0.195448316	0.679491048	0.312072471	0.653419505	0.86964592	0.9978645	0.295590258	0.029352516	0.037159943	0.311754275
GLDN	0	0.027448108	0.021188447	0.017477642	0.037306738	0.005397155	0	0.019463032	0.025831333	0.006905859	0.010528059	0.036625072	0.163480179	0.059208919	0.094143527	0.04010752	0.000255269	0.04674342	0.026593922	0.046672832	0.023707026	0.025989666	0.027608584	0.009002113	0.02513172	0	0.008669865	0.088213056	0.011830841	0.029782562	0.036944252	0.014837374	0.031008204	0.075838075	0.010073145	0.012405363	0.005973164	0.000740908	0	0.00187585	0.000584639	0	0.017790608	0	0.026117476	0.024585612	0	0	0.0287942	0.009479573	0.020900094	0.028387938	0.686736696	0.47855449	0.871402244	0.714745486	1.0147759	0.229975274	0.069416302	0.075250527	0.172598605
GCHFR	0.580836067	0.059431463	0.090575948	0.363964509	0.157698992	0.26258884	0.026539665	0.130524195	0.088800753	0.174833362	0.163215783	0.132108353	0.243203654	0.003634827	0.077073826	0.089963429	0.16891543	0.27450696	0.111211275	0.735596395	0.212624224	0.787525081	0.340986686	0.404061258	0.411615043	0.584790318	0.468631137	0.953667365	0.353135179	0.656736438	0.462020219	0.192538581	0.395748142	0.908853413	0.098364223	0.776983182	0.686875857	0.53411909	0.212688603	0.515265403	0.23072078	0.344869136	0.280354282	0.501317472	0.349087757	0.334552964	0.294329353	0.220596775	0.04629873	0.291214392	0.165136568	0.231173123	1.520850065	0.977597495	1.375257487	1.551999586	2.4058845	0.64373336	0.226726029	0.203113569	0.186401959
MT1F	0	0.065117153	0.099855284	0.173286843	0.053142366	0.06386848	0	0.036697204	0.016836608	0.428041279	0.271812757	0.171757887	0.145802948	0.093993787	0.188225116	0.226186429	0.095658905	0.49906497	0.140073318	0.476623177	0.192842102	0.476247656	0.230117157	0.47506943	0.481663554	0.201920046	0.184421947	0.189620575	0.261435918	0.195703488	0.300727616	0.20996741	0.22797312	0.373020211	0.042489669	0.660687849	0.61474172	0.243527942	0.306278429	0.068549429	0.059994561	0.183461071	0.201378804	0.495457906	0.226213177	0.355989193	0.059845531	0.015681547	0.12714277	0.217187104	0.115209226	0.322836487	0.495447641	0.274367562	0.221335776	0.905629741	1.4879351	0.28274616	0.207781003	0.138667652	0.09523388
FABP3	0	0.034207733	0.033863179	0.025313392	0.020186763	0.006220839	0	0.041100538	0.003090976	0.009234121	0.045159275	0.21947861	0.04714478	0.783606648	0.112280559	0.157353333	0.031294299	0.05279749	0	0.007781784	0.030767509	0.008973224	0.025081547	0.002370983	0.019693602	0	0.002784516	0.004708251	0.011902461	0.013845043	0.01492213	0	0.012759524	0.022746429	0.000664707	0.01652191	0	0.000519308	0	0	0	0	0.042368283	0	0.018375776	0.012221051	0.012628565	0	0	0.020014914	0.01182832	0.025091994	0.338615188	0.243386607	0.480071711	0.54103232	1.0983537	0.13672003	0.03469821	0.050429388	0.052884932
SLC16A8	0	0.001766332	0.007262706	0.000788269	0.000636812	0.000944057	0	0.002927305	0.010498505	0.009514394	0.020882201	0.00644696	0.004196289	0.006194438	0.000247394	0.013977989	0.00228289	0.038722365	0.007463793	0.006303311	0	0	0.00133077	0.002447848	0.004198065	0	0.006204667	0.005329939	0.014649206	0.008497403	0.000508149	0	0.002053533	0.008592587	0.000373562	0.003126693	0.003153894	0.018514205	0.000734405	0.001754836	0.015878056	0	0.002056497	0	0.000109069	0.002322072	0	0	0.009971134	0.00173126	1.71E-05	0	0.005953396	0.014933195	0.007884059	0.001034981	0.1592418	0.008894077	0.002275982	0.004048547	0.029943882
AOC2	0	0.016420937	0.006148665	0.005034889	0.007918834	0.01688089	0	0.014908072	0.001644619	0.014412893	0.001675533	0.004531188	0.040857882	0	0.056014219	0.003548411	0	0	0.008903298	0.001750801	0.002476869	0.001051873	0.011448622	0.011963199	0.006475881	0	0.000211502	0.003029751	0.002680479	0.001494173	0.011211509	0	0.001756156	0.003436896	0.001131796	0.000551493	0	0.000893509	0	0.010739168	0	0	0.000947217	0	0.001020745	0.00385538	0	0.005239528	0	0.001430117	0.001167851	0.000552627	0.053910171	0.012280029	0.031064952	0.063740362	0.22204955	0.008933952	0.004409504	0.000259673	0.001118563
TM4SF19	0	0	0.000984809	0.00085711	0.001372397	0.001422392	0	0	0	0	0	0.000942116	0.002903112	0	0	0.010667169	0	0.003104281	0	0	0.000521539	0.000793938	0.000537606	0.00058673	0.000935076	0	0.000695706	8.02E-05	0.000374726	5.63E-05	0	0	0.008370121	0	0	8.33E-05	0	0	0	0	0	0	0.010164834	0	0.000790202	0.004505775	0	0	0	0.00064146	0.001194615	0.002371181	0.037221156	0.104719801	0.028694603	0.063559151	0.36002812	0.039374329	0.013764881	0.044843647	0.012032245
MT1G	0	0.069774932	0.05449915	0.081733332	0.095249633	0.054553861	0.023508025	0.114636027	0.049456653	0.132238613	0.469654473	0.746365976	0.513554059	0.011596681	0.051363317	0.216983936	0.358396921	0.443076253	0.034555346	0.381020513	0.303760403	0.739000441	0.313138752	0.10218836	0.129494374	0.228814656	0.472157975	0.243619912	0.111566265	0.223635706	0.155223246	0.226267686	0.214705861	0.554454892	0.102989596	0.925958388	0.377785553	0.073051019	0.104416167	0.028803089	0.002075599	0.033484346	0.071800228	0.343576719	0.082108423	0.124846335	0.00939759	0.008837335	0.32808763	0.073516177	0.069388195	0.193126219	0.551198147	0.451822124	0.352551362	1.642193916	3.058048	0.303277522	0.152416467	0.133683741	0.152616149
MT1H	0	0.014015878	0.016121595	0.00856556	0.004370196	0.002200246	0.015875585	0.002186365	0	0.001148289	0.004976895	0.023755068	0.020781301	0	0.000247394	0.029180782	0.006115754	0.144211554	0.004643834	0.031272035	0.049146356	0.056736652	0.051361029	0.01019735	0.010856002	0.026901451	0.09892814	0.022451029	0.003984737	0.03345135	0.021194418	0.014837374	0.0442717	0.057512544	0.013493738	0.096782229	0.012455572	0.003451914	0.007739291	0.000429356	0	0.023236364	0.025635305	0.06093568	0.01451582	0.021630242	0	0.006844212	0.130766466	0.017660248	0.004727262	0.009230693	0.193798839	0.117203326	0.086263957	0.581264053	1.7084109	0.06554053	0.024155644	0.015844152	0.026811788
KIF4A	0.160737813	0.016738876	0.008195732	0.005309295	0.017386658	0.002301148	0.046350513	0.013303101	0.005986132	0.005214733	0.003924685	0.02636772	0.008254806	0	0	0.007745533	0.010296722	0.001566595	0.038979102	0.020137363	0.021303194	0.155049921	0.031914878	0.026383727	0.028696722	0.054645647	0.105329997	0.017072971	0.005818153	0.026568586	0.001904652	0.014837374	0.009967227	0.002281016	0	0.001509962	0.005507596	0.002539185	0	0	0	0	0.026459893	0.157868919	0.008908394	0.014105601	0.032431133	0.014076863	0	0.007807851	0.011717512	0.009422334	0.290999384	0.014691786	0.025436292	0.000402766	0.001220533	0.000517714	0.013192689	0.01009549	0.026773757
MELK	0.115262817	0.067606011	0.025892251	0.013269752	0.053676513	0.000443599	0.035016988	0.015478875	0.005935665	0.004045025	0.020852563	0.050778016	0.025389362	0	0.001065857	0.001023053	0	0.015338606	0.065143044	0.003697625	0.013326909	0.216462376	0.065388077	0.025999027	0.034610435	0.286777496	0.214613027	0.026834537	0.01455656	0.042678555	0.005711399	0.111554059	0.013049737	0.007933963	0	0.003190945	0.008846371	0.002113627	0.005277007	0	0	0.007265461	0.031893142	0.273224216	0.0436799	0.03518816	0	0.008837335	0.046023855	0.016503155	0.051128333	0.011490923	0.467635138	0.028482097	0.031635575	0.024846019	0.001284046	0.006288909	0.020094174	0.02215849	0.058921161
EXO1	0	0.00159302	0.002441014	0.004937696	0.006312336	0.00105938	0	0.002356183	0	0	0	0.007899521	0.002978651	0	0	0	0	0	0.011795953	0	0.004202556	0.034276778	0.011546644	0.000242316	0.005392408	0	0.058876674	0.00781905	0.00349492	0.014323499	0	0	0.006354463	0.000814664	0	0.000685332	0.004694932	0.001192219	0	0.000161689	0	0.00323204	0.021930255	0.113850603	0.004996099	0.004994842	0	0.008837335	0	1.43E-05	0.010187909	0.001951797	0.150200514	0.005966037	0.008506157	0.01088788	0.00281555	0.001117388	0.004336635	0.004331179	0.013651435
C8B	0	0.000343519	0.000133471	0.000233473	0.004119349	0.001100615	0	0.000989732	0	0.002399348	0	0.001819317	0.003990172	0	0	0.000105513	0.001476734	0.007425773	0	0	0.001228585	0	0.00167854	0	0.015145813	0	0	0.000811122	0.002332838	0.000179878	0.000508149	0	0.00276805	0.024340059	0	5.75E-05	0	0	0	0.003182438	0	0	0.000565605	0	0.001889514	0.002935151	0	0	0	0.000337945	0.000764969	4.67E-05	0.248878602	0.006779171	0.143319	0.20369566	0	0.033762908	0.00294609	0.000390195	0.001819453
CENPU	0.59678405	0.010728007	0.039403557	0.020775865	0.015177078	0.028326587	0	0.014933336	0.00956504	0.005431241	0.01331362	0.071073593	0.029350065	0	0	0.010227132	0.001638404	0.004199245	0.025432687	0.006264728	0.018152271	0.456244928	0.039089103	0.075633915	0.05007306	0.673583176	0.34122991	0.079618953	0.032864613	0.129839803	0.062149418	0.154994898	0.032782401	0.047302436	0.006020624	0.029194707	0.099723504	0.022969388	0.000734405	0.009632399	0.004273307	0.244995104	0.049883654	0.320541874	0.035650534	0.05010618	0.024649764	0.067015473	0.03276159	0.04987026	0.055395398	0.050629972	0.672314482	0.092814368	0.079929004	0.041789037	0.010119948	0.057479924	0.095333894	0.056044518	0.113494183
CDT1	0.35341529	0.025363061	0.03199237	0.012932661	0.035354858	0.025210003	0	0.010290905	0.00637857	0.001790751	0.005600217	0.036019067	0.005917329	0	0	0.015682012	0.01629479	0	0.024429202	0.017654648	0.010035159	0.31142269	0.036965655	0.043682957	0.036982364	0.2947952	0.293935773	0.037489589	0.023693703	0.109942234	0.02846263	0.181388135	0.042726211	0.07448914	0.02234028	0.031771336	0.022349456	0.019938855	0	0	0.000649454	0.078533131	0.066945964	0.46484834	0.032937907	0.028231352	0	0.006844212	0.110956566	0.020461441	0.028129908	0.01964241	0.595898907	0.022402385	0.02594265	0.015874458	0.004187162	0.010033201	0.01421026	0.005911958	0.065268323
NEIL3	0	0.0002644	7.57E-06	0	0.00035638	0.000240546	0	0.003338043	0	0	0	0.00212673	0.001045474	0	0	0	0	0	0.001439505	0.000191762	0.001827216	0.024257556	0.003045324	0.000346126	0.014438838	0.018435597	0.023249196	0.00386009	0.000321263	0.005912532	0	0	0	0.000526832	0.000664707	0.000683975	0	0.000773966	0.005277007	0.004015378	0	0	0.004016796	0.108019608	0.005535564	0.010473954	0.018418701	0	0	0	0.002299166	0.000396304	0.122867767	0.002238734	0.007805197	0.001571001	0.003875239	0.002204408	0.00849791	0.002666906	0.009661226
SHCBP1	0.33669404	0.000644194	0.014351714	0.010097298	0.008650788	0.005092906	0	0.004147717	0.002991819	0.000814389	0.005600217	0.012005224	0.021056411	0.003421049	0	0.003731594	0	0.001566595	0.001439505	0.004375056	0.017238412	0.165500563	0.017027226	0.005065192	0.009530427	0.030258967	0.128881318	0.010721075	0.003266273	0.033275484	0	0.027507129	0.008031912	0.003360355	0.001050856	0.001529816	0.004525804	0.001486305	0.128919312	0.000506389	0	0.004033421	0.039146548	0.289230768	0.011308862	0.019259309	0.018418701	0.058231583	0.04367576	0.009641443	0.03712953	0.049309704	0.351252908	0.014939175	0.016080817	0.005884825	0.007656432	0.02566363	0.014624141	0.015177827	0.071334513
GPA33	0	0.000571528	0.018759948	0.002481797	0.009396811	0	0	0.014084133	0	0.005113332	0.001675533	0.010036605	0.000728993	0	0	0.000131193	0	0.025075453	0	0.022697632	0.004448072	0.001976373	0.010162229	0.000151233	0.009206051	0.025456833	0	0.000267769	0.001678714	0.000125348	0	0	0.016285627	0.000146978	0.000664707	0.001538563	0	0	0	0	0	0	0.024135279	0.009550039	0.01649477	0.0252212	0	0	0.022790456	0.016197485	0.015544263	0.002696125	0.365093255	0.025822629	0.151504279	0.127313049	0.02869587	0.016905397	0.00760283	0.022053305	0.010415293
DHCR24	0.410753483	0.038070865	0.095363287	0.120685529	0.241827598	0.122621384	0.09169203	0.082977881	0.085558037	0.057305341	0.112941775	0.168706645	0.161909506	0.004603156	0.036982232	0.1175537	0.118006116	0.224663589	0.309660974	1.44613459	1.287008734	1.41709892	1.254944172	0.81421039	0.942594677	0.629045284	0.721843224	0.715535065	0.637758697	0.671466395	0.795737986	0.268915803	0.931349839	1.015299861	0.758837283	0.803008669	0.90799076	0.681428768	0.355124589	0.433291722	0.161533687	0.087363058	0.107051068	0.146158087	0.09161395	0.109476395	0.062768116	0.072352162	0.065891523	0.079207634	0.079583972	0.05531109	0.224446208	0.099765803	0.202769462	0.185252543	0.14501649	0.120934036	0.076631894	0.080175544	0.088425675
PXMP4	0.15931335	0.087048425	0.072568034	0.052706112	0.057043727	0.04975662	0.038835557	0.064766921	0.13549645	0.081020519	0.090895023	0.095044658	0.077905838	0.071585788	0.064105642	0.05785697	0.021090021	0.059737479	0.114218702	0.407557352	0.152335682	0.420934186	0.318785173	0.140261886	0.114886334	0.169026976	0.116544638	0.122618477	0.0855406	0.117309498	0.066951941	0.075331833	0.1053209	0.133858993	0.058593644	0.069989319	0.097157697	0.084250885	0.097953409	0.058504734	0.089403307	0.004625311	0.057725716	0.152029383	0.04183934	0.062915639	0.027816291	0.118191358	0.009971134	0.051547199	0.028062746	0.02297958	0.143698946	0.068369492	0.058652571	0.072717998	0.064067595	0.031366058	0.033206087	0.055421839	0.04409493
TST	0.055282657	0.036328717	0.039173787	0.053156401	0.099358614	0.066735147	0.090424653	0.075289405	0.028474551	0.058624722	0.17916665	0.054208489	0.088636717	0.018422697	0.011751603	0.020668139	0.025645493	0.170225422	0.094004042	0.408855801	0.103849312	0.328222941	0.258992591	0.149191848	0.18897213	0.169725174	0.125980044	0.167663056	0.144609633	0.159167244	0.2285949	0.069322988	0.156858694	0.209940679	0.018935617	0.170570126	0.384139857	0.154941843	0.237557741	0.113960707	0.100669302	0.007265461	0.016667738	0.13010539	0.013618993	0.023666061	0	0.067008902	0.02354129	0.013497954	0.017840623	0.057189013	0.137266345	0.063749957	0.096143358	0.076810175	0.08957181	0.064224743	0.070781874	0.035840698	0.097656472
