barcode	UMAP1	UMAP2
mc1-Lafyatis_Rojas_2019_10Xv1	0.8359140753746033	5.922399520874023
mc10-Lafyatis_Rojas_2019_10Xv1	1.700423240661621	5.839451789855957
mc11-Lafyatis_Rojas_2019_10Xv1	-2.9929404258728027	8.934747695922852
mc12-Lafyatis_Rojas_2019_10Xv1	0.6684179306030273	5.420685768127441
mc13-Lafyatis_Rojas_2019_10Xv1	-0.48085376620292664	6.246950149536133
mc14-Lafyatis_Rojas_2019_10Xv1	-2.2342002391815186	10.401261329650879
mc15-Lafyatis_Rojas_2019_10Xv1	2.2873260974884033	5.283375263214111
mc16-Lafyatis_Rojas_2019_10Xv1	0.6462239623069763	7.481816291809082
mc17-Lafyatis_Rojas_2019_10Xv1	1.4966808557510376	7.287442684173584
mc18-Lafyatis_Rojas_2019_10Xv1	-0.10963433235883713	6.152334690093994
mc19-Lafyatis_Rojas_2019_10Xv1	-2.801114320755005	9.408162117004395
mc2-Lafyatis_Rojas_2019_10Xv1	-0.2464456707239151	7.77030611038208
mc20-Lafyatis_Rojas_2019_10Xv1	0.3822513818740845	7.127641201019287
mc21-Lafyatis_Rojas_2019_10Xv1	-2.4165501594543457	9.737259864807129
mc22-Lafyatis_Rojas_2019_10Xv1	-0.4544828236103058	-0.8264833688735962
mc23-Lafyatis_Rojas_2019_10Xv1	-2.8116953372955322	7.546164512634277
mc24-Lafyatis_Rojas_2019_10Xv1	-2.383953809738159	9.178112030029297
mc25-Lafyatis_Rojas_2019_10Xv1	-3.1809394359588623	7.4379143714904785
mc26-Lafyatis_Rojas_2019_10Xv1	-2.520219326019287	9.3219633102417
mc27-Lafyatis_Rojas_2019_10Xv1	0.5814628601074219	6.40908670425415
mc28-Lafyatis_Rojas_2019_10Xv1	9.506860733032227	1.8306728601455688
mc29-Lafyatis_Rojas_2019_10Xv1	9.87352180480957	1.7609204053878784
mc3-Lafyatis_Rojas_2019_10Xv1	1.0815545320510864	6.154452323913574
mc30-Lafyatis_Rojas_2019_10Xv1	-4.768200397491455	-8.022862434387207
mc31-Lafyatis_Rojas_2019_10Xv1	-3.8821780681610107	-5.0053558349609375
mc32-Lafyatis_Rojas_2019_10Xv1	0.281331330537796	-2.120652437210083
mc33-Lafyatis_Rojas_2019_10Xv1	1.2354986667633057	-1.6266779899597168
mc34-Lafyatis_Rojas_2019_10Xv1	2.3973450660705566	-6.275765895843506
mc35-Lafyatis_Rojas_2019_10Xv1	3.5830562114715576	-5.86801815032959
mc36-Lafyatis_Rojas_2019_10Xv1	3.236398220062256	-6.721198558807373
mc37-Lafyatis_Rojas_2019_10Xv1	1.4640272855758667	6.456054210662842
mc38-Lafyatis_Rojas_2019_10Xv1	-4.043995380401611	18.076719284057617
mc39-Lafyatis_Rojas_2019_10Xv1	1.1059249639511108	-4.434726715087891
mc4-Lafyatis_Rojas_2019_10Xv1	-1.7338873147964478	9.065103530883789
mc40-Lafyatis_Rojas_2019_10Xv1	1.743032693862915	-2.5075957775115967
mc41-Lafyatis_Rojas_2019_10Xv1	1.4376211166381836	-1.011589765548706
mc42-Lafyatis_Rojas_2019_10Xv1	4.365466594696045	-5.5404744148254395
mc43-Lafyatis_Rojas_2019_10Xv1	3.418522834777832	-5.625155925750732
mc44-Lafyatis_Rojas_2019_10Xv1	9.314262390136719	13.57156753540039
mc45-Lafyatis_Rojas_2019_10Xv1	-4.276392936706543	-4.221319198608398
mc46-Lafyatis_Rojas_2019_10Xv1	10.948323249816895	1.283996343612671
mc47-Lafyatis_Rojas_2019_10Xv1	9.426878929138184	3.6929855346679688
mc48-Lafyatis_Rojas_2019_10Xv1	1.4960863590240479	-5.448636531829834
mc49-Lafyatis_Rojas_2019_10Xv1	1.7294710874557495	-5.157803058624268
mc5-Lafyatis_Rojas_2019_10Xv1	1.4342801570892334	5.6314215660095215
