UID	AF1	AF2	PMP	SCMF	VSMC	ASMC	Pericyte	VEC	LEC	AEC	CAP1	EPC	CAP2	Chondrocyte	Mesothelial	AT1	AT1/AT2	AT2	Sox9_Epi	Secretory	Basal	Ciliated	Deuterosomal	PNEC	CD4_T	CD8_T	Treg	ILC	NK	B	cDC1	cDC2	maDC	Neutrophil	Basophil	Mast	iMON	AM	IM	Megakaryocyte/Platelet
Snai2	1.375079038	0.431206573	0.974952496	0.616892491	0.237542486	0.158406207	0.635097217	0.121716926	0.079782942	0.078555282	0.059592321	0.266159835	0.074989951	1.043518617	0.077213291	0.012834513	0.053642818	0.007020499	0.008078842	0.003841697	0.149936012	0	0.008291359	0	0.004166331	0	0.066913685	0.016582343	0.02194372	0.014511151	0.071923918	0.016883648	0	0.015171911	0.010571796	0	0.033507421	0.01011418	0.023084243	0.022818126
Limch1	3.758998748	1.025306042	1.569787901	0.309314384	1.199564164	0.140487786	0.084485144	0.865263483	0.703862253	0.620880406	0.5310721	0.329865408	0.169942054	0.531270398	0.617179898	2.637516725	1.935484006	0.515970197	0.409792343	0.403901259	0	0.616271578	0.524915934	1.154904284	0.04706772	0.044101136	0.03985159	0.011868575	0.066017506	0.039193287	0.070402976	0.065089723	0.116198922	0.10646563	0.120567386	0.028813712	0.062717967	0.045276607	0.053662485	0.015517204
D630029K05Rik	0.037129608	0	0.004554152	0	0	0	0	0.000835079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006162247	0	0	0	0	0
Frrs1l	0.08599955	0	0.005196696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000461356	0	0	0	0	0.004140888	0	0	0	0	0	0	0	0	0	0	0.007552096	0	0	0	0	0	0
Nebl	1.112554791	0.131646787	0.088909565	0.039918837	0.028350622	0.274901242	0.133803993	0.008524042	0.008075027	0.093437149	0.00778202	0.012830152	0.018039934	0	0.030762268	0.351954659	0.407583521	0.125496355	0	0.423190575	0.272623801	0.246901056	0.319284728	0.355315811	0.023753772	0.069785785	0.025594649	0.063770179	0.027513675	0.025324984	0.012579948	0.005142064	0	0	0.032428957	0	0.007024825	0.01352822	0.012289196	0
Adarb1	0.887315991	0.111633805	0.519056936	0.169075048	0.427327349	0.298874756	0.044121334	0.071379379	0.205253463	0.072346735	0.006309548	0.016969692	0.032467451	0	0.019387816	0.003841207	0.002401512	0.011185214	0.023481754	0.050848172	0.298567659	0.025786469	0.003234876	0	0.004190233	0.007816736	0.00322803	0.00349091	0.002952319	0.010528766	0.11785128	0	0.06639488	0.003100729	0.01768615	0	0.015254993	0.107515027	0.013292984	0.064411608
Cdh11	2.696116229	2.054286087	1.069319484	0.982511138	0.321119357	0.181311407	0.15655802	0.025627393	0.134786267	0.286958819	0.027796632	0.033825973	0.039962066	1.128760948	1.462561671	0.03835819	0	0.015493945	0.021075215	0.035085734	0	0.064884878	0.015431861	0.019993216	0.02970547	0.0272565	0.012970009	0.008858244	0.029149515	0.032204989	0.007177022	0	0	0.089343531	0.074619636	0	0.029609012	0.054632906	0.033847014	0.076214121
Atp1a2	1.441554531	1.125911362	0.005443523	0.229501552	0.756841928	0.378439712	0.19618849	0.006761924	0.027800455	0.003026551	0.01439774	0.003194134	0.009531747	0.170363779	0.037909442	0.019205414	0.003503737	0.017084283	0.031788582	0.009416069	0	0.01469261	0	0	0	0.005838232	0	0.003991203	0.032322272	0.028413317	0.012579948	0	0	0.088053259	0	0	0.008995223	0.018072593	0.025727571	0
Nol3	0.211686405	0.061655515	0.07353365	0.015955238	0.005868841	0.003749917	0.018493078	0.002081765	0	0.004618452	0.003391325	0.004712313	0.003666943	0	0.014033582	0	0.001623188	0.004613998	0	0.007207475	0	0.007770132	0.001842031	0.039058134	0	0	0	0	0	0.007255791	0	0	0	0	0	0	0.00106865	0	0	0
Phex	0.604927432	0.090012883	0.023969419	0.000497903	0.003002723	0	0.003020548	0	0.004740519	0	0.0040818	0.010749173	0	0	0	0.005115625	0.002432181	0.001172125	0	0.001665135	0	0.005806761	0.005216245	0	0.008132063	0	0	0.01049578	0	0.005082495	0.166758632	0.007578388	0	0.004411207	0.004097425	0	0.003845247	0.010327566	0.006802385	0
Olfml3	1.440967764	1.116301152	0.903220161	0.290366543	0.061505023	0.0608048	0.536688442	0.004144082	0.014354694	0.008609886	0	0.003325754	0.011147195	0	0.036981944	0.021030496	0.013407894	0.000289544	0.015133625	0.005862705	0	0.019783254	0.009936887	0	0.003897362	0.064111599	0	0	0.005503112	0.003728104	0.069422211	0.004992586	0	0.011328753	0	0	0.026301007	0.005263903	0.237962878	0
Ablim3	0.687176084	0.160588928	0.075093648	0.002768045	0.004827559	0.009594236	0.028985665	0	0.137915369	0.019381439	0.009814582	0.009653039	0.00649473	0	0.027706269	0.079197754	0.02634712	0.019273468	0	0.017521938	0.018030623	0.033205869	0.2171157	0	0	0	0	0.005955249	0.016180413	0.001554805	0	0.005729332	0	0.003791673	0.103555339	0.030697976	0.011521421	0	0.019037163	0
Ptpn5	0.184232561	0.001329999	0.018623832	0.030452335	0	0.014113058	0	0.001564431	0	0	0	0	0.007965983	0	0	0.028473691	0	0	0	0.002820871	0	0	0.002349906	0	0	0	0.036132635	0.010819262	0.005511257	0	0	0	0	0	0	0	0.001200287	0.003903541	0	0.010360568
Tmem233	0.08865073	0.007382409	0	0.002499926	0	0	0	0	0	0	0	0	0	0	0	0	0.015421728	0	0.006799351	0	0	0	0.005441645	0	0	0.004476609	0	0	0.003173006	0	0	0	0	0	0	0	0	0	0	0
Dpep1	1.171279221	0.893110882	0.109662054	0.027224205	0.02979936	0.015871593	0.009561649	0.003124849	0	0	0.008097867	0.004103974	0.00571726	0	0.025800696	0.079886249	0.061722363	0.015220947	0.016956713	0.034487481	0	0.015929035	0.012599898	0.007831375	0.012131329	0.020607085	0.006502617	0.222993643	0	0.005890353	0	0.007881743	0	0.005701206	0	0	0.013443506	0.020250237	0.003208761	0
Fhl1	3.685022213	1.771848747	1.48081874	1.65418458	2.259183821	1.444661308	0.453591481	0.495669161	0.327732514	0.206813456	0.220504382	0.289242401	0.102847202	0.91194143	0.461019772	0.689607739	0.304521622	0.066839963	0.147045907	0.619380293	0	1.168461865	0.351214925	0.067370932	0.155105579	0.019857258	0.01290917	0.025156092	0.066084003	0.113564211	0.208514501	0.096944173	0.091638709	0.138991183	0.176083947	0.039824246	0.100687213	0.084847725	0.048636881	1.175900291
Vgll3	0.274392858	0.124118228	0.015845963	0.017448582	0.137870794	0.05946755	0.013059578	0.001880328	0	0.005505317	0.002955302	0.006815071	0.003140354	0	0.021504404	0	0.000812742	0	0	0.008190329	0.036953244	0.011317834	0.042760701	0	0	0	0	0	0	0	0.008527759	0.02217106	0	0	0	0	0	0.004322932	0.004741953	0
Lbh	2.528489904	1.15013394	1.704979014	0.272374363	0.813004525	0.311703381	0.420009293	0.078096919	0.422599892	0.035075403	0.079410346	0.11515435	0.223320261	0	0.11264393	0.087112396	0.004073982	0.042750433	0.028971058	0.036215134	0	0.241439156	0.071094205	0	0.555335241	0.397917778	0.838811674	0.260979363	0.359850651	0.56078559	0.274111119	0.476984197	0.05117955	0.074835145	0.123883322	0.07709653	0.280536802	0.091594563	0.524357806	0.011668813
Specc1l	1.139611587	0.327176213	0.133249673	0.2331676	0.28076275	0.230974076	0.256771442	0.181563379	0.1168594	0.215603438	0.136769546	0.195420352	0.218078926	0	0.077616581	0.268894712	0.160365208	0.136397643	0.129346131	0.187959327	0.239033704	0.109985452	0.183712193	0.06532526	0.107802386	0.188321718	0.070945549	0.161332003	0.148581718	0.132200327	0.071101617	0.082704614	0.13956343	0	0.063997493	0.160144158	0.06663255	0.042668894	0.150735035	0.039463535
Mettl21e	0.319023959	0	0.043859987	0	0.004189107	0.018563878	0.173477522	0.00144741	0	0.00161762	0	0.006307169	0	0	0	0.003309505	0	0.012267675	0	0	0	0	0.003288725	0	0.003946958	0	0	0	0	0.003427122	0	0	0	0	0	0	0.007125546	0	0.005524032	0
Rspo4	0.133993828	0	0	0	0	0	0	0.002251649	0	0	0.000298897	0.004289575	0.000799028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04347315	0	0	0	0
Raver2	0.305214152	0.021957827	0.042773411	0.079322513	0.015772525	0.021865913	0.023932034	0.026316488	0	0.005278586	0.032295597	0.049504847	0.122337195	0	0.051765599	0.011688923	0.016360496	0.008897543	0.023563007	0.011360837	0	0.013364694	0.044215742	0	0.012927743	0	0	0.01574034	0.002677455	0.00100175	0	0	0	0.009035851	0	0	0.009559769	0.004317857	0.009991385	0
Ppp1r3c	0.609601362	0.13339996	0.178707347	0.135841893	0.058936957	0.0576307	0.02407688	0.035375083	0	0.069722695	0.004230427	0.030354568	0.050145793	0.182603333	0	0.004121809	0.095514158	0.152077777	0.163474756	0.062164224	0	0.057736055	0.049476849	0	0.008911793	0	0.009665738	0	0	0.006337388	0	0	0	0.067318248	0.023349849	0	0.014830094	0	0.002221703	0
Crabp1	0.315734664	0.012965883	0.004014504	0	0	0.002680941	0.003388319	0	0	0	0	0.005195185	0.00253375	0	0	0.003655368	0	0	0	0.004466252	0	0.014954204	0.032968259	0	0	0.004986288	0	0	0	0.00373442	0	0	0	0	0	0	0	0	0.009932764	0
Tmem119	0.823899141	0.528920344	0.044275341	0.017568135	0.086231339	0.029442749	0.009520053	0.174867005	0.005680936	0.028216888	0.011168594	0.015151047	0.009536271	0	0.323489603	0.008567475	0.014959394	0.003112677	0	0	0	0	0.008390044	0.01724384	0	0.033322119	0	0.003089814	0.004803252	0	0	0.036966192	0	0.007875826	0.009572241	0	0.029182998	0.003438767	0.299594868	0
Gria3	0.676715739	0.306201713	0.147934681	0.041581366	0.032840744	0.042029921	0.014216125	0.16716299	0.045617746	0.00707967	0.000372264	0.007621484	0.018925487	0	0.384893844	0.003305257	0	0.009055908	0	0	0.017905522	0.002256778	0.010430799	0	0.011128278	0.009570064	0.010977941	0.003791518	0.006629051	0.011772642	0	0.004410461	0	0.011902682	0.018470188	0	0.008950772	0	0.004926138	0.018420327
Vcam1	1.097871015	0.6429303	0.178512992	0.000782639	0.188119432	0.022407521	0.008235074	0.061757975	0.035490383	0.11749397	0.010139457	0.063233801	0.011845805	0.429531611	0.030702033	0.041401281	0	0.005453433	0.008416426	0.005894632	0	0	0.16274303	0.045332044	0.003545112	0	0	0	0.060753516	0.003370668	0.038098263	0.004145428	0.059438654	0.036672785	0.011105723	0	0.010247536	0.071443683	0.219054696	0.022818126
Unc5c	0.427942075	0.137633791	0.076618271	0.00749867	0.057426006	0.038585202	0.012659053	0.013257171	0.021396119	0.002055166	0.006973077	0.007387809	0	0	0	0	0.001814035	0.004448544	0	0.017672807	0	0.003058182	0	0.032709058	0.008294699	0	0	0	0	0.008768943	0.012579948	0.006656454	0	0	0.028872972	0	0.005427495	0.00718034	0.006220702	0
Amph	0.169315192	0.035785691	0	0.002209123	0.006243384	0.011351883	0.009493079	0	0	0.003093912	0	0	0.006339608	0	0	0	0	0.000930186	0	0.002169708	0	0.013334058	0.001816813	0.02244117	0.005232701	0.003789721	0	0.025320005	0.003196977	0.006297541	0	0	0	0	0	0	0	0	0.003465502	0
G0s2	2.518458007	0.4919281	1.198189298	0.285621661	0.280716197	0.325537882	1.366827993	0.028617894	0.110240823	0.024533456	0.120495161	0.028469325	0.008410918	0.415335356	0.091226097	0.030530084	0.04533199	0.15333167	0.128592242	0.113151121	0	0.019900331	0.021957295	0.030904531	0.039214258	0.107042394	0.02116796	0.077251415	0.176998635	0.010698717	0	0.11380506	0	0.961504548	0.091897594	0	0.114304196	0.10419133	0.048497928	0.074877051
Mansc4	0.177212889	0.02208332	0.032032131	0.017803575	0	0.049709803	0.004102341	0	0	0.002133228	0.0002771	0	0.006339608	0	0	0	0	0.003197008	0	0	0	0	0.005468573	0	0.004657765	0	0	0	0.007317581	0.001626705	0	0	0	0.002626966	0	0	0	0.003149595	0	0
Spon1	1.176798621	0.342252056	0.111117429	0.020299105	0.902014176	0.037272069	0.008192486	0.049963649	0.004316613	0.04118318	0.012867951	0.00314054	0.011158015	0	0.142738735	0.007691568	0.001782864	0.018319818	0.009122098	0.007008267	0.021448669	0.021095682	0.004784054	0	0	0	0.008151633	0.013478349	0.033880854	0.006929553	0	0.034770383	0.036566159	0.010285967	0	0	0.002038675	0.001816068	0.010198685	0.035600252
C7	0.28077625	0.01803548	0	0	0	0	0	0.004318682	0	0.001655648	0.000387048	0	0.004540332	0	0	0	0	0	0	0.009774887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts17	0.677957033	0.143717471	0.069577565	0.060121888	0.144268174	0.033448953	0.033107881	0.034507509	0.003128947	0.012100524	0.010974053	0.007642715	0.010710742	0	0.268429887	0.004545896	0	0.024410225	0	0.013479632	0	0.03510377	0	0	0	0	0	0	0.016180413	0	0	0.007231347	0	0.007045719	0.00769484	0	0	0.002993589	0.009854229	0
Gyg	3.057130555	0.449866898	1.873785793	0.134275784	0.322053704	0.54260275	0.225135983	0.171701076	0.308562461	0.157391467	0.422327205	0.161162033	0.293868311	0.096760298	0.185427753	0.096383165	0.08858408	0.103873883	0.124867485	0.15288711	0	0.138733347	0.092028693	0.25705083	0.103658452	0.105619461	0.41181714	0.236659905	0.313041686	0.116131606	0.091870397	0.252509435	0.869736638	0.330802406	0.369502475	0.476588525	0.370855335	0.364402822	0.17638996	0.232567129
Chst8	0.100355543	0	0.004646567	0	0	0	0.001352173	0.00265757	0	0	0.00348787	0	0	0	0.00444543	0	0.003268675	0	0	0	0	0.006121463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcolce2	1.825524126	1.045596294	0.095945456	0.187327566	0.169342067	0.041640707	0.037043089	0.016791485	0.008142205	0.014341826	0.002733144	0.007120368	0.104856071	0.854137918	0	0.042577633	0	0.023677892	0.014617557	0.029772891	0	0.017931463	0.008211428	0	0.032257214	0.01028126	0.00668163	0.01049578	0.018433001	0.015047171	0	0.005213378	0.03024008	0	0.017812054	0	0.025715023	0.026931771	0.00394113	0.024088146
Mfap4	4.568250987	3.071108403	1.937306623	0.917077775	0.998829315	1.01422866	0.156407183	0.044545736	0.058665317	0.113507613	0.064341426	0.091032332	0.042394158	1.56071128	0.279735337	0.40824084	0.003737139	0.052247577	0.100145269	0.032329858	0	0.030783567	0.017600551	0	0.066170039	0.107687667	0.089827384	0.056231614	0.18637103	0.117114588	0.32164667	0.033291341	0.067989262	0.156550399	0.212065822	0.126718144	0.083892316	0.212802768	0.112601467	0.198208084
Shisa2	0.355829715	0.067362874	0.030805259	0.018788009	0.003169705	0.042679177	0	0	0.024956033	0.005686052	0.003638355	0	0	0	0	0.006756254	0.002476863	0.009729748	0.010006579	0.015334339	0	0.008697604	0.012047762	0	0.009237073	0.003708393	0	0.012210919	0.003415952	0	0.015807489	0	0	0	0	0.03869439	0	0	0.010717506	0
Cacna1d	0.833243359	0.161442199	0.120298869	0.020146891	0.016845534	0.094954045	0.113599659	0.004417637	0.016989489	0.01510645	0.015655692	0.010511892	0.003936088	0	0.054223975	0.001833652	0	0.022998686	0	0.008294984	0	0.155869368	0.137263469	0	0.017308942	0.003976703	0.011611731	0	0.00466663	0.026602287	0	0	0	0.007213011	0.007106628	0.028813712	0.022257299	0.013599806	0.131320598	0
Slc27a6	0.679736956	0.05443571	0.084915789	0.009751619	0.004571884	0	0.003133101	0.001900922	0.06710977	0	0.000342847	0	0.006339608	0.182603333	0.012643928	0.002307756	0.004207129	0.004642147	0	0	0	0.004747724	0	0	0	0	0	0.028955163	0.015535921	0.006518834	0.00887318	0	0	0	0.004082133	0.035093227	0.005474135	0.004266662	0.005755098	0
Enpep	1.588787508	0.250167232	0.14023352	0.006512433	0.15062964	0.071621448	0.128491084	0	0.03035334	0.005361764	0.017980183	0.017729271	0.023968859	0	0.057181926	0.032797184	0.132279254	0.41920059	0.051188061	0.036655633	0	0.013151117	0.005292172	0.714239375	0.022170096	0.005283499	0.038324258	0.01049578	0.006393388	0.022702939	0.012579948	0.004325894	0	0.002591219	0.027007105	0.052585172	0.016650732	0.009737717	0.032173336	0
Vipr2	0.345209787	0.027540771	0	0.003283241	0.008878986	0	0.013455115	0.006178922	0	0.003823664	0.003334278	0	0.007637308	0	0.0155086	0.009217579	0.00289351	0.011379087	0.013670863	0.019204704	0	0.006705604	0	0	0	0	0	0.050044707	0.009006109	0.00747112	0	0.016546737	0	0.052571296	0	0.034343774	0.002346054	0	0.007229758	0
Plekha6	0.27193159	0.036835408	0.031916976	0.015784573	0	0.009594087	0.001730736	0	0	0.006920166	0	0	0.00311416	0	0.051048539	0.003508606	0.011506831	0.021206203	0.012197125	0.012526251	0.059481381	0.032405111	0.001964184	0	0	0.015290553	0.01135962	0	0	0.001450113	0	0.005523735	0	0.00632338	0	0	0	0.003855252	0	0.016093168
Figf	1.433085769	0.835737864	0.326195883	0.010694273	0.235553042	0.030254204	0.006121402	0.073559001	0.00720975	0.014820499	0.00501604	0.007119647	0.025924969	0	0.167341706	0.027422309	0	0.015437652	0	0.041153413	0	0.02827322	0.021806859	0	0.022462574	0.025421799	0	0	0.004358033	0.006279308	0.023983754	0	0.127558771	0.003352382	0.009049423	0.022267993	0.0088562	0	0.023905685	0
Scube2	0.713825358	0.093148066	0	0.009124873	0.004695538	0.051763267	0.004730828	0	0.010045602	0.006977529	0	0	0.007033677	0	0.008049257	0.003540808	0.002875033	0.014015071	0	0.00594513	0	0.027643999	0.007864671	0.007831375	0.004323295	0.003161178	0	0.004998527	0	0.001620427	0	0	0.083379698	0.002655787	0.004082133	0	0.007919839	0	0.010726168	0
Slit2	1.12756356	0.192510555	0.073038862	0.05556283	0.034531473	0.028110184	0.022697478	0.076408261	0.01754425	0.077293766	0.093572982	0.026135312	0.036380809	0	0.119455836	0.047006057	0.058499907	0.020628272	0.019477889	0.017587295	0.04468858	0.120062288	0.088186078	0	0.016148984	0.019451804	0.013503907	0	0.003415952	0.004597939	0.013553265	0.004028633	0	0.043607657	0	0.028813712	0	0.009412743	0.019249747	0
Slc38a5	1.196762753	0.217484728	0.458922092	0.017596703	0.008146794	0.02780792	0.00261532	0.004329387	0.029311439	0.010671054	0.009201807	0	0.026032789	0	0.015933295	0.009876203	0.012161898	0.014930463	0.009752817	0.014611919	0	0	0.020520998	0.263031709	0.004028884	0	0.07420378	0	0.009172438	0.001468979	0.080935326	0.006656454	0.03063791	0.010445502	0	0.021367443	0.025348106	0	0.006088235	0.020448343
Tcf21	3.315304015	1.572938112	1.330201895	0.080618808	0.242492732	0.080388264	1.097291599	0.016752535	0.073246191	0.063026564	0.100973074	0.042603666	0.018293465	0	0.098461995	0.066511953	0.056483087	0.028632865	0.062821419	0.039757872	0	0.030135195	0.025614205	0	0.003897362	0.015377295	0	0	0.091649746	0.013692382	0.008257079	0.013288195	0	0.120436141	0.044188197	0	0.083446091	0.044351437	0.057020879	0.061014507
Fgf10	0.579607558	0.119625064	0.207418031	0.005152185	0.007444641	0.004522247	0.004481353	0.00144741	0.00621125	0.003093912	0.000394045	0	0.018386417	0	0.007698725	0	0.003152482	0.001835	0.020541118	0	0	0.025194966	0	0	0	0.004712336	0	0	0.022603645	0	0.007177022	0	0	0	0	0.020719372	0	0.002944223	0.004066545	0
Meox2	1.429565382	0.594712316	0.205660493	0.01100342	0.043558002	0.01145542	0.072347168	0.050995654	0.049447765	0.019510901	0.00588651	0.048450672	0.014859952	0	0.017494827	0.01094841	0.006670033	0.002759342	0	0.008984789	0	0	0	0	0.010330524	0.007936479	0.010468412	0.02418732	0.018300518	0.015777953	0.058230308	0	0	0.007055615	0.014583891	0	0.015931766	0.017962886	0.021584061	0
Adra1b	0.572022106	0.044365462	0.017352237	0.015372993	0.012652979	0.012951725	0.114701435	0.00343318	0	0	0.00517691	0	0.008567477	0	0.006102711	0	0	0.007485742	0	0.007603361	0	0.004967069	0.026899583	0	0	0.004364143	0	0	0.007564361	0.010009804	0	0.01581256	0	0	0.005834568	0	0.009212761	0	0.016551338	0
Wnt2	1.3545567	0.03242792	0.508725778	0.098124953	0.022442146	0.021176483	0.010268796	0.024901268	0.039521906	0.003421872	0.008083977	0	0.007488192	0	0.094564361	0.001787724	0.024749967	0.00639063	0	0.007692051	0	0.007062342	0.002233636	0	0.006615678	0	0	0	0.003523518	0.004207722	0	0	0	0.047927662	0.004626421	0	0.009861179	0.023226249	0	0
Slc36a2	0.859176348	0.033803405	0.009686786	0.005715495	0.008380298	0	0.009687599	0.004345028	0.007199217	0	0.004684557	0.001633232	0.006339608	0	0.016018417	0	0	0.000491565	0	0.019729829	0	0.002619257	0.001696879	0	0	0	0	0	0.005503112	0	0.033216358	0	0	0.039197089	0.003494262	0	0.002961255	0.038061092	0.008422999	0
Slc7a10	0.699636041	0.057138727	0	0.009853405	0.01288513	0.003499826	0.030738331	0.002159253	0.007683969	0	0	0.020667091	0	0	0.014951743	0.003729887	0	0.009116404	0	0	0	0	0.009363768	0	0.006424947	0.003730222	0.011611731	0.006914556	0.016180413	0	0	0	0	0.002894784	0	0.028813712	0.00640505	0	0.004034068	0
Col13a1	1.765015906	0.335050132	0.498355581	0.092866465	0.029459235	0.078322815	0.037600951	0.200918409	0.056155371	0.029899841	0.014787316	0.053892415	0.009355816	0	0.003697015	0.003964326	0	0.013964842	0	0.008698164	0	0.018581666	0.019576919	0.067370932	0.032112019	0	0	0.009806252	0.004176045	0.012258507	0	0	0.026589788	0.019075983	0.004082133	0.017964418	0.016636877	0.007055623	0.013251271	0.025239685
Fgfr4	0.485187833	0.037999766	0.014983522	0.011278611	0.01467294	0.004522247	0	0.001827762	0	0	0.002471395	0	0.000997135	0	0	0.002015948	0	0.00758795	0.051608598	0	0	0	0.003003491	0	0	0	0	0	0	0.006154326	0	0	0	0	0	0	0.004082581	0	0	0
Shisa3	0.170522975	0.232163823	0	0.004295081	0.016050348	0	0.005431724	0.001900922	0.001712737	0	0	0.00744888	0.039436204	0	0	0.020397502	0.027611839	0.038743729	0.017358061	0.040600845	0.017842456	0.04987513	0.015966626	0	0.005061614	0	0	0.004597249	0	0.005882279	0	0	0	0	0.003471606	0	0	0.001813054	0.010296021	0
Lpar1	0.436226523	0.988275351	0.291948716	0.617579672	0.022178388	0.551583	0.00837498	0.005482007	0.016462164	0.020981645	0	0.012164804	0	0	0.149232425	0.078999745	0.048596043	0.005567915	0.108182645	0.305187997	0	0.130916544	0.195395469	0	0.003603444	0.004047344	0	0	0	0.013175135	0.033873809	0.019795837	0.040271234	0.017292062	0	0.240570974	0.01368354	0.002432999	0.03179373	0
Sema6c	0.035599014	0.172241507	0.00435194	0.033423632	0.061456587	0.047581232	0.004999515	0.045202133	0.014978977	0.007235451	0.005107968	0.012933897	0	0	0.011136032	0	0.002832204	0.010877975	0.025067235	0	0	0.001339474	0	0	0.015128217	0	0	0.005229914	0.002988772	0	0	0	0	0	0	0	0.002190874	0	0.00394113	0
Osr1	0.165871656	1.043856555	0.019297023	0.101598746	1.00581208	0.327270061	0.010532448	0.005983811	0.222307737	0	0.000689069	0.003107834	0.009808477	0	0.612526302	0	0.012671201	0.003693862	0.012064208	0.013934907	0	0.004002443	0.008140292	0.300967402	0.006819662	0.01593236	0	0.003296923	0.018303053	0	0	0	0	0	0	0	0.005335937	0.004542766	0.002597868	0
Fbn1	1.497987925	2.283763465	0.461131349	1.213080917	1.227398657	0.349961865	0.828344548	0.384507006	0.63120168	0.858686938	0.044239808	0.037148539	0.06703261	1.019901859	1.06865093	0.019434004	0.028202104	0.031523013	0	0.050953846	0	0.004912792	0	0.187862754	0.02273719	0	0	0.021421162	0.008771893	0.029863655	0.055794326	0.090402147	0.024124913	0.010474529	0	0.057538661	0.022440995	0.01004013	0.034726889	0.025086819
Svep1	0.463780383	0.396895117	0.064791486	0.115414342	0.021910085	0.010771847	0.163703386	0.00144741	0.007155477	0	0.005505267	0.001135475	0.00608401	0	0.03165989	0.0151059	0.003972604	0.003311311	0	0.006620819	0	0	0.011229133	0	0.003886225	0	0	0.003991203	0	0	0	0	0	0	0.016126411	0	0.006675436	0	0.005850606	0
Ptch2	0.11035694	0.184144821	0.045846144	0.007367068	0.009681154	0	0.009282883	0.026641656	0	0.001972288	0.025898209	0.025285785	0	0	0.033426933	0	0	0	0	0	0	0	0	0	0.005348075	0	0	0	0.025039765	0	0	0	0	0	0.021270947	0	0.003415118	0	0.002845272	0
Col6a3	1.220688451	1.728310727	0.869156986	0.853929064	0.346945672	0.910329838	0.186687779	0.012705108	0	0.01173632	0.008311804	0.012134523	0.007834792	0.892720317	0.240924409	0.03089546	0.02013685	0.010191512	0	0.033769918	0	0.003215787	0.006515427	0	0.008617316	0.026142085	0.009146168	0.012167294	0.026887889	0.010258606	0.033873809	0	0	0.026769814	0.034179811	0	0.017269516	0.025866534	0.016198652	0.090626079
Pdgfrl	0.12051962	0.781101211	0.06640597	0.630174611	0.532341007	0.125405081	0.037305597	0.002576888	0.021543311	0.011398396	0.01062884	0	0.088921973	0.269176066	0.019308434	0.008075983	0.010865478	0.000507555	0.007671279	0.176757103	0	0.022628958	0.155918334	0	0	0	0	0.008039016	0.015887273	0.001439397	0.009999164	0.016836204	0	0.00240638	0.011347258	0	0.009614212	0.021140611	0	0
Rcn3	0.866514033	2.706559011	0.40810517	1.523367181	1.381546785	1.036987584	0.634564428	0.424672852	0.656936829	0.332370473	0.37767969	0.062000974	0.128567429	1.381346975	2.254958009	0.133276347	0.063403187	0.028378544	0.256112586	0.010422009	0	0.02873838	0.01555268	0.018451165	0.109866952	0.123448266	0.016708699	0.028357819	0.117049045	0.00842503	0.253176086	0.204521014	0.077104868	0.030422799	0.414223173	0.303095653	0.054521354	0.111790026	0.131308462	0.054738947
Col1a1	3.001681756	4.656909224	2.370467108	2.750887922	2.310301422	2.104309681	1.019731529	0.042992904	0.059625956	0.03791756	0.034578335	0.026272928	0.021189836	1.983525574	3.821002125	0.037401368	0.047319775	0.038419614	0.01481112	0.018345311	0	0	0	0	0.058754695	0.080077762	0.007599333	0.021338783	0.046090913	0.068200124	0.089032978	0.025933877	0	0.218417469	0.049988018	0.073783178	0.075258344	0.063203032	0.059923919	0.105801873
Clmp	0.510445355	0.639397858	0.043434138	0.065213123	0.014596037	0.268684701	0.00167037	0.026388203	0.014040621	0.031520365	0.004717397	0.032867678	0.04616899	0	0.12794564	0.0036855	0.013407894	0.004439948	0	0.012071457	0	0.004161472	0.004240583	0.036366997	0	0	0	0.014205447	0.009320873	0.007746219	0.055947544	0.02713476	0	0.051169979	0.007678729	0.022444028	0.037393278	0.035929519	0.089663805	0
Ogn	2.606566047	2.916600879	0.29199968	0.291909452	1.257429434	1.78316951	0.135231075	0.014922867	0	0.01396663	0.00518952	0.016778223	0.003894297	2.001139331	1.600031454	0.053136563	0.033248033	0.042028416	0.029217034	0.07707851	0	0.083328682	0.015542575	0	0.016128242	0.022125938	0.032504244	0.020949553	0.053877928	0.01916475	0.053879894	0.051622651	0	0.089323001	0.02161962	0	0.032947262	0.010146003	0.0340413	0
Lama2	0.251042269	0.729131247	0.044003669	0.319295143	0.177174145	0.249109916	0.592154267	0.013539219	0	0.001214118	0	0.00132697	0.010577539	0	0.062337003	0	0.00541401	0.007782345	0	0	0	0	0.002580797	0	0	0.024580574	0.0082483	0	0.020452809	0.001186979	0.007147394	0	0	0.038316325	0.014370721	0	0.005314813	0.003648955	0	0
