UID	AF1	AF2	PMP	SCMF	VSMC	ASMC	Pericyte	VEC	LEC	AEC	CAP1	EPC	CAP2	Chondrocyte	Mesothelial	AT1	AT1/AT2	AT2	Sox9_Epi	Secretory	Basal	Ciliated	Deuterosomal	PNEC	CD4_T	CD8_T	Treg	ILC	NK	B	cDC1	cDC2	maDC	Neutrophil	Basophil	Mast	iMON	AM	IM	Megakaryocyte/Platelet
Lyve1	0.008839365	0.057012519	0	0.018183472	0.069840052	0.100604621	0.07192488	3.543269305	2.779135547	1.989578719	2.132683199	2.559052735	1.661697469	0.193142812	0.183045001	0.132974163	0.107674472	0.071196772	0	0.060657422	0	0.006079066	0.012612427	0.278880699	0.097609572	0.109195684	0.034537654	0.018913375	0.024309795	0.107136414	0.075848901	0.067450267	0.03063791	0.514160266	0.071649513	0	0.067476777	0.082135018	0.781148484	0.247539889
Kcnb1	0.009966879	0.069410808	0	0.012522805	0.019558196	0.037045366	0	0.177856964	0.004431052	0.002628422	0.011233376	0.00481596	0.007997984	0	0.008253604	0	0	0	0	0	0	0.004958142	0	0.045332044	0.005480201	0	0	0	0.005214558	0.003805249	0	0	0	0	0	0	0	0	0.003508199	0
Tll1	0.00027283	0	0	0	0.003199761	0	0	0.1255662	0.009667443	0.01403958	0.0183834	0	0.002576553	0	0.05806226	0	0	0	0	0.014099441	0	0	0.013625308	0	0	0	0	0.003763715	0	0	0	0.005142064	0	0	0	0	0	0	0	0
Ncam2	0.000237655	0.002038681	0	0	0.005269706	0	0	0.155451883	0	0	0	0	0	0	0	0	0.011181294	0	0	0.012787463	0	0.001751716	0.002693192	0.04352947	0	0	0	0	0	0	0	0	0	0	0	0	0.003472816	0	0	0
Entpd1	0.003640753	0.117757229	0.047771019	0.566930615	0.450499982	0.541795238	0.019968835	1.270725675	0.010619405	0.736966772	0.212246252	0.255625897	0.068570621	0	0.020365508	0.004744791	0.146897418	0.377676319	0.021016538	0.009078081	0	0.004225393	0.015568481	0	0.037555358	0.013659172	0.134730953	0.004904323	0.050698095	0.108567208	0.214871392	0.178752384	0.03761339	0.251754392	0.023239697	0.025268401	0.132744756	0.183451703	0.53208963	0
B3gnt3	0	0	0	0	0.001186656	0	0	0.122864115	0	0.038619957	0.042037273	0.057161671	0.027145397	0	0.007764319	0.002988513	0.000997466	0.004418612	0	0.01201227	0.012585902	0.005109154	0	0	0.003130734	0	0.024010542	0.004873821	0	0.003435621	0	0.004208833	0	0	0	0	0.004564909	0.015696879	0.002808347	0
Palmd	0.130177133	0.187752464	0.004422954	0.249695951	0.061137777	0.138712763	0.042929876	1.766092518	0.12405057	1.133810723	1.004419722	1.127940919	0.457734513	0	0.238568664	0.0259084	0.03057497	0.04358752	0	0.398326424	0.424044257	0.129811118	0.245250317	0.873115116	0.009240929	0.038469244	0.017989818	0.004970132	0.034804126	0.062549077	0.053992735	0.028785706	0	0.042621027	0.02851102	0.046366336	0.023201657	0.022195751	0.04952773	0.052869242
Kcnh1	0	0.005956193	0	0	0	0.021640027	0.006649838	0.287326897	0	0.001522612	0.096323943	0.11183667	0.029720395	0	0	0	0.005812467	0.007571486	0	0	0.062368075	0	0	0.047993738	0.00522615	0	0	0.005535401	0.004063322	0	0.017179476	0.004201888	0	0.029799904	0	0	0	0.002385311	0	0
Myrip	0	0	0	0	0	0	0.003333121	0.165400409	0	0.08551426	0.003391325	0.011901383	0	0	0	0	0	0.005317598	0.004638976	0	0	0	0	0.02244117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unc45b	0.010926118	0.012418282	0.004966099	0	0.013256134	0.133054007	0	0.772145191	0.226546984	0.277495721	0.426991945	0.297988673	0.555270966	0	0.155479942	0.024829346	0.003194583	0.014784473	0	0.009494371	0	0.013982197	0.012666165	0	0.018771012	0.056080037	0.052036218	0	0.003799344	0.01462011	0.006182401	0.005001251	0	0.116377853	0.005490108	0.051776496	0.013372746	0.004766072	0.018806166	0
