UID	aCap	Adventitial FB	Alveolar FB	Alveolar macrophage	Arteriole	AT1	AT2	B cells	Basal	CD4	CD8/NKT	cDC1	cDC2	Ciliated	Differentiating ciliated	gCap	Inflamed	Inflammatory monocyte	Interstitial macrophage	KRT5-/KRT17+	Lymphatic	Mast	Mesothelial	moDC	Monocyte	Monocyte-derived macrophage	MyoFB	MyoFB - Activated	NK	pDC	Pericyte	Plasma	PLIN2+ FB	PNEC	Proliferating - Epi	Proliferating - Imm	Secretory - SCGB1A1+/MUC5B+	Secretory - SCGB1A1+/SCGB3A2+	Secretory - SCGB3A2+	SMC	Systemic venous	Transitional AT2	Venule
RASGRF1	0.001569285	0.001272841	0.002549757	0.002027267	0.005363433	0.01214367	0.721863376	0.055597645	0.118234486	0.006688097	0.001970359	0.117741661	0.022940922	0.005720796	0.020193417	0	0	0.007338464	0.029289305	0.088738545	0.024332824	0.001985159	0.011430372	0.015083579	0.00382012	0.005830406	0	0	0.00162951	0	0.00090278	0.062137341	0.001452651	0	0.186151835	0.007670616	0.007579985	0.031133271	0.125129937	0.006832733	0.006355332	0.343734248	0.010521787
PLA2G4F	0.000190062	0.000453606	0	0.000258289	0	0.03466828	0.544762332	0	0.011102129	0.000827812	0.001148275	0	0.00039409	0.000625707	0.001127443	0.026374573	0	0.000271614	0.001435835	0.008664745	0	0.000976983	0	0.00028019	0.000384397	0.000783868	0	0	0.000531067	0	0	0	0	0	0.171841724	0.000482644	0.001757825	0.019620926	0.076211634	0	0.000224942	0.103026791	0
PLA2G1B	0.007531527	0.009578294	0.006644606	0.003047359	0.007303825	0.214221257	1.25190024	0	0.001113018	0.000389472	0.006875209	0	0.000638154	0.065691983	0.037814694	0	0	0.007105034	0.000234792	0.072019654	0	0.004239165	0.001103388	0.009555179	0.003623346	0.006151227	0	0.001782941	0.004890199	0	0.001781311	0.017321173	0.001480241	0	0.441824342	0.008243745	0.00671468	0.023014765	0.081705158	0.009625496	0.001003987	0.302704346	0.009355888
HHIP	0.003589674	0.11757873	0.059516085	0.00220026	0.001363259	0.046994794	1.138422213	0.000665408	0.019971465	0.000817054	0.002313322	0.012552072	0.003855682	0.005365728	0.001030055	0	0.219404899	0.004374436	0.001858816	0.011185834	0.011455473	0.027926067	0.229098289	0.008515254	0.008253892	0.00350489	0.022562375	0.032850267	0.016131455	0.009434258	0.022350636	0.004258381	0.004838683	0	0.269488144	0.001981925	0.001689974	0.002515908	0.03076581	0.007449553	0.003087735	0.147139405	0.005646114
LGI3	0.003579933	6.95E-05	0.00110169	0.000736717	0	0.022369513	0.521167627	0	0.000830919	0.001971223	0	0	0	0	0	0	0	0.000603877	0	0	0	0.002254146	0	0.001115337	0.001077106	0.000785075	0	0	0	0	0	0	0.000133704	0	0.120284917	0.000326967	0.000188616	0.000499503	0.022175314	0.006533099	0	0.088805853	0
KCNH8	0	0	0.000343836	0.001894736	0	0	0.006965973	0.134757509	0.011711359	0	0	0	0.001025349	0.000888877	0.000309909	0	0	0.000568942	0	0.068486836	0	0	0.008576865	0.000211351	8.58E-05	0	0	0	0	0.055665527	0	0	0	0.053158916	0.0040212	0	0.004286403	0.002986238	0.006165154	0	0	0.005437887	0
ZNF860	0.001200888	0.005467556	0.003647833	0.011483188	0.001753871	0.003236861	0.00613362	0.125936423	0.018651536	0	0	0.00572139	0	0.018022705	0.046405091	0	0	0.000664441	0.00034413	0.010585126	0.00017457	0.000428923	0.006438248	0.000337833	0.000232583	0.004150871	0	0	0	0	0.02215029	0.01357678	0.001896213	0	0.007158324	0.003133276	0.011100786	0.00337784	0.014359891	0.002705636	0.004846428	0.015881429	0.002965112
IGHM	0.001870123	0.005304836	0.012841858	0.009326318	0.007606599	0.001041478	0.005575133	0.743640834	0.006177062	0.026217784	0.003933554	0.016436254	0.004093236	0.005972316	0.014707397	0.026184445	0	0.008036773	0.006324025	0	0.000894703	0.012923574	0.002724459	0.010261276	0.004923243	0.005194443	0.033805277	0.011964257	0.009848854	0.581962902	0.02444392	0.828084087	0.001744772	0	0.002264741	0.008868165	0.003135782	0.006799689	0.007314853	0.018911476	0.00513845	0.010207733	0.0044191
CD70	0.035566533	0.014174858	0.000847782	0.00071351	0.012009315	0	0.000821833	0.474582465	0.0130843	0.337267039	0.125272288	0.312187142	0.020557009	0.001481512	0.00436519	0.025977781	0	0.003756308	0.005699114	0.102752581	0.000434438	0.007810982	0	0.00873869	0.012327206	0.001639399	0	0.011004027	0.022952795	0.002037277	0	0.166747542	0.030948359	0.044238766	0.004775028	0.073823048	0.000232551	0.00378354	0.000537998	0	0.011562981	0.009746718	0.00877693
P2RX5	0	0	0.001114163	0.002058659	0	0	0	0.140144871	0	0.019290124	0.018564162	0	0.00665953	0.000147022	0	0	0	0.006023704	0.000519408	0	0	0.006863998	0.000212163	0.007769751	0.004318925	0.003102418	0	0	0.038810456	0.040179129	0	0.071568825	0	0	0	0.011144394	0	0	0	0	0.001053159	0.000515391	0.00048371
