uid	qHSC	aHSC	HSC-Ly	MPP5-IER	MPP5 Ly-I	MPP1-MKP	MPP1-G1	MPP2-G2	MPP2-M	MPP2-S	MPP3-IER	MPP3-S	MPP4-TCA	MPP4 Ly-I-a	MPP4 Ly-I-b	HSC-Mac-1	HSC-Mac-2	Mac-Nr1h3	ML-1a	ML-1b	ML-CC	ML-2	ML-MDP	ML-3	MEP	MkP-HSC	MkP-Kit	ErP-HSC	ErP-MEP	ErP-1	ErP-2	ErP-3	ErP-4	ErP-5	BMCP-G2	BMCP	pro-Mast	pre-Baso	Baso-Mature	MP	IG2-MP	IG2-proNeu1	EoP	proNeu-1a	proNeu-1b	proNeu-2	preNeu-1	preNeu-2	preNeu-3a	preNeu-3b	preNeu-3c	immNeu-1	immNeu-2	immNeu-3	MDP-1	MDP-2	cMoP-a	cMoP-b	D3-LM	pre-cDC1a	pre-cDC1b	pDC-CC	pDC	pre-cDC2	plasmaDC	CLP1-a	CLP1-b	CLP1-c	CLP2-Ly6d+	ALP-a	ALP-b	proB-cycling	preproB-1	pre-proB-2	preBcrII-G2M	preBcrII-S	preB-kappa	immB	matB	EILP	CHILP	ILCP-a	ILCP-b	ILC2	ILC1_3+NKP	pre-aceNKP	aceNKP
Cpne8	0.529876063	0.1120045	0.070508795	0	0.022816058	0	0	0	0	0.018767046	0	0	0.02361295	0.021424274	0	0.103869668	0.083891458	0.049959912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014852531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043308783	0	0.01619112	0	0	0	0.010354455	0	0	0	0.018383405	0	0	0	0	0	0	0	0	0	0	0	0.057848584	0	0	0	0	0	0
Meg3	0.555000665	0.05160893	0.01721518	0	0.045664449	0	0.047868802	0	0	0	0	0	0.013828766	0	0	0.162018418	0.099869472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015473556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065863899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smtnl1	0.212993415	0.031261631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn1c	0.812145222	0.331325998	0.206011091	0.170282098	0.11991623	0.057509019	0.105889409	0.15128871	0.079226206	0.185028743	0.023904725	0.04702671	0.090916297	0.02916208	0.075966444	0.176699021	0.181738053	0.029647092	0.01834593	0	0.055427922	0.011903331	0.012972953	0	0.017122596	0.055296757	0.015042537	0.007313486	0	0	0	0	0	0	0.016370336	0	0.052391875	0	0	0.005797954	0	0	0	0.006688588	0	0	0	0.038589979	0	0	0	0.020498808	0	0	0	0	0	0	0.183966801	0	0.015288866	0.010173151	0	0	0.033775638	0	0	0.043909343	0.028714222	0	0.038008085	0.036430542	0	0	0.108468292	0.059450873	0.051941111	0	0	0.137171724	0	0.069760015	0.030589348	0	0	0.034492074	0
Trim47	0.805477958	0.356789012	0.234157942	0.232233779	0.163865605	0.305449918	0.215521114	0.278572749	0.127900969	0.149238884	0.080187396	0.064598265	0.132596344	0.052169588	0.084322093	0.286128121	0.405328912	0.090938192	0.05628752	0.07446737	0.011666641	0.034532865	0.013827415	0.049167279	0.163824028	0.139644567	0.231472403	0.075594965	0	0.076532824	0.072297379	0.040645789	0	0.02384812	0.03952154	0.015595211	0.021161258	0	0	0	0	0.004140234	0	0	0	0	0	0.017160348	0	0	0.006538636	0	0	0	0	0	0	0	0.043308783	0	0	0.027792318	0	0	0.082799001	0.021999511	0.058321073	0	0	0	0	0	0	0	0	0	0	0	0	0.016415298	0	0	0	0	0	0	0
Obscn	0.278454348	0.045149019	0.017348478	0.019187472	0	0.026676405	0.012280667	0.038868341	0	0.021231424	0.025326513	0	0	0.036372811	0	0.009758256	0	0	0	0	0	0	0	0	0	0.08660888	0.057727471	0	0.028691201	0	0	0	0	0	0	0.009686822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02371143	0.066603028	0	0	0	0
Tns2	0.285960386	0.023166511	0.044802756	0.009514035	0.09418081	0.010592175	0.061461491	0	0.014798803	0	0	0	0	0.025352605	0	0.012919202	0.073456573	0.014454949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004030289	0	0	0	0	0	0.00908843	0	0	0	0	0	0	0	0	0	0	0	0	0.09208617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kazald1	0.293328332	0.096236083	0.067283316	0.038256162	0.02592654	0.01733237	0.016056119	0.008485623	0.036289975	0	0.024169841	0	0.023458776	0	0.044079039	0.02377135	0.055735037	0	0.015910799	0	0	0	0	0	0.017815779	0.012302994	0	0	0	0	0	0.004987017	0	0	0	0	0	0	0	0.006541911	0	0	0	0.005307068	0.008504012	0.007371533	0	0	0	0	0	0	0	0	0	0	0	0	0.031210948	0	0	0	0	0	0.026374493	0	0	0.029393535	0	0	0	0	0.014388712	0	0	0	0	0	0	0	0.043338554	0	0	0	0	0	0
Nbea	0.393133621	0.153926432	0.134905943	0.011767457	0.132106366	0.019662656	0.03651287	0.094105384	0.024690376	0.023144199	0.033250255	0.008869873	0.078603336	0.023446694	0	0.106534117	0.132829345	0	0	0.025267423	0	0	0	0	0	0	0.028709084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02384618	0.006897073	0	0	0	0	0	0	0	0	0	0.033037446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012433808	0	0	0.039396109	0.049577187	0.022410492	0	0
2410017I17Rik	0.076721419	0	0	0	0.016554648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ecscr	0.321624365	0.118998989	0.097316862	0.052026181	0.095654902	0	0.084964802	0.029542995	0	0.041038164	0.080958873	0.053722308	0.068338874	0.02660908	0	0.069038924	0.081464243	0	0.074178661	0.018241598	0	0	0.008711457	0	0	0.019402428	0	0.017074607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00876962	0	0	0	0	0	0	0	0	0	0	0.006516242	0	0	0	0	0	0.014819568	0	0.008316168	0	0	0	0.03893934	0	0	0	0	0.014213643	0	0	0	0	0	0.015196564	0	0	0	0	0
Fhl1	0.300294084	0.112023848	0.024758299	0.029724494	0	0.107846193	0.122769802	0.036588059	0.008366309	0.041631631	0.016417217	0	0.008583263	0	0	0.041481563	0.104775803	0	0	0	0	0	0	0.01564199	0	0.123807188	0.25513714	0	0	0	0	0	0	0	0.010886486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019863913	0	0	0	0	0	0	0	0	0.028297745	0	0	0	0	0	0	0	0	0	0	0	0
Hoxb5	0.211857254	0.059155235	0	0.046229719	0.043589119	0.016565393	0	0.07100174	0.033514155	0.009490668	0	0	0.008583263	0	0	0.015954111	0.042561815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038618073	0	0	0	0	0	0	0	0	0
Plekhg6	0.127766525	0	0	0	0	0	0	0	0	0.010543252	0	0	0	0	0	0	0.031625485	0.044177763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009429954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult1a1	0.419390274	0.042894728	0.044081648	0.026045951	0	0.018393101	0.013774266	0.038060842	0.030497133	0	0.023066897	0	0	0	0.114026846	0.104250338	0.1246716	0.398711724	0	0	0	0.026623392	0	0	0	0	0	0	0	0	0	0	0.007970893	0	0	0	0	0	0	0	0	0	0	0	0	0.007371533	0.010286396	0.005894944	0	0	0.047182127	0	0	0	0	0	0	0.017370877	0.122633271	0.079518807	0.159799452	0	0	0	0.046755546	0	0	0	0	0	0	0	0.029935969	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndn	0.401000223	0.198771578	0.175488421	0.092546307	0.2013163	0.082751505	0.176957258	0.02326662	0.028637834	0.060993136	0.02089225	0.020713734	0.184839216	0.02429498	0.044079039	0.14547029	0.024378458	0	0	0	0	0	0	0	0	0.020579384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006538636	0	0	0	0	0.019217966	0.012439797	0	0.112012538	0	0	0	0	0	0	0	0	0.021903145	0.017733288	0	0	0	0	0	0	0	0	0	0	0	0.021333541	0	0	0	0	0	0
Meis2	0.069754714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxb9	0.078444239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncam2	0.063053607	0.008052385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nrk	0.321095244	0.15063033	0.163601832	0.040827024	0.137032247	0.013307135	0.103483901	0.124123712	0.01384186	0.067762017	0	0.035424044	0.025858236	0.03469007	0.036103038	0.026685025	0.085387049	0	0	0	0	0	0	0	0	0.022461852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014819568	0.019863913	0	0.025750981	0.033098136	0	0	0	0	0	0	0	0	0	0	0	0	0.052754599	0	0	0	0	0
Hoxb2	0.264317291	0.013565118	0.030341023	0.088028493	0.043753611	0.04996149	0.078431216	0.036544813	0.023653843	0.009490668	0	0.019827003	0.053621321	0.026316252	0.110961683	0.028238493	0.043619203	0.054652015	0	0	0.016461583	0	0	0	0	0.018958206	0	0	0	0	0.003770414	0	0.009047628	0	0	0	0.023020331	0	0	0	0	0	0	0	0	0.008415826	0	0	0	0	0	0	0	0.021021053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01576197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbxas1	1.380549758	0.84909952	0.964164746	0.580604895	0.541628043	0.614969628	0.44437889	0.547308866	0.318722336	0.320522214	0.192675555	0.273714372	0.659401548	0.601941446	0.388167279	1.137917637	1.078450141	1.484989817	0.128449343	0.168356903	0.17923619	0.038168015	0.041944236	0.116138809	0.238996785	0.755148365	0.926010337	0.054544101	0.135770577	0	0	0	0.020135113	0	0.317975959	0.304012906	0.087764856	0.225699706	0.091607346	0.033742854	0.08575692	0.086740181	0.491009968	0.107550786	0.100994516	0.116106217	0.110948567	0.048393999	0.01025315	0	0.212530287	0.054459263	0.079304864	0.140619043	0.078488706	0.057114933	0.066618154	0.116660992	0.174890184	0.202391846	0.288953199	0	0	0	0.268698477	0.155801056	0.254389686	0.186053381	0.031616164	0.053979238	0.028709385	0	0	0.023991003	0	0	0	0	0.091804804	0.07405282	0.120417875	0.042032464	0.016251976	0	0.021614188	0.016763283	0
Itsn1	1.095388829	0.681481952	0.46090343	0.476820184	0.477439049	0.105850591	0.149118459	0.379738462	0.262673221	0.197635157	0.198401251	0.150351519	0.479769855	0.308891191	0.202217114	0.807556485	0.476921732	0.88448249	0.166962635	0.075292715	0.068118471	0.057469597	0.03782326	0.049895169	0.057403628	0.119533178	0.199236197	0.009931908	0.074577835	0.052407549	0.047253814	0.072652848	0.458218122	0.286156655	0.030386818	0.04050614	0.045374096	0	0	0.020749927	0.032778875	0.053691282	0.017294982	0.037574179	0.021507082	0	0	0	0	0	0	0	0.049066013	0	0.009323289	0	0.01647645	0.047304228	0.194394486	0.042441936	0.035014047	0.09221603	0.153369434	0.20531648	0.295855247	0.042200686	0.034956895	0.184439738	0.065013315	0.458449609	0.122048415	0.350026147	0.433363923	0.316941369	0.036566485	0.148455486	0	0	0.023848265	0.083056762	0.174189386	0.015393246	0.152244109	0.060027789	0	0.04749896	0.041309571
Socs2	0.770841069	0.33031157	0.191432621	0.182112344	0.24669679	0.154258725	0.14029316	0.063541748	0.056609245	0.074706601	0.043982875	0.049981649	0.073514353	0.089201602	0.180248669	0.343281662	0.37209421	0.24180673	0	0	0	0	0	0	0	0.121867756	0.03163441	0.009931908	0.027908456	0	0	0	0	0	0	0	0.083168525	0	0	0	0	0	0.008870972	0	0	0	0	0.005970098	0	0	0.013398977	0	0	0	0	0	0	0	0.284223367	0	0.007389756	0	0	0.044722531	0.021507274	0.063314347	0.017859033	0	0.103321734	0.105200524	0.111534916	0.171767507	0.214930862	0.153682457	0.370541076	0.163844225	0.289678093	0.124058519	0	0.028539317	0.116342193	0	0	0.210156744	0	0.082158569	0.229494432
Triqk	0.307316287	0.057814376	0.055085703	0.024025082	0.050308288	0.053483708	0	0.056179978	0.013725522	0.025660367	0	0.031258429	0.091861686	0.043353832	0.134260651	0.099887162	0.01006456	0	0.015910799	0	0.009902305	0	0	0	0	0.045265714	0.004725842	0	0.022805612	0	0	0	0	0	0	0.028485384	0	0.007755742	0	0	0	0	0	0	0.008998415	0	0	0	0	0	0	0	0	0	0.006897073	0	0	0	0	0	0.017641562	0	0	0	0.018713599	0	0.021208428	0.021903145	0	0	0	0	0.020797896	0	0	0	0	0	0	0.035488568	0.036019913	0.020002886	0.050884676	0	0	0.015221997	0
Cyr61	0.180494678	0.050058555	0	0	0.018574414	0.019327508	0	0	0	0.015829183	0	0	0	0	0	0.054528532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092733401	0	0	0	0	0	0.00626207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxa3	0.514786719	0.223917778	0.24037427	0.116128078	0.18064843	0.081336265	0.038725578	0.073942296	0.060857462	0.048219994	0.063943635	0.021228011	0.277673158	0.2633277	0.197731493	0.169057625	0.142195185	0	0.026649693	0.028092433	0.046361421	0.012414251	0.012972953	0.073756418	0	0.028938414	0.004758493	0.013362968	0	0	0.012387971	0	0	0	0	0	0	0	0	0	0.009242858	0	0.008761837	0	0	0	0	0	0	0	0.052161234	0	0	0.02384618	0	0.007979766	0.012439797	0	0	0	0.007389756	0.014180856	0.044307906	0.052626122	0.030182087	0.177485227	0.054964573	0.116616206	0.045538079	0.084525171	0.0882995	0.012960509	0.120834508	0.085529575	0.047361042	0.015555587	0	0.037658119	0	0.019798708	0	0	0	0	0	0	0
Gm16104	0.416896797	0.098556146	0.08916703	0.084643492	0.110532344	0.008836472	0.022535654	0.008695057	0.006017456	0.02738897	0.065905606	0.033304781	0.139322438	0.046493276	0.069947806	0.092998908	0.15115533	0	0.014545737	0	0.026175676	0.012758338	0.036538562	0.043707127	0	0	0	0	0	0	0	0	0	0	0	0.019763456	0	0.014162392	0	0.064333697	0.067064424	0.118999932	0.05940383	0.293513515	0.232983172	0.237795601	0.095981513	0.006898564	0	0	0	0	0	0	0.051716009	0.036269759	0.029481419	0.04474717	0	0	0	0	0	0	0.011441499	0.058683116	0	0.021306722	0	0	0	0	0	0	0	0	0.037612954	0	0	0.013898707	0	0	0.032567191	0	0	0	0
Samd12	0.273450275	0.090574081	0.099040319	0.048738663	0.061186091	0.081626919	0.125395436	0.090286003	0.013494791	0.036782878	0.019032586	0.046438604	0.095850938	0.062162932	0.081816853	0.029599609	0.055247162	0	0.013734843	0.01491375	0.010779087	0	0	0	0	0.017610465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019586373	0.034563926	0.021242723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nov	0.072696455	0.011591109	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014847063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lhcgr	0.154281735	0	0.033597694	0.049889785	0.03556004	0.037493777	0.023854438	0.043706956	0.020333551	0.039229228	0	0	0	0	0	0.081539765	0.015399793	0	0	0	0	0	0	0	0	0.013090887	0.00891018	0	0	0	0	0	0	0	0	0.009429954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cx3cl1	0.197781871	0.021899657	0.026229872	0	0.020826109	0.008356914	0.011696846	0.005092104	0	0.028818719	0.022458175	0.022731829	0.03902634	0	0	0.064585704	0.01869668	0	0	0	0	0	0	0	0	0.007482638	0.028524773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105617441	0	0	0	0	0	0.009973233	0	0	0	0	0	0	0.012161402	0	0	0	0	0	0	0.041605862	0	0	0.018339901	0	0	0	0	0
Zfp467	0.871669151	0.550114872	0.412365294	0.415256103	0.538194113	0.249335265	0.188593145	0.177696855	0.114772382	0.073850062	0.285146323	0.340460036	0.542329764	0.315673304	0.442269273	0.263475417	0.183296557	0.137349814	0.045049391	0.075597003	0.050452546	0.033200342	0.044633304	0	0.03715528	0.051676297	0.025782104	0.017074607	0.076790032	0	0	0	0	0	0.013834849	0.048366514	0.057405029	0.011066512	0	0.060325388	0.084823652	0.020890011	0	0	0	0.014923214	0.016524577	0.060216961	0	0	0.029298087	0.068376433	0.104068048	0.117767304	0.027385216	0.090760988	0.154298564	0.080527931	0.348457069	0.09588673	0.180893655	0.067151347	0.127133731	0.114840575	0.30297851	0.307004153	0.084281406	0.242693208	0.175855064	0.049792996	0.061146375	0.032280115	0.290023357	0.028641951	0.076597557	0.011445278	0	0	0	0.026854898	0.24763083	0.116323772	0.039582029	0.339663056	0	0.039134846	0.105060669
Gabarapl1	1.69454586	1.010498521	1.181293244	0.940734518	1.098060051	0.869047957	0.750077626	0.838531305	0.719485237	0.62846006	0.837369698	0.509976649	1.036912326	1.216682849	0.693263246	1.162600162	0.987114011	0.714221342	0.525208848	0.528616919	0.507890357	0.381325636	0.463573584	0.540473371	0.519056224	0.833366373	0.78772645	0.588142901	0.579867149	0.514832472	0.537415755	0.377748314	0.185027817	0.317806184	0.37093958	0.495719538	0.499331201	0.256536673	0.049507205	0.276711426	0.302155861	0.322869738	0.217275715	0.193266679	0.187624672	0.084944462	0.174176633	0.07435837	0	0	0.097389005	0	0	0.044867233	0.431203302	0.40875572	0.36046095	0.229308466	0.180004439	0.098153719	0.153270151	0.210426195	0.27231408	0.396105467	0.143190807	0.603875075	0.597155086	0.957321105	0.430797785	0.604970381	0.466472445	0.355177111	0.570623111	0.58026884	0.18310126	0.280712536	0.424980936	0.049544718	0.092861897	0.308879193	0.135881237	0.139593313	0.04255281	0.068111075	0.09453454	0.161239504	0.091552336
Uba7	1.404978535	0.769893996	0.866697311	0.611952845	0.822988175	0.798241481	0.678175306	0.478227179	0.359557824	0.53690862	0.415761707	0.503511849	0.506147431	0.39996461	0.788553186	0.664220398	0.768654372	0.170998027	0.356853922	0.271682805	0.3144539	0.124512925	0.155015081	0.312428771	0.310576995	0.568047939	0.456630862	0.270750988	0.373864815	0.147187848	0.07910061	0.087423552	0.332915168	0.111433071	0.286885048	0.206440911	0.208654909	0.189117729	0.34659981	0.073786816	0.1598922	0.135604182	0.212214927	0.127026266	0.182895772	0.218869326	0.216650278	0.158562688	0.013163189	0.060783896	0.196310588	0.152646048	0.179680478	0.103709895	0.109938348	0.166202106	0.143414474	0.173581494	0.185844667	0.058007968	0.203353336	0.209301494	0.106156476	0.234420677	0.153368748	0.410724317	0.262292735	0.301374451	0.169181614	0.522514839	0.359439599	0.331739147	0.353805135	0.397805714	0.228731482	0.163459718	0.335249311	0.372605583	0.146782437	0.216776146	0.305502688	0.151024928	0.155082455	0.258151016	0.09987933	0.231316932	0.154539534
Lancl3	0.155987736	0.083269244	0.044254389	0.019347686	0	0.022809409	0	0.021112258	0	0	0	0	0.019210001	0	0	0.014847063	0.013399508	0	0	0	0	0	0	0	0	0.018652763	0.019341905	0	0	0	0.005193278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040610023
Casp12	0.449098276	0.201762443	0.176975846	0.291194562	0.158276726	0.202303212	0.091584734	0.240848007	0.073078616	0.120371918	0.088047985	0.081390856	0	0.067008909	0.263354299	0.181657699	0.269777573	0.089945755	0	0	0.058590942	0.009280338	0.022348457	0.030227576	0	0.072806209	0.013164185	0	0.027294802	0	0	0	0	0	0	0.009686822	0.024234397	0	0	0	0.007482443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093081735	0	0	0	0	0.022008315	0.041097212	0.070311132	0.035552366	0.067919727	0.045290312	0.015408397	0.049272864	0	0	0.014243715	0	0	0	0	0	0.031032804	0	0.045753867	0	0	0	0	0
Ntf5	0.06675765	0.012554147	0	0	0	0	0	0	0	0	0	0	0.014822114	0	0	0.017521137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgd5	0.516359032	0.41982549	0.253418607	0.10509916	0.195733732	0.055338481	0.1175228	0.065333625	0.02164891	0.022346268	0	0.028098196	0.198163785	0.177525782	0.089305379	0.115685271	0.141759758	0	0.01834593	0	0.013409041	0	0	0	0	0	0.008480348	0	0	0	0	0	0.012984827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028185693	0	0.017750174	0.033463365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unc45b	0.44656347	0.301651899	0.111921419	0.09708353	0.12288601	0.015614234	0.026263958	0.031398924	0.017348664	0.044011123	0	0.027165948	0.067737299	0.037777048	0.140480477	0.085052105	0.156363413	0.033171377	0.015167953	0	0	0	0	0	0	0.011189476	0	0	0	0	0	0	0	0.011784025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nipal2	0	0.044129953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl13	0.016611465	0.092821339	0	0.006769455	0	0.018393101	0	0	0	0.012757765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062424216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp26b1	0.021361191	0.101685513	0	0	0	0	0	0	0.029768668	0	0	0	0	0	0	0	0.057242097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veph1	0.017861315	0.058752169	0	0	0	0	0	0	0	0.009331501	0	0	0.021308368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt18	1.157852082	0.908090613	0.574254914	0.572172553	0.506955416	0.472026122	0.490085734	0.558213773	0.45033946	0.370519128	0.45627633	0.464933752	0.693227089	0.217992885	0.359115702	0.265753674	0.196623404	0	0.265891109	0.21355207	0.333796262	0.106938843	0.165240879	0.343251154	0.221493402	0.194172297	0.047146247	0.26178154	0.330360921	0.016146271	0.005193278	0.009105782	0	0	0.132813378	0.349667069	0.340022618	0.231638844	0	0.085113624	0.097560974	0.132761593	0.269304962	0.152869696	0.043729566	0.061892502	0.037540818	0.034339371	0	0	0	0	0	0.02384618	0.203234974	0.145879962	0.04612653	0.085874591	0	0.021357881	0.022539298	0.037034085	0	0.112239835	0.074139984	0.132158248	0.202030534	0.201921801	0.036495419	0.103444519	0.083372851	0	0.019965438	0.047718529	0	0	0	0	0	0.053347613	0.072283637	0.179233435	0.082792422	0	0	0.029763924	0.019781771
Fstl1	0.265009187	0.388192434	0.215314233	0.163222676	0.1855456	0.039335068	0.092168235	0.194126494	0.064564277	0.1062092	0.071340318	0.019228596	0.122282044	0.094438042	0.025705212	0.162215827	0.097137489	0	0.019673803	0	0	0	0	0	0	0.018952347	0.012766343	0	0	0	0	0	0	0	0.011200031	0.012941592	0.018179822	0.03444107	0	0	0	0.01757357	0	0.007030136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.483906236	0	0	0	0	0	0.009133982	0.024094984	0	0.043891132	0.017170864	0	0.008950019	0	0	0	0	0	0	0	0.038180715	0	0	0.037573535	0.063741042	0	0	0	0
Hsf2bp	0	0.086381449	0	0	0	0	0	0.009498234	0	0	0	0	0	0	0	0.024428649	0.032649428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020091321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033837475	0	0	0	0	0	0	0.022970107	0	0	0	0	0	0	0.013898707	0	0	0	0	0	0	0
