uid	qHSC	aHSC	HSC-Ly	MPP5-IER	MPP5 Ly-I	MPP1-MKP	MPP1-G1	MPP2-G2	MPP2-M	MPP2-S	MPP3-IER	MPP3-S	MPP4-TCA	MPP4 Ly-I-a	MPP4 Ly-I-b	HSC-Mac-1	HSC-Mac-2	Mac-Nr1h3	ML-1a	ML-1b	ML-CC	ML-2	ML-MDP	ML-3	MEP	MkP-HSC	MkP-Kit	ErP-HSC	ErP-MEP	ErP-1	ErP-2	ErP-3	ErP-4	ErP-5	BMCP-G2	BMCP	pro-Mast	pre-Baso	Baso-Mature	MP	IG2-MP	IG2-proNeu1	EoP	proNeu-1a	proNeu-1b	proNeu-2	preNeu-1	preNeu-2	preNeu-3a	preNeu-3b	preNeu-3c	immNeu-1	immNeu-2	immNeu-3	MDP-1	MDP-2	cMoP-a	cMoP-b	D3-LM	pre-cDC1a	pre-cDC1b	pDC-CC	pDC	pre-cDC2	plasmaDC	CLP1-a	CLP1-b	CLP1-c	CLP2-Ly6d+	ALP-a	ALP-b	proB-cycling	preproB-1	pre-proB-2	preBcrII-G2M	preBcrII-S	preB-kappa	immB	matB	EILP	CHILP	ILCP-a	ILCP-b	ILC2	ILC1_3+NKP	pre-aceNKP	aceNKP
Blnk	0.027448648	0	0.032723167	0	0	0	0	0	0	0	0.010046119	0	0	0.058895052	0	0.155945641	0.224856094	0.886215266	0	0	0.016049705	0	0.012438163	0	0	0	0.028086115	0	0.024710209	0	0	0.006210647	0.041975298	0	0	0	0	0	0	0	0	0	0.034899018	0.008182721	0	0	0.016835034	0.568268	0	0	0	0	0	0	0	0	0.015956826	0	0.098740035	0	0	0.564874507	0.935295126	0.723388676	0.504163079	0.068770116	0.076768388	0.095653531	0.502190325	0.710053791	0.140708386	1.940151773	1.094102044	0.417386439	2.359622556	2.027359175	2.795266654	1.608423966	1.105843415	0.08662268	0.035322757	0	0	0	0	0	0
C1galt1	0.400534527	0.387608231	0.247585633	0.377263641	0.266062656	0.532571882	0.446995145	0.492418291	0.410066214	0.395513219	0.285617434	0.302571674	0.240694967	0.285147516	0.236369964	0.482636434	0.342220239	0.356949228	0.252801399	0.23161874	0.231351281	0.129446688	0.125619451	0.479782189	0.363886446	0.846937393	2.124049061	0.385733062	0.22142732	0.434897779	0.744862712	0.779309636	0.783866717	1.066783434	0.205941536	0.287406624	0.449642926	0.30357684	0.548371074	0.237996509	0.067486694	0.115808945	0.329930229	0.192167142	0.286708231	0.284435751	0.361900199	0.531452591	0.243159905	0.363501958	0.268851574	0.177992203	0.145860578	0.129662342	0.285916573	0.221709773	0.241792304	0.167330981	0.205525566	0.080102569	0.078275139	0.333958168	0.658741372	0.340410753	0.243133866	0.248464556	0.190903545	0.364975456	0.289422455	0.37338402	0.254371338	0.413771144	0.36460198	0.364241076	1.163258073	0.824625893	1.916381638	1.840998171	0.861579175	0.24645836	0.379342047	0.311196433	0.294286227	0.22407977	0.449709139	0.609114666	0.520479602
Btg1	1.334410127	1.229088905	1.561280172	1.157536784	0.904996986	0.823346871	0.383387563	0.841362762	0.909239371	0.765057519	1.08244338	0.716925823	1.234432123	1.385982518	1.029302878	1.528085391	2.254722703	0.930524467	0.392393821	0.520924998	0.687798582	0.261380889	0.56000443	0.766776483	0.952093729	0.321307715	0.192159428	0.709963101	1.078209925	0.133173408	0.023916475	0.05832698	0.126124824	0.063331858	0.545017971	0.614690362	1.481634228	0.745452335	1.392469346	0.365381511	0.268116451	0.420666225	1.353682193	0.401923383	0.292949515	0.578368359	0.603103316	1.472690844	0.711072664	0.773637738	1.32597509	1.922146526	2.026083465	3.362388575	0.260388922	0.416331008	0.704197912	0.569369063	2.468821115	1.473604231	1.786245341	1.386976412	1.624072331	0.821289952	0.666261487	0.997135717	0.720599778	0.889649384	0.501453399	0.980174969	0.546037812	1.033274387	1.718375036	0.714891834	1.043487764	0.981644169	2.00221531	3.470695709	3.518931601	0.820307902	3.029412734	1.873097463	1.747649419	3.26956688	2.980632526	1.046548802	3.121027139
Bmf	0.024458846	0	0.037283567	0	0.073968359	0.014196517	0.009603191	0	0	0.009331501	0	0.028912847	0.031799625	0.048362059	0.03919606	0.033395191	0.017188338	0.095539597	0.01834593	0	0	0	0	0	0	0	0	0	0	0	0	0.007188207	0	0	0	0	0	0.012214176	0	0	0	0	0	0.007173298	0	0	0	0.016613431	0	0	0.017135161	0	0.031211343	0	0	0	0.030243225	0	0.412057025	0.091450757	0.071498986	0.016743276	0	0	0.068835573	0.03657727	0	0.052053513	0	0.07596595	0.019269904	0	0.095155536	0	0.056523899	0	0.18940718	0.49207323	0.205029221	0.016700426	0.073641234	0.026739966	0.08068087	0.039042499	0.046661445	0	0.07358771
Ms4a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061431641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591629765	0	0	0	0	0	0	0.050310062	0	0	0	0.016138138	0	0.361705797	4.086220539	0.035197049	0	0	0	0	0	0	0
Fcmr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027991844	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021362846	0.029426198	0	0.408940963	0	0	0	0	0	0	0.062956826	0	0.01331964	0	0	0	0.110984171	2.502562823	0	0	0	0	0	0	0	0
Iglc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03917966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024353703	0	2.755403285	0	0	0	0	0	0	0.059324348	0	0	0	0	0	0.925510797	3.737611368	0	0	0	0	0	0	0	0
Iglc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78994439	0	0	0	0	0	0	0.044465562	0	0	0	0	0	0.405209327	3.421914852	0	0	0	0	0	0	0	0.037760194
Ighd	0	0	0	0	0	0	0	0	0.015642859	0	0	0	0	0.054858213	0.037480621	0.008340616	0	0	0.013561222	0.012980075	0.016049705	0.007273084	0	0.031428659	0	0	0.017333443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031200932	0	0	0	0	0	0	0	0.00896909	0.016799622	0	0	0.016789367	0	0.172789692	0.214418537	0.163671002	0	0.030132591	0.01845883	0.083618368	0.079101018	0.227749474	0.04591547	0.135694279	0.107348851	0.191692497	0.318092715	0.181863698	0.080301572	0.401037509	2.187313243	0.105140324	0	0	0	0	0.076971633	0.041683929	0
Fcer2a	0	0	0.05971837	0	0	0	0	0	0	0	0	0	0	0.010931144	0	0.016476933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057110388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028207311	0	0.035934955	0	0	0	0.01569693	0	0	0	0	0	0	0	1.309080625	0	0	0	0	0	0	0	0
