UID	MyoFB - Activated	Adventitial FB	PLIN2+ FB	Alveolar FB	Mesothelial	aCap	gCap	Inflamed	Venule	Systemic venous	Arteriole	Lymphatic	AT1	KRT5-/KRT17+	Transitional AT2	AT2	Proliferating - Epi	Secretory - SCGB1A1+/MUC5B+	Secretory - SCGB1A1+/SCGB3A2+	Secretory - SCGB3A2+	Basal	NK	CD4	CD8/NKT	Mast	pDC	PNEC	B cells	Plasma	cDC1	Monocyte	cDC2	Inflammatory monocyte	moDC	Proliferating - Imm	Alveolar macrophage	Monocyte-derived macrophage	Interstitial macrophage	Pericyte	SMC	MyoFB	Ciliated	Differentiating ciliated
LINC01140	0.10117829	0.325388266	0.126555767	0.347963886	0.108263334	0	0	0	0.002388214	0.001205583	0	0	0	0	0	0.000383478	0	0.00019751	0	0.001631688	0.001455854	0.0002777	0	0	0.055490323	0.022589682	0	0.000745678	0	0	0.001411983	0.003707408	0.001988573	0.002950526	0.003548991	0.000496007	0.002135297	0.029086332	0.084736998	0.002463425	0.065007301	0.005366412	0
BHLHE22	0.03826888	0.010999389	0.031481585	0.088017856	0.001342431	0	0	0	0	0.000381035	0	0	0	0	0	0.000189501	0	0	0	0	0	0	0.000159723	0	0	0	0	0	0	0	0	0	8.64E-05	0	7.87E-05	0	0.000132201	0	0.014992741	0.005361234	0.015127107	0	0
CYP7B1	0.247457417	0.19814102	0.287326641	0.587479816	0.063604865	0.000146774	0	0	0.002926851	0.024959519	0.00132844	0.008801063	0.089595969	0.200228388	0.131642392	0.070394026	0.109204881	0.088861995	0.080021339	0.060739014	0.114507665	0.001642238	0.044010157	0	0.18907022	0	0	0	0	0.05886142	0.004189807	0.003910986	0.008225929	0.0076528	0.012963568	0.001899735	0.002944028	0.003021753	0.392718721	0.120886325	0.062648551	0.015378875	0.054334358
CYGB	0.311510192	0.625581647	0.462235986	0.792752675	0.008658602	0.015709658	0.070550374	0	0.062370379	0.155763781	0.048053249	0.000255504	0.01358782	0.028490329	0.038076916	0.023992878	0.026733414	0.003053518	0.007028573	0.01766873	0.10905913	0.003293759	0.005136903	0.002754136	0.003915958	0.052135453	0	0.029003573	0.015726605	0.004285762	0.000935411	0.014622841	0.002815587	0.003705216	0.009836049	0.05616225	0.02499146	0.163703835	0.516040877	0.009832152	0.193967436	0.171513798	0.159824791
CAMK2N1	0.518364715	0.675823227	0.553361236	0.986059357	0.033230035	0.012626646	0.006361042	0	0.006301979	0.006572643	0.002917	0.069266225	0.001040862	0.337121139	0.045957922	0.000691648	0.021280594	0.079216465	0.004743424	0.011269527	0.087191558	0.022376525	0.040456029	0.078564959	0.016395649	0	0.351592669	0.00176412	0.000573665	0	0.002105865	0.000497065	0.00265462	0.006341083	0.008533052	0.002059216	0.001461553	0.001253318	0.662818217	0.565793503	0.461917411	0.000245907	0.011329563
SLC38A5	0.297444582	0.203736574	0.115142552	0.644089434	0.118868644	0.000544684	0.00456013	0	0.003137688	0.015224432	0.003040467	0.000281663	0	0.048075111	0.025296286	0.014392842	0.09102517	0.143792393	0.087029967	0.039516462	0.102004009	0.084953708	0.050023914	0.132227361	0.00601807	0.07166612	0	0.049656563	0.646401765	0	0.001396974	0.01147701	0.006000726	0.012321913	0.066146802	0.001080767	0.007766782	0.012519017	0.018210621	0	0.026280512	0.002301525	0.039390774
FAT4	0.389428708	0.408622914	0.163416775	0.761898453	0.088731983	0.225451896	0.276674509	0.704149597	0.223514155	0.18150953	0.364805231	0.147301732	0.100403135	0.046608375	0.101221345	0.015867104	0.007045682	0.000643363	0.00088428	0.01461655	0.014925736	0.004375575	0.002219227	0.005318528	0.00109372	0	0.032095579	0	0.000656249	0	0.000207488	0.000200856	0.000363894	0.000312997	0.001898784	0	0.000309156	0	0.022004961	0.05766463	0.438032993	0.000734452	0.002051335
EPHA3	0.235341729	0.316931758	0.056583315	0.458923311	0.000128774	0.000883169	0	0	0.000120453	0.000353278	0	0.001868154	0	0	0.003530832	0	0	0.000298683	0.000415133	0.001069931	0.002105722	0	0	0	0	0	0	0.000897761	0	0	0.000411549	0	8.80E-05	0.000185141	0	0	6.03E-05	9.44E-05	0.259130466	0.085954734	0.140504625	0.000556154	0.000633894
CORIN	0.120426846	0.031780886	0.020323066	0.208551306	0.000186743	0	0	0	0.013131888	2.61E-05	0.002261767	0	0.000438699	0	0	0.057026218	0.024630931	0.000998835	0.000240301	0.016918193	0	0	0	0	0	0	0	0	0	0	0.000260814	0	0.000341549	0.000140874	0.000106761	0.001090579	0.000217479	0.000129756	0.005045329	0.004774398	0.055744904	0	0
ADAMTS8	0.045082506	0.057447344	0.06173573	0.36555007	0.015988111	0.000431822	0	0	0.000580065	0	0	0	0.000851784	0.003442546	0	3.37E-05	0.00881005	0	0	9.99E-05	0.000895557	0	0	0	0	0	0	0	0.000573665	0	9.92E-05	0	0.000298238	0.000495638	0	0	0.000117748	5.82E-05	0.072250784	0.291597966	0.256533929	0.029592229	0.024069362
SLIT2	0.360597849	0.646483448	0.393526784	0.67087952	0.239264286	0.000850364	0	0	0.007118977	0.003823249	0.003009535	0.012344361	0.000547349	0.014377178	0.009999701	0.022738908	0.017744012	0.017269787	0.004167199	0.009614414	0.015817505	0	0.002663287	0	0	0	0	0	0.003849048	0	0.000210708	0.001305497	0.000152752	0.004671317	0.003362481	0.001417414	0.000406621	6.60E-05	0.042822436	0.100718344	0.332988828	0.053559947	0.045680169
MMP2	2.304786016	2.081865381	1.808808785	2.248952752	0.214570335	0.041882062	0.006826625	0	0.042111454	0.092248349	0.243125238	0.259730302	0.003064888	0.328561453	0.029842223	0.006103659	0.008983467	0.004895884	0.000685838	0.018855763	0.167219043	0.003113435	0.020045449	0.002375607	0.025682424	0.009891061	0.02228115	0.022848512	0	0.010650908	0.004780626	0.019452346	0.028895504	0.0954611	0.060600157	0.018389205	0.062057585	0.132782905	0.21988329	0.085732387	1.378041933	0.003940474	0.00393835
CLMP	0.637813534	0.53629765	0.596726528	0.704387825	0.123622853	0.000145117	0	0	0.00040871	0.00045146	0.000201944	0	0	0	0.000637599	0.041062874	0.022851887	0.001307478	0.00093827	0.000818953	0.000692359	0	0.004714141	0.005348906	0.001662001	0	0	0	0.007872738	0	0.002988493	0.000517647	0.000485645	0.001278796	0.002327331	0.000280121	0.001221425	0.002085915	0.013420208	0.00088956	0.193517192	0.001583643	0.002393937
