UID	MyoFB - Activated	Adventitial FB	PLIN2+ FB	Alveolar FB	Mesothelial	aCap	gCap	Inflamed	Venule	Systemic venous	Arteriole	Lymphatic	AT1	KRT5-/KRT17+	Transitional AT2	AT2	Proliferating - Epi	Secretory - SCGB1A1+/MUC5B+	Secretory - SCGB1A1+/SCGB3A2+	Secretory - SCGB3A2+	Basal	NK	CD4	CD8/NKT	Mast	pDC	PNEC	B cells	Plasma	cDC1	Monocyte	cDC2	Inflammatory monocyte	moDC	Proliferating - Imm	Alveolar macrophage	Monocyte-derived macrophage	Interstitial macrophage	Pericyte	SMC	MyoFB	Ciliated	Differentiating ciliated
ABCB4	0.017057847	0.004429187	0	0.01736125	0	0.001217103	0	0	0.002280537	0.008995712	0.002067705	0.00070696	0.001477297	0.001319713	0	0.000159422	0	0.002926539	0.001463414	0.000447589	0.001128574	0	0	0.000477942	0.002702738	0.004351809	0	0.033679579	0.004120437	0	0.002188076	0.083102951	0.008192804	0.034327895	0.0216686	0.000393471	0.0051181	0.006552381	0	0	0.028204629	4.75E-05	0.004066523
GPR82	0.001936738	0.030335583	0.014898841	0.001989839	0.010616305	0.0001617	0.003655811	0	0.000178688	0.001223428	0.001937411	0	0.001381211	0.033942863	0.00586233	0.007839947	0.004284419	0.003607267	0.014843658	0.001665774	0.008461529	0.018881864	0.027505779	0.023529485	0.010998676	0.027529039	0	0.076099736	0.003579792	0.013929469	0.007313523	0.206867755	0.051492223	0.105057008	0.07915908	0.005615357	0.018451241	0.048285869	0.000434959	0	0	0.002312317	0.010027449
JAML	0.011231013	0.002833754	0.035045921	0.009392588	0.001052361	0.019850846	0.010620393	0	0.008069644	0.003828059	0.008717298	0.00794833	0.012743244	0.010329665	0.007529028	0.013401028	0.006776683	0.003553124	0.001561574	0.006253603	0.003255268	0.023497529	0.332609183	0.40029371	0.055335707	1.179171822	0	0.083135895	0.007836207	0.425292412	0.962510401	1.467680725	0.820289597	0.792834069	0.729412724	0.834666542	0.438131502	0.325451257	0.01255528	0.011490769	0.014823135	0.008669699	0.008763693
PAK1	0.208461272	0.104804905	0.181691651	0.129933274	0.164910519	0.012708591	0	0	0.009801457	0.007658482	0.001218791	0.037206913	0.136126796	0.256329215	0.235358558	0.137706922	0.275451222	0.406723684	0.352282265	0.288468858	0.282828019	0.101684351	0.094299584	0.110892783	0.667019591	0.231352089	0.387519027	0.169095351	0.223539076	0.768006883	0.583077277	1.183229849	0.610325748	0.660338418	0.632140478	0.291574764	0.329291972	0.358180994	0.086782288	0.087124483	0.125253608	0.267750529	0.387009988
CXorf21	0	0.001616397	0.000188619	0.015412372	0.004189174	0.001518581	0	0	0.003823841	0.008560854	0.001834482	0.000518347	0.004843309	0	0.008431376	0.003230546	0	0.002026756	0.011361514	0.002325957	0.00319733	0.025725991	0.051778993	0.007680537	0.079849308	0.515397315	0	0.277172697	0.325044773	0.140877085	0.259236917	0.719288768	0.326075958	0.468856886	0.388529615	0.188066218	0.213488898	0.224083561	0.005453548	0.014888727	0	0.005364167	0.00262593
CDH17	0	0.002373799	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122922	0	0.00020456	0.00092519	0	0.000289925	0	0.00017252	0	0	0	0	0.01232034	0	0	0	0.094362443	0.000235687	0.007384694	0.025317989	0	0.000181536	0.000297661	0	0	0	0	0
CLEC4A	0.001515346	0.006377975	0.002408201	0.022037304	0.0132462	0.003434	0	0	0.00551709	0.006431959	0.005746058	0.003979866	0.007214721	0.004067808	0.013831661	0.007729302	0.00078299	0.002621467	0.009509963	0.016275527	0.007697841	0.014730435	0.010286197	0.004840551	0.067965709	0.153106156	0.048326638	0.053709543	0.006764099	0.152758434	0.632872088	0.925310815	0.530684956	0.610386188	0.43731475	0.440889492	0.34774496	0.177685413	0.013521149	0.011282455	0	0.012563671	0.0097472
GHRL	0.000927425	0.000224216	0.000556294	0.001617411	0	0.006848868	0	0	0	0.000661502	0	0.003682824	0	0	0	0.000243959	0	0.000572579	0.001589125	0.000946192	0	0	0.000928877	0.000289578	0.000664275	0.04897716	0	0	0.002149992	0.003314508	0.009176269	0.129429701	0.018049787	0.045289411	0.028905917	0.000297672	0.00155602	0.003566477	0.003278115	0.000657358	0	0.001796458	0.002821493
GPAT3	0.021626774	0.027570107	0.055313799	0.023637215	0.03769137	0.009649334	0	0	0.050406196	0.067182272	0.01833544	0.148537242	0.074408471	0.042765786	0.076519939	0.116672257	0.071302226	0.04045123	0.074050473	0.103744013	0.066179743	0.00113572	0.121773669	0.023195336	0.331469746	0.002122941	0	0	0.003069083	0.060918849	0.257398256	0.671649295	0.220074852	0.327939017	0.172315272	0.019193038	0.095879605	0.477298402	0.018127545	0.00630306	0	0.03522753	0.037929871
UTF1	0	0	0	0.001092857	0	0	0	0	0	0.000319903	0	0	0	0	0	0.00220435	0	0.000719118	0.000712	0	0.003283969	0	0.00175894	0.000674861	0.002117222	0.031120243	0	0.001057669	0	0.01796798	0.072478456	0.172908471	0.06078932	0.092997707	0.010878612	0.00031992	0.016055811	0.00368387	0	0	0	0.04285037	0.034238022
CCL17	0.011068038	0.005602027	0.015678928	0.062198334	0.018579342	0.018500547	0.010620393	0	0.013995685	0.00920691	0.015383389	0.002843246	0.005099968	0.034868438	0.020109141	0.016531015	0.042220674	0.015118906	0.014257935	0.026875979	0.017813716	0.069128681	0.031072256	0.026471072	0.04744071	0.0042289	0	0.045544037	0.01635882	1.308271909	0.016416797	0.993234261	0.117043679	0.390381127	0.06331406	0.02394117	0.047980478	0.053839443	0.011810753	0.026049622	0	0.012528324	0.013539833
P2RY13	0	0.005259373	0.015594584	0.000708543	0	0.002283408	0	0	0.013488285	0.003052674	0.002893508	0.003025522	0.007296296	0.00465342	0.020179156	0.003073638	0	0.005343518	0.002764127	0.001759427	0.003102557	0.010669401	0.001929739	0.006774956	0.029564272	0	0	0.017828864	0.005898532	0.442414767	0.347165431	0.819758884	0.427105964	0.420457381	0.297090797	0.290996052	0.126204361	0.095793738	0.000787726	0	0.012536074	0.002882402	0.00224673
CEACAM4	0	0	0	0	0	0	0	0	7.55E-05	0.000951409	0.000842209	0.002629094	0	0.0011285	0	0.033624096	0.006709226	0.002269144	0.000219124	0.001079595	0.000485715	0.000246523	0.002152797	0.002081766	0.004781366	0.001965598	0	0.004560582	0	0.020851477	0.17866934	0.42323464	0.190883152	0.215797478	0.095846712	0.084428548	0.079146149	0.023354625	0	0	0	0.001506033	0
MS4A4E	0	0.001113625	0	0	0.000477879	0	0	0	4.80E-05	0.000109001	0	0.00015094	0	0	0	2.97E-05	0	8.31E-05	0.000228455	0.001258513	0	0.000856784	0.000188247	0.000840578	0.028630314	0.072779002	0	0.030352545	0.003130993	0.005899591	0.068997203	0.403738362	0.142715619	0.236098802	0.107092791	0.008290843	0.032987037	0.00182037	0	0	0	0.000234521	0
CCR6	0	0.005042296	0	0.000893126	0	0	0	0	0.000423576	0.001291924	0.001048154	0.001938348	0	0	0.000665107	0.003172858	0.007395039	0.00109141	0.0111182	0.010788725	0.000468211	0.014579153	0.436346517	0.092492642	0.000762084	0.04353822	0	0.359503657	0.022069019	0.523743731	0.000557363	0.577484136	0.024579641	0.138058557	0.129963792	0.000980769	0.003494197	0.003041135	0.001114052	0.00468943	0	0.009219017	0.002617238
CD1B	0	0	0	0	0	0	0	0	0	0.000240796	0	0.000705943	0	0	0.004302033	0.000482644	0	0.000307419	0	0.000455654	0	0.000292772	0	8.35E-05	0.000259258	0	0	0.001168627	0	0.275598332	0.003753894	0.369016701	0.02437194	0.090758524	0.104101281	0.000289035	0.012986948	0.118900983	0	0	0	0	0
HLA-DQB2	0.004655568	0.007444046	0.00860879	0.003591643	0.001904928	0.007927648	0	0	0.011026296	0.020778878	0.006959187	0.002845642	0.00288067	0.016385757	0.043510936	0.052018207	0.043760479	0.038208215	0.011275212	0.071716615	0.005590393	0.002360705	0.020173764	0.016189124	0.022861761	0.144267145	0	0.198472223	0.035920317	0.842241931	0.035627466	1.106851897	0.194523887	0.539958572	0.325276352	0.399752439	0.205369448	0.115596434	0.001061248	0.02203415	0.014823135	0.011328958	0.050667927
PLEK2	0.002029422	0	0	0	0.009518151	0.018109519	0	0	0.003638337	0.003208781	0.003246279	0	0.00241477	0.174038524	0.018222889	0.024208256	0.140261169	0.044714373	0.009703035	0.020102883	0.162582696	0.003809435	0.00733445	0.001733534	0.009010094	0	0.097692248	0.001525233	0.000713533	0.050793125	0.003006184	0.519758841	0.065629435	0.209375267	0.231085001	0.044206561	0.05422877	0.06546349	0.002371434	0	0	0.005752819	0.018976347
GNAO1	0.075988491	0.064771815	0.064484912	0.026339944	0.007444006	0	0	0	0.000266201	0.000258472	0.002805857	0	0.008621225	0.004491602	0	0.000769695	0	0.001618848	0.005943179	0.001252998	0.000683348	0.004909277	0.031738267	0.084143862	0.003085	0	0.16985978	0.023883069	0.017123103	0.119569516	0.000717553	0.31209239	0.003481123	0.063055967	0.06817828	0.0021883	0.001603292	0.000945285	0.014320974	0.028424211	0.037272694	0.000970535	0
AC004817.3	0	0.000138715	0	0.000297713	0	0.003843229	0.006528593	0	0.000118227	0.000621842	0	0	0	0	0	0.000649174	0	0.001096063	0.000399142	0.000601671	0.001478144	0.001676794	0.057497797	0.05060607	0.014402399	0.004930749	0	0.011625492	0.000876359	0.094858244	0.037342659	0.497049734	0.140753336	0.22173768	0.153556512	0.016250702	0.051518254	0.025262732	0.000253557	0	0	0.001388965	0
S100B	0.001003606	0.063934626	0.002709653	0.020774223	0.00536058	0.024236612	0.009929465	0	0.005460379	0.009183832	0.011489677	0.006864006	0.005439671	0.015391381	0.007520032	0.005419521	0.015639457	0.005113016	0.009556431	0.006151898	0.021418313	0.314492703	0.027366649	0.094459146	0.030310278	0.035264891	0.092088613	0.057115405	0.001530193	0.428761069	0.018535419	1.046462319	0.094606068	0.4245165	0.38702883	0.01170874	0.044962296	0.083650216	0.004650043	0.008834199	0.016148567	0.01529461	0.002269058
CLEC4F	0	0	0	0.000287152	0	0.000477949	0	0	0.002319483	0.005224914	0.007169349	0.000518347	0	0	0	0	0	0.00029836	0	0	0.000213296	0.001482176	0.000124293	0.001138778	0	0	0	0	0	0.075916454	0.001010174	0.262328768	0.019863605	0.039722274	0.026410636	0	0.001030121	0.004745543	0	0	0	0.000158738	0
AL138899.1	0	0	0	0	0.001686761	0.002655238	0	0	0.000149009	0.000220677	0	0.00011953	0	0	0.000936637	0.000755073	0	0.001108625	0	0.00071256	0.001222074	0	0.020594776	0.000112994	0	0	0	0.000527373	0.025296018	0.050254943	0.003676853	0.333224352	0.018042739	0.059501952	0.114558882	0.000100989	0.003033108	0.026091287	0	0	0	0.001812173	0.000856018
PKIB	0	0.005998329	0.004671204	0.011955345	0.020800206	0.005392507	0.023479752	0	0.003038574	0.002663645	0.004254717	0.008807222	0.008651294	0.180055156	0.055023202	0.023783471	0.052963961	0.100909359	0.079567312	0.043559235	0.025059891	0.004641299	0.006745391	0.011356669	0.098689473	0.071611541	0.735739577	0.002920933	0.009149964	0.451137814	0.021589517	1.389130787	0.139191972	0.458545609	0.345371628	0.007984673	0.038779056	0.048783404	0.023315354	0.017070609	0	0.512517112	0.284597506
CD207	0	0.000664685	0	0.000731056	0.000910287	0	0	0	0.000518684	0.012316619	0.001151083	0.011044335	0	0	0	0.002990591	0	0.000808323	0.000692067	0.001290342	0.001827438	0.005323486	0.003770971	0.001639278	0.014382705	0.014256298	0	0.029867986	0	0.091662748	0.004012712	0.507981219	0.00718672	0.038929727	0.1147526	0.001247472	0.001554261	0.002586628	0	0.003016074	0	0.00134378	0.001989927
FCER1A	0	0.00284945	0.000131437	0.005762736	0.005485216	0.003141039	0	0	0.004666795	0.005327723	0.005528139	0.007413283	0.001524965	0.003086727	0.014007836	0.012041037	0	0.005193677	0.002431932	0.004146026	0.004345861	0.010455541	0.044504078	0.007097445	0.830333344	0.431011011	0	0.024652073	0.005264414	0.102710722	0.031385165	1.570153298	0.098086095	0.383206519	0.288838618	0.004570339	0.01052935	0.010483683	0.012613378	0.00229257	0	0.006209673	0.006579844
CD1A	0	0	0	0	0	0.001613737	0	0	0.000502942	0.001017561	0.000694983	0.000257596	0	0.005786848	0	0.000677863	0	0.001633209	0.000666267	0.002079263	0.007731985	0.001561748	0.001963476	0.001040987	0.002126392	0.002711549	0	0.055136786	0.000853341	0.027610647	0.012391958	0.725925478	0.012650949	0.061412466	0.20343964	0.001147834	0.004592559	0.031541793	0	0.001585439	0.019624548	0.00074143	0
CD1E	0.000778004	5.36E-05	0	0.003245774	0.001828981	0.000383759	0	0	0.001273888	0.001472488	0	0	0.013982556	0	0	0.002925358	0	0.00406683	0.003756679	0.0013241	0.00439553	0.008981313	0.001875011	0.00597878	0.002392392	0	0	0.024760776	0	0.686524298	0.005555523	1.329650812	0.058871923	0.189975813	0.276086	0.000564727	0.011324687	0.056665151	0.001901936	0	0	0.002831259	0.00077652
CD1C	0.001116122	0.001860165	0.000125105	0.000534082	0	0.004527853	0	0	0.001310112	0.003257718	0.002049576	0.000945869	0.001968193	0.003881953	0.002093701	0.003938477	0.005254824	0.001552666	0.00406077	0.001229503	0.00108827	0.010703012	0.00163583	0.006815254	0.022690467	0.002416478	0	0.372882482	0.001223039	0.341325022	0.045981158	1.488595752	0.102438145	0.325839139	0.302691168	0.002009193	0.022035053	0.075231321	0	0.003130558	0	0.003300499	0.002065989
AC113349.1	0	0	0.003333235	0	0	0	0	0	0.000457003	0.000724296	0.000409532	0	0	0	0	0.001455977	0.030851342	0.000989163	0.000181311	0.00072635	0.005390824	0	0	0	0.000612544	0	0	0	0	0	0.0008968	8.88E-05	0.002678793	0.000612098	0	0.000306544	0.000692589	0.000537093	0	0	0	0.656565293	0.365375763
RGS22	0.050328024	0.154700468	0.018632049	0.123277772	0.030340761	0.000491657	0	0	0.006803501	0.000537578	0.003789928	0.00024073	0.002296892	0	0.007884858	0.003859973	0.054916656	0.002298975	0.003164621	0.002818732	0.002395761	0.00030315	0.001532467	0.0065118	0.007121868	0.004007813	0	0	0.005751386	0	0.002185138	0.003377979	0.001450168	0.001362472	0.00188687	0.000247292	0.002116818	0.001604734	0.004916752	0.003799364	0.093502142	1.080831039	0.654303829
ADGB	0	0.003334686	0.00016852	0.002222337	0.00022369	0.001271264	0.008123839	0	0.000646746	0.000692647	0.000459028	0	0	0	0.002768981	0.001251424	0.08382363	0.001548341	0.001198149	0.00173115	0.002332233	0.001750242	0.001606597	0.000102225	0.005160547	0	0	0.004251661	0	0.002403355	0.00044469	0.017049699	0.003009626	0.006195473	0.010668709	0.000187763	0.001047588	0.000893316	0.000359797	0	0	1.028488168	0.685313438
AC004832.1	0	0	0	0	0.001641342	0	0	0	0.002500924	0.000510325	0.000823933	0.004296132	0	0	0.01460569	0.004137261	0.124338949	0.009044483	0.003062386	0.013038772	0.002989624	0.000297519	0.002887777	0.00277424	0.001707116	0.024020338	0.053158916	0	0	0	0.009566514	0.001421381	0.000687983	0.001752937	0.0017163	0.000114516	0.001087432	0.001049234	0.000373408	0	0.022285285	0.849998499	0.491994265
TMEM212	0	0	0	0.001345411	0	0.004749181	0	0	0.003442176	0.000290489	0.001178991	0	0	0	0.004799657	0.001627745	0.052049634	0.000595882	0.000879568	0.002026691	0.000826194	0.001411169	0	0.000500941	0.002803879	0	0	0	0	0	0.001942031	0.000633488	0.000582769	0.0001387	0.001454528	0.000663539	0.000934932	0.000724546	0	0	0	0.734043984	0.424347149
CDHR4	0.005892884	0.012478113	0.003291552	0.001753851	0.005161793	0.005722833	0	0	0.000175647	0.00075546	0	0	0	0.001581101	0.003131128	0.002853513	0.132903425	0.000937887	0.002154501	0.00260417	0.002085341	0	0.002913746	0.000558814	0.001117597	0	0	0	0	0.00207847	0.000364966	0.000777464	0.000797735	0.00063477	0.001440819	0.000135843	0.000719337	0.001350689	0	0.002434602	0.017027217	1.306192596	0.914847184
CCDC17	0.012444199	0.00262653	0.004188884	0.005585712	0.00137803	0.002152129	0.00460141	0	0.007848178	0.004402725	0.005734893	0.014343687	0.01458349	0.013409234	0.018998456	0.010191026	0.087428139	0.020991082	0.026277885	0.012318576	0.011063737	0.009322884	0.00755253	0.001362852	0.002636117	0.027882247	0	0.010759422	0.003006148	0.010788726	0.017378249	0.011044514	0.011025684	0.005132002	0.009633299	0.014579652	0.011871805	0.012938041	0.00149052	0.005762119	0.005819877	1.312722584	0.880806612
DCDC2B	0.012294621	0.005574803	0	0.003779173	0	0.00041273	0	0	0.000638367	0.001967219	0.00022203	0.00160772	0.003636674	0.007269982	0.002385659	0.003244219	0.0313902	0.003426668	0.006525159	0.001608242	0.00122254	0.000265084	0.000843051	0.007496116	0.004098544	0.003195822	0	0	0.001529082	0	0.000679727	0.000965537	0.001634067	0.006429212	0.000558128	0.003679919	0.003261733	0.003249135	0	0.002789104	0	0.925423772	0.603655641
ARMC3	0	0.01493155	0	0.000271697	0.007280367	0.005776614	0	0	0.000248574	0.00200361	0	0.006710959	0	0.06105717	0.011595908	0.002385927	0.170874426	0.009261427	0.004983853	0.007579747	0.025766613	0	0.003069979	0.000851611	0.000985272	0	0	0.004635512	0.000518455	0.009921143	0.001419913	0.002163187	0.002021594	0.00151001	0.001327162	0.001410755	0.002425129	0.005631342	0.000506181	0.000754965	0	1.353696111	0.944569578
DRC1	0.003934322	0	0.003411144	0.003147763	0	0.000356769	0	0	0.000340751	0.006285985	0.001576929	0.000114807	0	0.064241425	0.010594105	0.002636441	0.115421907	0.006011848	0.008022879	0.00275116	0.025934849	0	0	0.004490567	0.000600363	0	0	0	0.002804715	0.004731381	0.002330718	0.00337827	0.003746405	0.001114863	0.001650673	0.001394198	0.002152593	0.002970687	0.001734665	0.003534451	0	1.162644436	0.803712634
CCDC33	0.037136736	0.013046434	0	0.003779173	0.000717255	0	0	0	4.63E-05	0.001172614	0.00032293	0.001748594	0	0.033962153	0	0.001930525	0.031028823	0.022227571	0.001058919	0.007750304	0.008930161	0	0.000201583	0.001695167	0.001184881	0	0	0.000856679	0	0.002690037	0.001280303	0.00138004	0.000442288	0.001874738	0.001700615	0.00042348	0.000918372	0.000528955	0	0.000544545	0	0.727618924	0.443671472
TTC29	0	0.001767807	0.000195649	0.002457905	0.001904928	0.003004243	0	0	0.00049944	0.003282344	0.004056764	0.003407773	0.00079772	0	0.002793793	0.001482408	0.07365457	0.004479181	0.003988061	0.002872505	0.005844981	0.008170513	0	0.004471475	0.001196345	0	0.040944648	0.005021101	0.002196722	0	0.001975267	0.00271069	0.001725588	0.002247419	0.000583687	0.000602328	0.001685662	0.001743576	0	0	0	1.026226333	0.687544363
EFCAB10	0	0.000125216	0.000292595	0.002764107	0.002529148	0.002436194	0	0	0.00103098	0.000284825	0.006023296	0	0.009778459	0.009935779	0.02808287	0.022982435	0.158129359	0.010856838	0.009294466	0.009226762	0.011028321	0.004544047	0.000748208	0.003274849	0.002939791	0.001207476	0	0.001424765	0.000575962	0.005753244	0.003544748	0.003773894	0.003106106	0.002672763	0.002082534	0.002317327	0.002568393	0.009239182	0.003464498	0.000507523	0	1.065105009	0.676864657
LRRC46	0	0.00530003	0.001788727	0.006248156	0.000196728	0.004230783	0	0	0.001258593	0.002832558	0.002094641	0.005736918	0.007082265	0.006357221	0.019848595	0.006172459	0.165053805	0.014760675	0.022977871	0.007153812	0.009473693	0.006887647	0.004771793	0.002112262	0.011378666	0	0.082506458	0.005127649	0.000439512	0.007457649	0.004413055	0.006490347	0.007633308	0.009158392	0.013160272	0.004486845	0.006039983	0.00539274	0.001141231	0.004901817	0	1.516913916	1.075085267
C1orf87	0	0.006522535	0	0.005055124	0	0.001637948	0	0	0.000164713	0.001759541	0	0	0.003721854	0	0	0.001411284	0.031102836	0.006478292	0.00118035	0.006989524	0.003960456	0	0.004408031	0.008945847	0.002823203	0	0	0	0	0	0.000533614	0.000793514	0.001954469	0.002129328	0	0.000154003	0.001369977	0.000154443	0	0.007687255	0	0.954183788	0.640510126
TEKT2	0.021143765	0	0.000116854	0.000404662	0.003096272	0.000161165	0	0	0.008558567	0.001425612	0	0.00400717	0.013914823	0.029904328	0.026104595	0.006356502	0.124569982	0.007147568	0.00685921	0.010026899	0.005237736	0.000289468	0.001335503	0.000620924	0.000610572	0	0	0.007478439	0.001876585	0.008503516	0.001237088	0.00166013	0.002131829	0.001724087	0.00412544	0.002672507	0.002021804	0.003043203	0	0.003239498	0	1.087551304	0.721320257
CFAP54	0.026114588	0.013592051	0.000243159	0.020575637	0.014631245	0.021616961	0	0.181361129	0.007881451	0.02870414	0.017324738	0.035156513	0.00323852	0.081047592	0.01812212	0.011856171	0.122430621	0.00620577	0.010525485	0.015446219	0.016514899	0.00051752	0.006879083	0.013216256	0.005655455	0.021703451	0	0.000629785	0.134522431	0.006500806	0.001506658	0.001578922	0.002809117	0.003160404	0.004526156	0.001091919	0.002184251	0.002616967	0.001086063	0.002067657	0	1.239557227	0.782038641
CFAP100	0	0.002139899	0	0.001683397	0	0	0	0	0.000807557	0.000497944	0.00023591	0	0.013743224	0.001534543	0	9.79E-05	0.062769037	0.010481346	0.011279125	0.000870395	0.003404093	0.001369288	0.004073822	0.008761023	0	0	0.047601676	0	0.001249347	0	0.000338547	0	0.000552819	0.000559314	0.001756883	0.000515101	0.00045041	0.000401626	0	0	0	0.932193189	0.588929102
DNAH6	0.005923017	0.008232712	0.00919699	0.012047502	0.02959194	0	0	0	0.009449407	0.007844628	0.008957791	0.015646303	0.019094194	0.061211845	0.027329606	0.029685769	0.174337938	0.031096726	0.029212096	0.020483592	0.018290478	0	0.018164409	0.004961017	0.003669222	0	0	0.003369095	0.007478582	0.017985284	0.002418079	0.003270666	0.001439424	0.002263367	0.009397775	0.001602554	0.001993604	0.002150733	0	0.003563203	0	1.406738521	0.926389266
DNAI2	0.018071291	0.005206577	0.000118303	0	0	0.000851778	0	0	0.000445491	0.002085118	0.001709575	0	0.004812217	0.00096453	0.004477249	0.002622654	0.11608139	0.003055408	0.001391845	0.0019875	0.015009187	0.00267861	0.010488823	0.015690449	0.016460317	0	0	0	0.001415571	0.019417277	0	0.001854695	0.001297047	0.001489148	0.001933971	4.44E-05	0.000983334	0.001448149	0.009710136	0.00073327	0	1.328033369	0.904934658
NME9	0	0.000534167	0.000142676	0	0.000901418	0.001676533	0	0	0.00279606	0.004373977	0.000433463	0.004035441	0.00785765	0.052399874	0.004801405	0.009308714	0.075267915	0.013820369	0.004110026	0.004137375	0.007427385	0.004400028	0.002747231	0.002525799	0.008300761	0	0	0	0.001091863	0.002905845	0.000477289	0.000268916	0.000795895	0.000871627	0.002518939	0.001244072	0.001464298	0.000269336	0	0.000673705	0	0.713267197	0.412220808
CFAP70	0.011226755	0.006296622	0.010413994	0.052498433	0.040600711	0.010547606	0	0	0.003363678	0.004581928	0.00377569	0.011190903	0.006518294	0.05886242	0.030066521	0.039276637	0.148907306	0.039017999	0.065653518	0.052698698	0.045031525	0.00301107	0.017390959	0.023122359	0.013850124	0.019074248	0.144879361	0.007051809	0.001800016	0.013125816	0.002370431	0.003323886	0.003409722	0.006096668	0.004384451	0.003289199	0.004745649	0.008266956	0.002816427	0.013080543	0	1.262562392	0.757818229
CFAP47	0	0	0.004781674	0.001183291	0.000768645	0	0	0	0.000427539	0.001005267	0.000451884	0.007927098	0.002102966	0.005686924	0.005844285	0.001363285	0.140935693	0.001140025	0.006867053	0.003939818	0.004738879	0	0.000507595	0.000762571	0.001572487	0	0.069769629	0.007889989	0	0	0.000787086	0.001644552	0.000874362	0.000840369	0.001200465	0.001691432	0.001135948	0.003563229	0	0.000459322	0	1.048174065	0.654621475
MARCH10	0	0	0	0.00135376	0.003723618	0	0	0	0	0.001615945	0.006373529	0.000743029	0	0.011574806	0.003635402	0.0021839	0.049738818	0.008400253	0.003008944	0.003571078	0.014383079	0.000541033	0.001121719	0.001005886	0.005326969	0	0.216073132	0.000693954	0.001543615	0	0.000749879	0.001233835	0.001123761	0.001481219	0.001319446	0.000970537	0.001021796	0.000733808	0	0.000841646	0	0.836161557	0.521972919
AK7	0	0.005396121	0	0.006449235	0.053087489	0.007406974	0	0	0.016015008	0.025822968	0.004933866	0.012747674	0.030443461	0.025215269	0.041564458	0.051809641	0.117391297	0.03016763	0.017729384	0.037360223	0.011100828	0.018548197	0.00495875	0.000568868	0.00345553	0	0	0	0.002019158	0.003733861	0.001523463	0.002388773	0.001708952	0.003681997	0.003577847	0.000722562	0.002404918	0.002608691	0.002002317	0	0	0.964215185	0.590130096
DYDC2	0.007156113	0.001647572	0.0005282	0.005478661	0	0	0	0	0.000749324	0.000640831	0.001735937	0	0	0.000735742	0.014541234	0.003017434	0.058481622	0.003190208	0.005320647	0.001489228	0.002329476	0.001058763	0.005036333	0.002519961	0.001154593	0	0	0.004768034	0	0.005261106	0.009707698	0.001872254	0.001644807	0.001754765	0.00229752	0.000767394	0.001500745	0.00135624	0.002779092	0	0	0.900478579	0.567667726
ZBBX	0	0	0	0.00053528	0	0	0	0	0.001045317	0.00165609	0.000277836	0	0	0.003652957	0	0.002774907	0.097717328	0.003831035	0.006441495	0.004841652	0.005296798	0	0.000141013	0.002498483	0.003132339	0	0	0.000815114	0.004966495	0.002690037	0.002571925	0.002501367	0.001933762	0.001110574	0.001328605	0.000470403	0.00175275	0.002186235	0	0	0	1.288577766	0.875296054
LDLRAD1	0.000777183	0.009517945	0.008331373	0.014261805	0	0.001675252	0	0	0.008388409	0.001006953	0.000808691	0.002502799	0.027532931	0.004866427	0.001589787	0.010421663	0.042315379	0.015341528	0.022583047	0.01042387	0.007527403	0.017298316	0.001626706	0.011415436	0.002073812	0	0	0.003915066	0.000802918	0.002881539	0.001860059	0.006623531	0.003297312	0.003814542	0.002666321	0.002191679	0.003711488	0.003519265	0.00083426	0.000544233	0	1.403587469	0.953495603
DNAH2	0.010807332	0.00514054	0.01031354	0.00103232	0.01346679	0	0	0	0.001741169	0.001711035	0.003810745	0	0	0.03010419	0.014464256	0.009405358	0.0803485	0.002892037	0.012961101	0.035840489	0.018077413	0.007137159	0.006011467	0.001531947	0.00124937	0.00224001	0	0	0	0	0.00012115	0.00196501	0.001023385	0.001087302	0.000390668	0.000374828	0.001337641	0.001113027	0	0.001371467	0	0.886570177	0.576262832
AKAP14	0	0.00053167	0.000248592	0	0	0.000820187	0	0	0.002506396	0.000430727	0.001696673	0	0	0	0	0.002456224	0.061852451	0.002417151	0.011032735	0.001577675	0.007429015	0.004476419	0.000864455	0.000222464	0.000553467	0	0	0	0.002946705	0.004389692	0.001464354	0.000965134	0.006300891	0.001183388	0.000777575	0.000978616	0.00177287	0.002666932	0	0.005295628	0	0.79670296	0.500084551
DNAI1	0.001515346	0.004448684	0	0	0.003125453	0.000461655	0.012443131	0	0.005090756	0.001142333	0.000283079	0.003770858	0	0.003227544	0.003393632	0.002301284	0.093942273	0.001443474	0.002518723	0.00172128	0.004575525	0.017000687	0	0.000378931	0.002567849	0	0	0	0.000671982	0	0.000602079	0.000795313	0.000720819	0.000747011	0.000770774	0.000398126	0.001063977	0.001916449	0	0	0	1.143956935	0.767232301
ARMC4	0	0.001288816	0.000587181	0.001340682	0.059738236	0.00041273	0	0	0.000296173	0.002106575	0.00026449	0.001980325	0	0.002054615	0	0.004252368	0.08259015	0.002036597	0.01148743	0.000503156	0.003088505	0.001541448	0.000175264	0.013734537	0.002155544	0	0	0	0.00083227	0.019418766	0.001108488	0.005909368	0.001114387	0.001761204	0.00200659	0.001437654	0.0010734	0.002098344	0	0.001792223	0	0.899135966	0.551787374
